Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2018-12-31,15.699999809265137,16.31999969482422,15.5600004196167,16.170000076293945,1719400,0,0,1040690.552466568,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6008772975521084,,,,,0.0,,,,,,,,,,,,-1001012.2057544419,,
2019-01-02,15.84000015258789,16.75,15.729999542236328,16.649999618530273,1649400,0,0,2366677.699186491,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7546815325584286,,,,,0.0,,,,,,,,,,,,-958452.1459480661,,
2019-01-03,16.799999237060547,17.270000457763672,16.149999618530273,16.170000076293945,1847600,0,0,585064.8743201329,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.42873571420819906,,,,,1.0,,,,,,,,,,,,-4302.360416376134,,
2019-01-04,16.440000534057617,17.649999618530273,16.440000534057617,17.56999969482422,2198400,0,0,2492767.410938102,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.0032440398637439,,,,,2.0,,,,,,,,,,,,137073.51500887002,,
2019-01-07,17.8799991607666,18.399999618530273,17.299999237060547,18.229999542236328,2200500,0,0,4013112.796109685,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.174663954887971,,,,,0.0,,,,,,,,,,,,272997.2390278201,,
2019-01-08,18.40999984741211,18.540000915527344,17.600000381469727,18.540000915527344,1765200,0,0,5778312.796109686,0.0,,,,,,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,,,,,,,,1.2230356107125566,,,,,0.0,,,,,,,,,,,,112676.8778259959,,
2019-01-09,18.649999618530273,20.1299991607666,18.399999618530273,19.739999771118164,1810000,0,0,6772244.493165312,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.5412435695060944,,,,,0.0,,,,,,,,,,,,147169.2344246957,,
2019-01-10,19.670000076293945,20.979999542236328,19.350000381469727,20.709999084472656,2524100,0,0,8460137.736935124,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.7388711162713597,,,,,0.0,,,,,,,,,,,,241183.1560207634,,
2019-01-11,20.649999618530273,21.290000915527344,20.149999618530273,21.079999923706055,1739900,0,0,9559019.649267457,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.756494454585628,,,,,0.0,,,,,,,,,,,,155115.88695024024,,
2019-01-14,20.760000228881836,21.049999237060547,20.420000076293945,20.65999984741211,1893000,0,0,9108305.909375662,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,20.65999984741211,,1.5165484620578111,,,,,0.0,,,,,,,,,,,,-6631.608794047919,,
2019-01-15,20.8799991607666,21.530000686645508,20.719999313354492,21.329999923706055,1970000,0,0,10105464.341490649,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,20.8349085715172,,1.731182688827563,,,,,0.0,,,,,,,,,,,,26170.41963069953,,
2019-01-16,21.360000610351562,21.889999389648438,21.270000457763672,21.770000457763672,1480500,0,0,11012871.681103887,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,21.078162199679664,,1.8665095567645436,,,,,0.0,,,,,,,,,,,,94426.8669700164,,
2019-01-17,21.770000457763672,22.1200008392334,21.40999984741211,21.579999923706055,1426500,0,0,10269483.7094723,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,21.233222203528406,,1.7046695429917704,,,,,0.0,,33.45701806979858,,,,,,,,,,18090.155735292166,,
2019-01-18,21.690000534057617,21.690000534057617,20.700000762939453,21.06999969482422,2635100,0,0,9604049.18587608,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,457330.9593919553,,21.202805938494773,,1.3889658100827524,,80.60807333889879,,,0.0,,26.546547612978905,76.22052899194885,,,,,,1.2923248899832798,,-71176.1904761903,-74725.29520407668,,-16.006113982391046
2019-01-22,20.8700008392334,20.8700008392334,20.18000030517578,20.31999969482422,1537200,0,0,8690637.287899803,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,22.817716867385826,227297.96519310458,,21.133405265070472,0.0,0.9961366720015582,,75.74335362714619,,,0.0,,25.664808898884218,65.78756627959828,,,,,,2.1997453692593942,,-39261.90476190462,-116992.93813933633,0.615436247710542,-28.169026276333867
2019-01-23,20.440000534057617,20.940000534057617,20.1200008392334,20.809999465942383,1648400,0,0,9816369.384402376,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,21.510326881968556,310214.7734099727,,21.10583973413532,13.816252730498434,1.2072861112420676,,76.06416973216183,,,1.0,,18.440522637417033,68.79299911583873,,77.9605975495411,,,,2.4955695851541755,,34776.1904761903,-14967.82358672125,0.5836735636562651,-21.943067092651756
2019-01-24,20.799999237060547,21.68000030517578,20.6200008392334,21.639999389648438,1170000,0,0,10898065.432050128,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,23.48745892448083,404626.9358851315,,21.14402453238902,26.983144563832525,1.5638002014547998,,75.80740820172421,,,0.0,,18.705430241573087,73.10314028268931,,80.47905911294738,,,,2.3790115583110305,,-405190.4761904762,86414.84695999949,0.6065574752956651,-8.450729292172214
2019-01-25,21.729999542236328,22.639999389648438,21.540000915527344,22.610000610351562,1765100,0,0,12566891.034252945,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,26.35472643156299,591415.8242819821,,21.248821023003675,41.8596702338034,1.9646943207267042,,75.87393310474731,,,2.0,,21.952532329249095,77.08618963438894,,89.6814762460095,,,,2.3790115583110305,,-298273.8095238097,125784.71071579694,0.7075737265236253,-0.5617748771474638
2019-01-28,22.209999084472656,22.5,21.68000030517578,22.100000381469727,1867900,0,0,12612450.630546175,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,23.48038101092971,370837.93116621603,,21.273645772322524,52.145887137024886,1.6584658574899303,,68.10065361697374,,,0.0,,11.955423696633009,71.12264109164103,,93.42440922897606,,,,2.454204205548508,,-201350.0,36986.54845681033,0.6018454581745737,-10.71426814375205
2019-01-29,22.149999618530273,22.3700008392334,21.90999984741211,22.309999465942383,968500,0,0,13328293.218646834,0.0,,,0.7779916729218537,86.23122266293979,0.37212510417338374,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0270000457763686,0.9533898345038071,22.813192622506502,346915.95718700916,,21.334786519656554,63.001945779711434,1.7369143213429004,,67.43924945709952,,,0.0,,7.725738542737689,72.08042747384249,,93.64697983014064,,,,2.479691671519273,,-211609.5238095238,-32930.19958223303,0.5980896521211584,-7.783017488678491
2019-01-30,22.3799991607666,22.93000030517578,22.049999237060547,22.93000030517578,1349500,0,0,14677793.218646834,0.0,,,0.8315375022619673,101.3411249737935,0.3847202756294014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.26899995803832866,1.0,16.28499096288652,416883.8393810752,,21.425946750064913,88.7355686515304,1.8776523249008215,,67.145225649307,,,0.0,,8.776092922985551,74.74383794169195,,93.83423812252312,,,,2.4796916715192725,,-317250.0,46705.866049462595,0.5054859441412932,-0.0
2019-01-31,22.969999313354492,23.290000915527344,22.530000686645508,22.780000686645508,1521800,0,0,14157177.127656292,0.0,,,0.793003043342282,110.78274130086625,0.33382691081535826,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6324999809265144,0.9285714094903132,13.63181138270905,324719.0881152973,,21.470209621440038,108.89431023846114,1.6494105710904428,,66.04338997847492,,,0.0,,10.26137877488393,72.9311422038262,,92.0428825341901,,,,2.485847375840799,,-361023.8095238097,27547.909922723367,0.4617326391590342,-16.08833490875112
2019-02-01,22.81999969482422,22.860000610351562,22.40999984741211,22.739999771118164,1272300,0,0,14750913.532522142,0.0,,,0.7867523458422876,98.92863852129996,0.4077218924243395,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.7440005302429213,0.9197078666014363,10.339615914140726,271060.19483804924,,21.522029835485956,127.99152354816795,1.50386319475084,,59.59479046821111,,,0.0,,6.610407184507499,72.4266985431643,,88.85382389296062,,,,2.495692243850413,,-226357.14285714296,-12189.171266378757,0.34196425560786003,-17.35019341236696
2019-02-04,22.790000915527344,22.940000534057617,22.5,22.700000762939453,1019200,0,0,14658261.396944499,0.0,,,0.7709880497224673,98.0115212947577,0.36244906065021876,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.2974999427795417,0.9015025062999803,10.566070500755597,226513.45427036477,,21.612691364898854,130.70378599052924,1.3703601891843546,,66.55181778547473,,,0.0,,4.2719351659183005,71.89122317170451,,82.64982664387473,,,,2.452915599572797,,-274042.85714285704,-4026.859639227687,0.36156654795825993,-18.61199174725766
2019-02-05,22.850000381469727,23.270000457763672,22.68000030517578,23.09000015258789,1520800,0,0,15251114.300962862,0.0,96.0,,0.8368096374063277,109.94192090214352,0.34173639972185427,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.45550031661987234,0.964850484329071,10.127302805662708,278884.5424856475,,21.921194316259434,135.46574321092888,1.4760662568868042,,66.06457397705431,,,0.0,,6.997220733180221,73.91616107419645,,85.90954755324879,,,,2.452915599572797,,-242290.4761904762,24335.49656568961,0.34579443917002184,-6.30917218062892
2019-02-06,23.1200008392334,23.18000030517578,22.860000610351562,22.90999984741211,911800,0,0,14624247.724895341,0.0,88.0,,0.7989193888231281,102.54155292997132,0.27616275580319616,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.4240002632141113,0.9222901907309122,8.87908547530441,215597.5680935154,2.9900002479553223,22.068109944794728,122.70609848088033,1.2614612167897983,,60.60113679852971,,,0.0,,8.73279629443887,71.3609636238212,,87.6971403208878,,,,2.4617479599878016,,-321835.7142857143,19020.216038736507,0.27692313899654397,-11.98741510944992
2019-02-07,22.719999313354492,22.920000076293945,21.959999084472656,22.34000015258789,903700,0,0,14435978.163366523,0.0,88.0,,0.6344299875990972,51.730382916176076,0.2462220017221107,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.0640005111694322,0.7588830877743326,3.8204133852868707,111210.95490692087,2.9750003814697266,22.076827006192836,105.77639474365228,0.8455079125526453,,55.06174259412175,,,0.0,,9.940947283961789,63.83549797013798,,83.91164503500714,0.0,,,2.599885519450631,,-322992.85714285704,-29592.03668592808,0.12676040194366855,-29.96847760489966
2019-02-08,22.239999771118164,22.469999313354492,21.700000762939453,21.989999771118164,1291500,0,0,14117294.849478275,69.11811798023251,84.0,,0.5157662923121973,16.23772463203835,0.18924878356733085,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.298000621795655,0.589905011633623,3.838233823602527,30748.60525333906,2.77500057220459,22.073806290038693,85.15357120395132,0.5754546746352002,,58.683136410230205,,,0.0,,5.670352404895388,59.67411901901344,,72.34486948300422,0.0,,,2.7644170837649136,,-303454.761904762,-42717.91987768928,0.17066143118074206,-41.0094988366377
2019-02-11,22.15999984741211,22.489999771118164,21.040000915527344,21.479999542236328,2003200,0,0,13329827.186955601,66.03018636783733,80.0,,0.35213579261571654,-24.34140806548899,0.12504335912216946,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6520006179809563,0.4290216625461118,4.331897294160504,-119591.54671086563,2.3000001907348633,22.0531477762212,68.56263308096094,0.21417658962827898,,57.03679567461982,,,1.0,,-0.7393708499300874,54.136168541861316,,57.30806327102457,0.0,,,2.8188644819887196,51.10067594362674,27059.523809523787,-66692.8645360434,0.22565965367477014,-57.09783374538882
2019-02-12,21.59000015258789,22.530000686645508,21.59000015258789,22.389999389648438,1470800,0,0,14362512.738797916,63.20112541178668,76.0,,0.6143305897639232,19.314529651343776,0.1767082185735511,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.055500411987303266,0.71608785355895,5.660823652683758,88696.9279012195,1.8700008392333984,22.055162011848626,60.2102037978142,0.7550079991154331,,56.89650988487077,,,0.0,,-0.9730261599480081,61.077182983871495,,56.06158202119957,0.3024404384652233,,,2.68579383579571,54.629265371700505,228778.57142857136,15851.4619714371,0.2727271954566348,-33.70792135437465
2019-02-13,22.520000457763672,22.850000381469727,22.110000610351562,22.309999465942383,727500,0,0,14028253.853514662,60.882525557951865,72.0,,0.5732251480316954,42.56621951153482,0.13768376704551957,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21649951934814382,0.6908512851738846,4.700162404749189,67711.66041588032,1.7100000381469727,22.06346084765859,48.55585636203605,0.665274641058297,,56.003875835365704,,,0.0,,0.950222085284374,60.214430662917614,,55.21287497289419,0.2648477792918168,,,2.828979198447685,51.844674858861545,72385.71428571432,59711.04687239768,0.24403664908639766,-43.55561998155382
2019-02-14,22.200000762939453,22.25,21.559999465942383,21.93000030517578,1372100,0,0,14127683.588503977,57.81461945073983,40.0,,0.44178349323250404,-18.056897818051937,0.10974255299494026,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8285003662109389,0.5709777357666368,-1.5495329299159708,-16446.697998938856,1.3100004196166992,22.05741314154789,38.9169330713667,0.41293700160511104,,47.62248089399182,,,0.0,,-1.7032683543838456,56.15667169592202,,54.097329030963614,0.09804617469636381,,,3.1314360585026337,49.10791461958728,-109909.52380952379,-25969.917403260268,-0.03507115945068373,-60.44447157118056
2019-02-15,22.049999237060547,23.479999542236328,21.8799991607666,23.25,1839000,0,0,15437972.26684282,56.08495505911758,72.0,,0.8472833538121931,86.89817330513647,0.1794900767959646,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5950007438659668,0.9315477288634753,3.2667479886241138,332685.6072554436,0.8450002670288086,22.077395059887067,37.16447971206522,1.1808831250731058,,57.83917560584712,,,2.0,,1.395550329547916,64.98398040619608,,62.19123079819087,0.526396830901408,,,3.072860149849974,56.63725997123538,14888.095238095382,87321.63024014984,0.10516916834692924,-9.426216052692881
2019-02-19,23.25,23.739999771118164,22.809999465942383,22.979999542236328,1137200,0,0,14716522.85463415,54.67637448638305,72.0,1.5279409773209487,0.736210695960479,114.41971852825108,0.18728724860364762,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4594998359680176,0.7900551234455367,6.57276257499304,241295.58899483058,0.46000003814697266,22.086153840125608,39.09022016453751,0.9580040734880041,-0.14424694383232894,58.335403168436194,,4.491329252508461,0.0,-8.289113467669702,0.8779580753395988,62.22429159043398,,67.3270479400414,0.39248121132218544,,,3.0680687008968435,53.46167034193507,139404.7619047619,97485.95939220552,0.19418289789013665,-28.14816855600225
2019-02-20,23.020000457763672,23.40999984741211,22.579999923706055,22.81999969482422,923300,0,0,14327179.021000927,52.996686491023524,72.0,1.5074408755582915,0.6739582287164616,80.6817081910883,0.2112361800169814,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.29450082778930664,0.74585625752797,3.1446328804672654,185720.81069334043,0.46000003814697266,22.093330059752912,39.92722426276782,0.7831625064037635,-0.13734251568208744,52.11883738599173,,4.314724857968504,0.0,-8.356164560787885,0.35180265836089303,60.582416375005316,,76.11717468301548,0.32589738457211564,,,3.1076306275821173,51.00791996465713,20247.619047618937,-19634.756497990445,0.08676976944516313,-34.07409134225831
2019-02-21,22.84000015258789,22.989999771118164,22.149999618530273,22.260000228881836,894200,0,0,13667175.516021386,50.76848692658654,72.0,1.3392642469967093,0.3846845901494501,4.228716734907736,0.14851119314827999,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6120001792907708,0.5256410099659,-1.2053098545508196,87653.33453062343,0.46000003814697266,22.096648829479847,38.71839441769599,0.3906595549214324,-0.16994097995784463,45.13955642139194,,4.102949734949271,0.0,-8.78980365359182,-1.938328278719586,55.102152408633465,,60.98763966919493,0.04883641210647662,,,3.30482687273275,49.90541237598442,-249857.14285714296,-28372.07820820073,-0.05802066055447208,-54.81482109415454
2019-02-22,22.440000534057617,22.959999084472656,22.1299991607666,22.93000030517578,1408100,0,0,14973489.287079781,48.66845950945632,72.0,1.295646504794849,0.7197686660580012,31.670602516820942,0.15574372236666298,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.36749982833862305,0.7000000706425719,-0.6158194396136133,209906.73065903498,0.46000003814697266,22.111324873468522,41.53837476897666,0.7561993283032079,-0.14670719939310684,52.93215683178065,,3.918565314389815,0.0,-8.774359678191395,-0.6929400015364523,59.7889115742416,,60.37036487594808,0.2857808476489323,,,3.317852707612235,50.623168566185484,-169257.14285714296,20438.632060643646,-0.014876215442114815,-29.99999293574281
2019-02-25,23.31999969482422,23.860000610351562,23.190000534057617,23.75,1779900,0,0,16168941.33463254,47.5451149688495,92.0,1.274058499055748,1.0600707568178769,179.68983521284795,0.13757577830746703,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.2594998359680183,0.9609926871433866,1.7570534768302168,388422.54868169094,0.7199993133544922,22.214643728678055,46.962553335407705,1.2347107485066007,-0.07978980197050678,55.09317197363606,,3.809689754793328,0.0,-8.009725488979171,3.666521860246875,64.65222953271814,,70.42815156148042,0.5316514136021943,,29.602436210292122,3.3070049184098003,56.21483293399926,61940.47619047621,106033.17003170995,0.09134215228307652,-3.900731285661336
2019-02-26,23.479999542236328,23.860000610351562,23.260000228881836,23.559999465942383,1887500,0,0,16168935.334435448,46.502009324000305,92.0,1.16311745363123,0.9105565538051241,155.0255471908153,0.13573384769384175,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6825001716613777,0.8936166039451008,1.1298929105013473,281701.3262937705,0.7199993133544922,22.334266316031343,53.00922154753688,1.077777278570604,-0.05327427830637044,45.521637018731944,,3.730931288263583,0.0,-6.696980450512424,5.461053290159294,62.75821531537572,,85.15364539103528,0.5005601943296595,,29.468632613664784,3.3139094847462847,55.968508857762565,366847.61904761894,48550.95787888454,0.05634898060544391,-10.638339605489918
2019-02-27,23.010000228881836,25.969999313354492,22.610000610351562,25.530000686645508,4015800,0,0,19132981.068245545,46.902434406541474,96.0,1.239176312614891,1.3249100861605403,271.62579662881836,0.19845629451741276,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.3535004615783706,0.9107507566527994,5.379848783852736,1371619.837123176,0.7199993133544922,22.746195444414926,60.686175356928054,1.9770332914296223,0.08449583472244449,58.278911599958136,,3.8023757968887644,0.0,-3.0650914981811863,16.098230797513732,71.9377166767822,,92.17866825804286,1.0,,32.44219679253323,3.3073536238531944,62.46322530003995,1014366.6666666665,320686.5060042229,0.13299208377114546,-8.924924334720062
