Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2018-12-31,25.780000686645508,25.969999313354492,25.260000228881836,25.709999084472656,909800,0,0,243466.1598306487,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5446006741098124,,,,,0.0,,,,,,,,,,,,-188896.5256772942,,
2019-01-02,25.420000076293945,26.100000381469727,25.1299991607666,25.860000610351562,796800,0,0,645974.2485517436,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.6121036386452969,,,,,0.0,,,,,,,,,,,,-187309.24405727212,,
2019-01-03,25.700000762939453,26.270000457763672,25.190000534057617,25.399999618530273,1172600,0,0,-70616.59617417224,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.36171481684962636,,,,,1.0,,,,,,,,,,,,-16209.536228329724,,
2019-01-04,25.6200008392334,26.43000030517578,25.420000076293945,26.139999389648438,2271900,0,0,896624.135152228,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.712201279053334,,,,,2.0,,,,,,,,,,,,45330.834640723144,,
2019-01-07,25.989999771118164,26.81999969482422,25.790000915527344,26.299999237060547,809700,0,0,888761.281459004,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7329857852171431,,,,,0.0,,,,,,,,,,,,71145.2711413924,,
2019-01-08,26.610000610351562,27.030000686645508,26.190000534057617,26.989999771118164,713800,0,0,1534578.7854667061,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.0265956799225124,,,,,0.0,,,,,,,,,,,,23683.165302505327,,
2019-01-09,27.18000030517578,27.90999984741211,27.030000686645508,27.5,1079200,0,0,1608160.0188722154,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.1917179315482045,,,,,0.0,,,,,,,,,,,,39119.53825115935,,
2019-01-10,27.399999618530273,28.719999313354492,27.31999969482422,28.670000076293945,867000,0,0,2413232.3755247085,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.6138471054211725,,,,,0.0,,,,,,,,,,,,57279.36246611718,,
2019-01-11,28.440000534057617,29.309999465942383,27.809999465942383,29.030000686645508,2197900,0,0,3790586.6195025733,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.6059807404995632,,,,,0.0,,,,,,,,,,,,64485.28398966071,,
2019-01-14,28.799999237060547,29.350000381469727,28.09000015258789,28.139999389648438,793800,0,0,3059785.6467549475,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,28.139999389648438,,1.0823968184658026,,,,,0.0,,,,,,,,,,,,3262.0647825656415,,
