Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2018-12-31,7.409999847412109,7.460000038146973,7.085000038146973,7.389999866485596,501900,0,0,314523.5404968262,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6044442918565535,,,,,0.0,,,,,,,,,,,,847852.5264855942,,
2019-01-02,7.260000228881836,7.769999980926514,7.000999927520752,7.659999847412109,431400,0,0,622505.9740403646,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.7322260069085812,,,,,0.0,,,,,,,,,,,,366602.0582392945,,
2019-01-03,7.639999866485596,7.670000076293945,7.25,7.340000152587891,626700,0,0,264392.0949026677,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.43968472854939283,,,,,1.0,,,,,,,,,,,,-10419.085544760948,,
2019-01-04,7.409999847412109,7.710000038146973,7.340000152587891,7.630000114440918,284200,0,0,425694.87679728406,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.6942434611178007,,,,,2.0,,,,,,,,,,,,-14952.045761083715,,
2019-01-07,7.699999809265137,7.949999809265137,7.610000133514404,7.840000152587891,528900,0,0,612366.206795559,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8586926579998593,,,,,0.0,,,,,,,,,,,,25785.49180367039,,
2019-01-08,7.880000114440918,8.1899995803833,7.659999847412109,7.710000038146973,357500,0,0,322319.32828113245,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.649429470345025,,,,,0.0,,,,,,,,,,,,8628.944383356262,,
2019-01-09,7.71999979019165,7.71999979019165,7.369999885559082,7.389999866485596,354100,0,0,8687.872142669803,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.312090314045361,,,,,0.0,,,,,,,,,,,,-20624.704045629365,,
2019-01-10,7.380000114440918,7.5,7.090000152587891,7.190000057220459,532700,0,0,-264158.6204279719,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1274784879138782,,,,,1.0,,,,,,,,,,,,-29113.53121230488,,
2019-01-11,7.150000095367432,7.170000076293945,7.0,7.150000095367432,357700,0,0,9376.791727443284,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.10739158614238167,,,,,0.0,,,,,,,,,,,,-16406.750121377,,
2019-01-14,7.119999885559082,7.289999961853027,6.849999904632568,6.860000133514404,315900,0,0,-292163.79057734885,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,6.860000133514404,,-0.18064201134074612,,,,,0.0,,,,,,,,,,,,-14802.709594585784,,
2019-01-15,6.900000095367432,7.050000190734863,6.789999961853027,6.909999847412109,515300,0,0,-331803.124473105,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,6.862017201145185,,-0.08510022453505056,,,,,0.0,,,,,,,,,,,,-9056.916076772295,,
2019-01-16,6.929999828338623,6.940000057220459,6.414999961853027,6.460000038146973,673300,0,0,-889680.0926067648,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,6.804368014070658,,-0.536869015255715,,,,,0.0,,,,,,,,,,,,-40091.49576436597,,
2019-01-17,6.429999828338623,6.550000190734863,6.170000076293945,6.21999979019165,388500,0,0,-1175943.8662948983,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,6.725099765563653,,-0.7415249388197389,,,,,0.0,,-15.832207001789204,,,,,,,,,,-58280.7564631618,,
2019-01-18,6.199999809265137,6.426000118255615,5.949999809265137,6.360000133514404,1021400,0,0,-437788.99509594415,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-22409.288018686155,,6.656346445215041,,-0.4735452551259194,,27.30400811050717,,,0.0,,-16.97127597642059,27.920911247290135,,,,,,10.65572658164426,,202292.85714285716,8556.316405056214,,-81.69641222576539
2019-01-22,6.320000171661377,6.360000133514404,6.0,6.150000095367432,555200,0,0,-530322.2058645126,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-4.5322170437156855,-35863.964184473734,,6.499745082827215,0.0,-0.6564640892595893,,25.375508826664714,,,0.0,,-16.212534502480853,24.983144150767814,,,,,,12.11342099306229,,159119.04761904763,4657.689347278454,-0.3754295323595861,-91.07141488668731
2019-01-23,6.179999828338623,6.320000171661377,6.03000020980835,6.059999942779541,302600,0,0,-770315.858338969,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-6.00522973281427,-34631.118754276875,,6.364805204092568,-24.225985225975023,-0.7149265810931464,,19.268570507712127,,,0.0,,-20.576672976582483,23.826101629284793,,10.714297878500176,,,,13.548233881757772,,139685.71428571426,-22760.378538996727,-0.4532858061534223,-95.08927925204678
2019-01-24,6.050000190734863,6.28000020980835,5.960000038146973,6.269999980926514,388800,0,0,-405816.4014860031,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,-6.685199943966971,-18019.813956302612,,6.348416684199143,-44.39226939885873,-0.40265290817592664,,25.580212271237627,,,0.0,,-20.025512003888657,31.766801257737228,,9.375009756713682,,,,14.524202102522313,,-54188.095238095266,9044.969779322868,-0.5113527453937131,-85.71427659112487
2019-01-25,6.289999961853027,6.760000228881836,6.289999961853027,6.699999809265137,636400,0,0,68097.44808920624,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-5.153193281073574,23647.572430983433,,6.362727265181809,-55.284274827376066,0.16765426611919176,,28.817486115930663,,,0.0,,-13.09987320213529,44.52008363753963,,17.55953014505217,,,,15.03476050824113,,-52278.57142857142,57117.90970796475,-0.37679524368991335,-66.51785372167183
2019-01-28,6.690000057220459,6.829999923706055,6.551000118255615,6.730000019073486,490800,0,0,207069.58129606655,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-5.6520856105959085,22372.79107997694,,6.374985925994929,-68.76868258457597,0.21754714236117953,,27.52737658210866,,,2.0,,-8.930985917946712,45.28841094061508,,27.52977039436991,,,,15.413769093243516,,13176.190476190473,45842.26717866861,-0.41490549583545777,-65.17855850409356
2019-01-29,6.78000020980835,6.889999866485596,6.554999828338623,6.71999979019165,263400,0,0,203138.148478856,0.0,,,0.4022388357379343,-30.28808507542453,0.021323034049445872,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.21300010681152326,0.34375002660921916,-6.896844208535933,18800.383741769438,,6.379148411411887,-80.8144405978008,0.21739289040623588,,25.85896921363033,,,0.0,,-6.536860407348915,45.0643768184052,,37.268804008059725,,,,15.59676775117481,,-21902.380952380947,1806.2365429799243,-0.4750242458338405,-56.497175750055426
2019-01-30,6.78000020980835,7.079999923706055,6.769999980926514,7.019999980926514,441000,0,0,473428.6023510052,0.0,,,0.5465081578671275,4.562497281597434,0.01678728283443333,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.05849986076354963,0.47767869687203307,-3.19722367767624,35014.62665209876,,6.385043170780486,-100.25261420023526,0.6222022555667404,,32.37125305331614,,,0.0,,-1.8181833945029813,52.63423761701453,,49.11884213018235,,,,15.534002728565163,,-93242.85714285716,19296.12230252384,-0.24633411128155425,-30.967739355303937
