Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,52.83000183105469,54.400001525878906,48.41999816894531,52.61000061035156,538400,0,0,216080.28363980603,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5668896370851308,,,,,0.0,,,,,,,,,,,,-226927.9339701297,,
2020-03-16,48.29999923706055,50.86000061035156,46.08000183105469,47.06999969482422,483400,0,0,-67083.27721340948,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2363692550587867,,,,,0.0,,,,,,,,,,,,-278305.612280436,,
2020-03-17,46.20000076293945,51.08000183105469,41.61000061035156,49.27000045776367,500400,0,0,242033.8145616692,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.5167243239614616,,,,,1.0,,,,,,,,,,,,-27515.408701060765,,
2020-03-18,47.209999084472656,54.099998474121094,44.90999984741211,53.27000045776367,506000,0,0,656634.6722252893,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7581010554124719,,,,,0.0,,,,,,,,,,,,64467.91775885908,,
2020-03-19,53.0,62.0099983215332,49.630001068115234,59.310001373291016,708300,0,0,1055983.4181509884,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9984849202489455,,,,,2.0,,,,,,,,,,,,121390.11919699289,,
2020-03-20,59.90999984741211,61.060001373291016,53.91999816894531,58.91999816894531,522100,0,0,1265115.5829800298,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.9155767550724396,,,,,0.0,,,,,,,,,,,,76877.19588143006,,
2020-03-23,60.02000045776367,61.45000076293945,54.349998474121094,56.619998931884766,316100,0,0,1151141.474074219,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7321852552251669,,,,,0.0,,,,,,,,,,,,-15772.429016299746,,
2020-03-24,58.20000076293945,62.2400016784668,57.27000045776367,59.119998931884766,482500,0,0,1027846.3209644355,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,,,,,,,,0.8532206739939773,,,,,0.0,,,,,,,,,,,,8965.039951512012,,
2020-03-25,61.9900016784668,61.9900016784668,50.02000045776367,50.88999938964844,804400,0,0,340376.4912968654,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3208412986953838,,,,,0.0,,,,,,,,,,,,-90674.9146489035,,
2020-03-26,50.77000045776367,55.29999923706055,48.0099983215332,50.63999938964844,401700,0,0,228517.72487247645,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,50.63999938964844,,0.3188820858200503,,,,,0.0,,,,,,,,,,,,-113952.59844956585,,
2020-03-27,49.61000061035156,50.0,47.400001525878906,47.939998626708984,512300,0,0,-70981.75427432204,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,50.581766138992776,,0.15860176111919883,,,,,0.0,,,,,,,,,,,,-29287.95547468334,,
2020-03-30,47.9900016784668,48.72999954223633,43.93000030517578,44.77000045776367,469800,0,0,-376351.6982697889,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,50.513858032658845,,-0.027508394987661465,,,,,1.0,,,,,,,,,,,,-58379.77096136737,,
2020-03-31,44.369998931884766,46.380001068115234,43.22999954223633,44.4900016784668,470100,0,0,-470371.2428314864,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,50.35789091511925,,-0.028866465445112337,,,,,0.0,,-15.434325865198852,,,,,,,,,,-34005.27041911972,,
2020-04-01,44.16999816894531,47.58000183105469,43.029998779296875,44.040000915527344,483700,0,0,-739329.3942052795,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,-926496.1102596797,,49.87745295674906,,-0.03872624617563654,,42.72842925704329,,,0.0,,-6.437218608331649,33.08830658385136,,,,,,14.250974442385905,,-39695.238095238106,-7832.536816214801,,-88.2210364548576
2020-04-02,42.88999938964844,45.939998626708984,42.88999938964844,45.38999938964844,390400,0,0,-489729.2341130264,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,-262.7808189836824,-718848.1796087434,,48.959796972675,0.0,0.07728780554735709,,40.66058291939963,,,0.0,,-7.874976724307797,37.07998201908084,,,,,,15.570348046663424,,-55590.476190476154,7074.8328258757365,-0.14652283858042603,-81.67717603689772
