Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,3.5,3.990000009536743,3.4800000190734863,3.990000009536743,28300,0,0,28300.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6666666666666669,,,,,0.0,,,,,,,,,,,,139949.58639140803,,
2020-03-16,3.5,3.75,3.1600000858306885,3.309999942779541,44500,0,0,6427.10035686013,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.22424233820155215,,,,,0.0,,,,,,,,,,,,-20684.894236567594,,
2020-03-17,3.5899999141693115,3.5999999046325684,3.109999895095825,3.200000047683716,14800,0,0,-2936.1558375220484,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2075472080058264,,,,,1.0,,,,,,,,,,,,-8075.8030659044225,,
2020-03-18,3.0199999809265137,3.109999895095825,2.859999895095825,2.859999895095825,17200,0,0,-20136.15583752205,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.05253633540347201,,,,,0.0,,,,,,,,,,,,-2319.3432326747543,,
2020-03-19,2.7699999809265137,2.9700000286102295,2.6600000858306885,2.6600000858306885,32500,0,0,-52636.15583752205,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.18294566654612718,,,,,0.0,,,,,,,,,,,,-4100.225981576736,,
2020-03-20,2.6600000858306885,3.0,2.5,2.799999952316284,29900,0,0,-46656.16154049446,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.0842766687314614,,,,,0.0,,,,,,,,,,,,-699.042529682901,,
2020-03-23,2.8499999046325684,2.8499999046325684,2.4200000762939453,2.75,17300,0,0,-37402.66870691624,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.10606058025772656,,,,,0.0,,,,,,,,,,,,1264.754376893462,,
2020-03-24,2.890000104904175,3.640000104904175,2.799999952316284,3.4100000858306885,41200,0,0,-18764.57124141881,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7959184724391252,,,,,2.0,,,,,,,,,,,,9579.073003827425,,
2020-03-25,3.640000104904175,3.8499999046325684,3.4100000858306885,3.549999952316284,13800,0,0,-23782.75781812216,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8883791931870901,,,,,0.0,,,,,,,,,,,,10454.569646272868,,
2020-03-26,3.6600000858306885,3.819999933242798,3.549999952316284,3.630000114440918,6900,0,0,-26593.86035401299,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,3.630000114440918,,0.9395250025240791,,,,,0.0,,,,,,,,,,,,722.0616353236542,,
