Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,8.449999809265137,8.449999809265137,7.679999828338623,8.020000457763672,175400,0,0,-20501.008108089696,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.48051975664377633,,,,,0.0,,,,,,,,,,,,-91027.05397366342,,
2020-03-16,7.260000228881836,8.050000190734863,7.159999847412109,7.360000133514404,140900,0,0,-98075.09925145903,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.2429719913759517,,,,,0.0,,,,,,,,,,,,-106130.24174914103,,
2020-03-17,7.489999771118164,8.550000190734863,7.190000057220459,8.470000267028809,165600,0,0,48042.568299810606,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.7924945263734068,,,,,1.0,,,,,,,,,,,,13379.735670860611,,
2020-03-18,7.960000038146973,8.25,6.619999885559082,6.619999885559082,142200,0,0,-94157.4317001894,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.034767013291347425,,,,,0.0,,,,,,,,,,,,-6084.034751387146,,
2020-03-19,6.119999885559082,6.670000076293945,6.119999885559082,6.28000020980835,295500,0,0,-217729.87017521268,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,-0.054166507720970175,,,,,0.0,,,,,,,,,,,,-46235.76025121976,,
2020-03-20,6.380000114440918,7.010000228881836,5.849999904632568,5.880000114440918,220900,0,0,-427203.93139204325,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.13915080564848026,,,,,0.0,,,,,,,,,,,,-29246.789527584297,,
2020-03-23,6.050000190734863,6.489999771118164,5.820000171661377,6.360000133514404,117400,0,0,-355362.04058212414,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.13632060818097821,,,,,0.0,,,,,,,,,,,,-4486.392915081471,,
2020-03-24,6.550000190734863,7.190000057220459,6.019999980926514,7.119999885559082,163700,0,0,-211250.12152869068,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5335365066494354,,,,,0.0,,,,,,,,,,,,29145.30209103551,,
2020-03-25,7.03000020980835,7.659999847412109,6.679999828338623,7.28000020980835,203600,0,0,-165543.84542733067,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6036674713163169,,,,,0.0,,,,,,,,,,,,24136.91867183889,,
2020-03-26,7.369999885559082,7.800000190734863,7.199999809265137,7.630000114440918,92500,0,0,-125460.50229235087,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,7.630000114440918,,0.7627811967626366,,,,,2.0,,,,,,,,,,,,9022.404289195085,,
2020-03-27,7.269999980926514,7.289999961853027,6.760000228881836,6.809999942779541,99100,0,0,-205862.48665568297,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,7.606398599285447,,0.34464917298822745,,,,,0.0,,,,,,,,,,,,-6203.215679120627,,
