Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,9.970000267028809,9.970000267028809,9.800000190734863,9.800000190734863,656700,0,0,-656700.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3333333333333316,,,,,0.0,,,,,,,,,,,,-43462.58025212488,,
2020-03-16,9.649999618530273,9.699999809265137,9.520000457763672,9.600000381469727,644600,0,0,-728320.7043440022,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.12380938108252033,,,,,0.0,,,,,,,,,,,,-105960.45383477179,,
2020-03-17,9.550000190734863,9.78499984741211,9.550000190734863,9.550000190734863,455300,0,0,-1183620.704344002,0.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.12250658606883572,,,,,1.0,,,,,,,,,,,,-15526.452357534703,,
2020-03-18,9.5,9.59000015258789,9.125,9.300000190734863,115100,0,0,-1212086.229746596,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.08571464469399558,,,,,0.0,,,,,,,,,,,,-5384.452063492894,,
2020-03-19,9.550000190734863,9.600000381469727,9.270000457763672,9.270000457763672,43200,0,0,-1255286.229746596,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.028985382052762253,,,,,0.0,,,,,,,,,,,,-3152.4425405172474,,
2020-03-20,9.350000381469727,9.5,9.350000381469727,9.350000381469727,2150700,0,0,-3405986.229746596,0.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.1372549325155416,,,,,0.0,,,,,,,,,,,,18421.145586664235,,
2020-03-23,9.352999687194824,9.5,9.300000190734863,9.300000190734863,127900,0,0,-3533886.229746596,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.07321734880161035,,,,,0.0,,,,,,,,,,,,17876.539381687744,,
2020-03-24,9.609999656677246,9.609999656677246,9.609999656677246,9.609999656677246,300,0,0,-3533886.229746596,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7003844100766128,,,,,0.0,,,,,,,,,,,,-673.9598178690186,,
2020-03-25,9.75,9.800000190734863,9.630000114440918,9.630000114440918,169500,0,0,-3703386.229746596,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7096492165894607,,,,,0.0,,,,,,,,,,,,362.7656133742004,,
2020-03-26,9.59000015258789,9.869999885559082,9.59000015258789,9.680000305175781,380300,0,0,-3839207.0106703667,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,9.680000305175781,,0.7782880571015107,,,,,2.0,,,,,,,,,,,,2327.3318105055378,,
2020-03-27,9.65999984741211,9.680000305175781,9.649999618530273,9.680000305175781,2325200,0,0,-1514007.0106703667,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.680000305175781,,0.776772799298509,,,,,0.0,,,,,,,,,,,,1974.5661796985814,,
2020-03-30,9.65999984741211,9.789999961853027,9.649999618530273,9.65999984741211,9000,0,0,-1521721.2701100162,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,9.679773343236503,,0.7049639368983983,,,,,0.0,,,,,,,,,,,,-18.59546634278522,,
2020-03-31,9.770000457763672,9.8149995803833,9.75,9.75,23900,0,0,-1545621.2701100162,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,9.682535614480617,,0.9185644727541253,,,,,0.0,,-0.5102060179767605,,,,,,,,,,204.07572214867577,,
2020-04-01,9.770000457763672,9.880000114440918,9.770000457763672,9.850000381469727,6700,0,0,-1542575.794441792,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-12911.096799718169,,9.725428349104744,,1.161057233204909,,49.82253553255788,,,0.0,,2.604166563186385,62.5512318665607,,,,,,2.989688591204092,,-494542.85714285716,291.38939934758076,,-14.201165400932457
2020-04-02,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,298800,0,0,-1542575.794441792,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,7.796703394317326,-11920.388225442024,,9.75372583895567,0.0,1.1056103902840242,,47.5578661929754,,,0.0,,2.9319343181044033,60.83474249538935,,,,,,2.9901810700984175,,-372378.5714285714,-537.99615953393,-0.056761296423959995,-6.622540815359838
2020-04-03,9.800000190734863,9.8100004196167,9.789999961853027,9.800000190734863,239800,0,0,-1542575.794441792,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,8.327342242699492,-11245.180759877694,,9.763399582268917,3.5433273843582924,1.0124431745436964,,50.564607404194405,,,0.0,,5.376343975757394,58.25258578282151,,89.5267596683053,,,,2.943143492090406,,-271497.61904761905,-1338.5491641160174,0.058075821085859514,-10.596014778791803
2020-04-06,9.739999771118164,9.78499984741211,9.739999771118164,9.75,322700,0,0,-1721850.5327116176,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,8.078002893271696,-11943.73515848665,,9.760598373513087,7.617986866989526,0.8474901849453712,,44.25060202523563,,,0.0,,5.1779883336934045,54.12878076791303,,88.52096293723224,,,,2.8759135478065647,,-156692.85714285716,-2378.269613736974,-0.007752482417097806,-17.218555594151642
2020-04-07,9.800000190734863,9.829999923706055,9.789999961853027,9.800000190734863,13400,0,0,-1728550.3729710174,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,18.036436569420534,-10141.772627867535,,9.764904380419477,10.621419113985908,1.002535396558211,,45.18730218949224,,,0.0,,4.812831988295612,57.37815577132434,,86.35689355153404,,,,2.535732592644183,,-244561.90476190476,-1577.716609154886,0.3120721229566068,-13.11474897245443
2020-04-08,9.75,9.800000190734863,9.75,9.800000190734863,61700,0,0,-1666850.3729710174,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,13.60515509679737,-8692.9479667436,,9.768368817317052,14.539873735903214,0.9962691634910169,,44.34562187091053,,,0.0,,5.376343975757394,57.37815577132434,,85.29120110829518,,,,2.0878668502527,,-305250.0,68.71821085611978,0.24020778636111917,-13.79309210850842
2020-04-09,9.800000190734863,9.800000190734863,9.710000038146973,9.800000190734863,18900,0,0,-1647950.3729710174,0.0,,,0.7133093641201873,52.440134371077185,-0.20436652814105402,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.010500049591064098,0.7988165413347148,12.929864351453114,-7451.098257208801,,9.770594020126198,18.263474719041525,0.9855600370223113,,15.1090500734676,,,0.0,,1.9771128079656122,57.37815577132434,,86.43302227017625,,,,1.6945576753946805,,-254245.23809523808,0.0,0.24788633716307118,-13.79309210850842
2020-04-13,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,75000,0,0,-1647950.3729710174,0.0,,,0.7133093641201873,69.96101460622047,-0.13248467962724103,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03950014114379918,0.8940398522120819,13.209101160628617,-6386.655649036116,,9.772662684441855,24.099138297903906,1.028205657710811,,17.21069747084529,,,0.0,,1.7653174898618875,57.37815577132434,,81.6092105219888,,,,1.015178192328654,,-229933.33333333334,0.0,0.36825291294204276,-27.58618421701684
2020-04-14,9.800000190734863,9.899999618530273,9.800000190734863,9.8100004196167,549300,0,0,-2087387.2298332201,0.0,,,0.7089534858455248,81.70962913176686,-0.18398832029041629,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.02900013923644984,0.883871944241404,13.274118231442179,-4689.54402420346,,9.776547984668165,30.463968582078323,1.0390226324872875,,27.4413541090656,,,0.0,,1.3429763465132172,58.175178417167956,,76.52955800316397,,,,0.8797017790456877,,-106614.28571428574,560.5230222327754,0.3516468852266599,-29.032049664982864
2020-04-15,9.890000343322754,10.0,9.770000457763672,9.795000076293945,116300,0,0,-2178404.9566008383,0.0,,,0.6722477567775543,83.82795172300743,-0.14115019825713868,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.0032503128051750707,0.7657143729073661,13.016316554157815,-4268.829153379577,,9.77703853593894,34.820178484807386,0.9353877593944331,,26.608798398485575,,,0.0,,1.1880141269900069,56.46938122576856,,64.46058870600011,,,,0.7623682290445158,,-70347.61904761908,382.6902134851033,0.2704619039538435,-50.0
2020-04-16,9.774999618530273,9.800000190734863,9.720000267028809,9.800000190734863,401800,0,0,-1776604.9566008383,0.0,,,0.660554624928005,38.73306860844402,-0.07696863095198547,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0617498397827152,0.7260274867399995,12.759660953344248,-3371.9898482738035,,9.778272077353055,35.133776502614865,0.9354466704813864,,17.962213617877893,,,0.0,,1.4492789392772056,56.92280110322184,,54.60840332282655,,,,0.7017924106195588,,37050.0,27.276529354649455,0.08298701658442376,-57.14274036653751
2020-04-17,9.800000190734863,9.800000190734863,9.779999732971191,9.779999732971191,26100,0,0,-1802704.9566008383,0.0,36.00000000000001,,0.613477892246735,41.618839509953375,-0.07481157351130092,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.13625025749206543,0.6857138186083708,12.929857273040922,-2964.850148182094,,9.7783648901217,35.107122632052494,0.7880019192262401,,37.99242229776579,,,0.0,,0.3076895689352965,54.47838781294208,,43.333369663743895,,,,0.6492221001299909,,26871.42857142858,151.8428138704794,0.24267686259675403,-62.857150642230835
2020-04-20,9.800000190734863,9.800000190734863,9.800000190734863,9.800000190734863,300,0,0,-1802704.9566008383,0.0,36.0,,0.6321163210178568,47.2968844791933,0.31029849099958534,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.09374980926513743,0.7142859089131788,6.818750249152226,-2540.4429645376376,0.29250001907348633,9.778454943402089,32.67982257260125,0.8138730482513743,,37.744804023802665,,,0.0,,-0.5076161299336185,56.49052195385165,,37.01154948289653,,,,0.5423295369460116,,-11173.809523809527,-52.65301324074532,0.18604620216106882,-68.9654605425421
2020-04-21,9.838000297546387,9.838000297546387,9.720000267028809,9.720000267028809,2000,0,0,-1804704.9566008383,0.0,36.0,,0.3628248475583324,-11.114322777484379,0.34302346223879343,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.042750072479247336,0.317073567859768,-3.245341900817409,-2200.379662091134,0.29250001907348633,9.777053519601848,29.83860141450851,0.20266716472320942,,37.01428265233202,,,0.0,,-1.119019913845275,47.45495896050819,,23.87524801855605,0.0,,,0.6324134793853851,,-142876.19047619047,-15.71300373319645,0.031791867683795716,-96.55164475955894
2020-04-22,9.760000228881836,9.800000190734863,9.760000228881836,9.789999961853027,32700,0,0,-1788355.346415587,7.3959806473861605,36.0,,0.6004016563318405,13.060498331708208,0.34405544276639116,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,-0.016250133514404297,0.48780459438588003,-8.220656231269617,-1559.0411359706932,0.29250001907348633,9.777162829468482,26.447322426320447,0.5867109293324593,,37.77026142201021,,,0.0,,-0.10204314986942933,54.33724884988784,,20.689692971638607,0.514379763427225,,,0.6416962423358882,,-142533.33333333334,219.16627929510932,-0.050608401206956755,-72.41381578298316
2020-04-23,9.770000457763672,9.800000190734863,9.770000457763672,9.800000190734863,300,0,0,-1788055.346415587,7.4494968654743605,36.0,,0.6249160502236858,17.950612504566287,0.39054909737184634,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.025250053405761363,0.5121954056141199,-4.649177706199687,-1335.8923924513726,0.2975001335144043,9.777257886123076,22.562560080188447,0.6273528080305526,,43.86552463068277,,,0.0,,0.5128224690755208,55.23922957280024,,20.689692971638607,0.7209242123654279,,,0.63997762770147,40.100018443734754,-121211.90476190475,235.79923617223614,-0.05010038424086871,-68.9654605425421
2020-04-24,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,400,0,0,-1788055.346415587,7.399724886496958,28.0,,0.6559315579821885,52.954798637641865,0.4533633190227836,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.018750047683715465,0.4571446477130915,-4.631305420002506,-1144.479180450786,0.22499990463256836,9.777520784410388,19.404849255876798,0.699643819538779,,50.36900882764014,,,0.0,,0.10204314986942933,56.17157265531898,,31.034539457457907,0.8131003035945998,,,0.6254327050729893,51.87262936224177,-104645.2380952381,0.7146147523112845,0.0,-65.51710530210104
