Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,42.209999084472656,42.5,36.619998931884766,41.25,674300,0,0,387607.8752075214,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5958050015343125,,,,,0.0,,,,,,,,,,,,-258642.49998363786,,
2020-03-16,36.279998779296875,40.56999969482422,35.38999938964844,36.33000183105469,911100,0,0,-192821.78737589746,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.2787825943594224,,,,,0.0,,,,,,,,,,,,-365845.28375939326,,
2020-03-17,36.650001525878906,39.459999084472656,35.060001373291016,39.220001220703125,1048200,0,0,741030.0800494319,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.5709358543565278,,,,,1.0,,,,,,,,,,,,-25286.539075397188,,
2020-03-18,36.83000183105469,38.88999938964844,32.95000076293945,34.83000183105469,1214400,0,0,295341.8056223591,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.22655774694686037,,,,,0.0,,,,,,,,,,,,-52548.23015451913,,
2020-03-19,35.0,39.75,33.27000045776367,38.66999816894531,799900,0,0,828608.0013975815,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5914034666680533,,,,,0.0,,,,,,,,,,,,-47742.31843763706,,
2020-03-20,38.66999816894531,40.0,36.790000915527344,38.130001068115234,838800,0,0,690114.8229338711,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5357028835139293,,,,,0.0,,,,,,,,,,,,76475.51025085468,,
2020-03-23,39.15999984741211,40.790000915527344,37.29999923706055,39.959999084472656,719000,0,0,1067125.6942693314,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.699681799660575,,,,,0.0,,,,,,,,,,,,22794.232292494584,,
2020-03-24,41.939998626708984,42.849998474121094,41.0,41.90999984741211,614300,0,0,1057164.469771119,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.876749943236783,,,,,2.0,,,,,,,,,,,,64484.550575784175,,
2020-03-25,41.7599983215332,43.130001068115234,40.40999984741211,41.5,568200,0,0,944359.9173807636,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8063857029100605,,,,,0.0,,,,,,,,,,,,24418.490939630745,,
2020-03-26,42.81999969482422,45.0,42.060001373291016,43.0,848000,0,0,638617.8818625419,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,,,,,,43.0,,0.9411578590564864,,,,,0.0,,,,,,,,,,,,25091.978831787463,,
2020-03-27,41.52000045776367,45.79999923706055,41.25,44.540000915527344,967500,0,0,1070272.351975851,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,43.03360452201329,,1.0704689867018586,,,,,0.0,,,,,,,,,,,,65300.623009003786,,
2020-03-30,44.810001373291016,44.9900016784668,41.31999969482422,42.119998931884766,530000,0,0,771334.6770273806,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,42.986060618405695,,0.7574370930028954,,,,,0.0,,,,,,,,,,,,5853.410249870798,,
2020-03-31,42.779998779296875,43.38999938964844,41.029998779296875,42.0,869100,0,0,616665.0523547009,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,42.96242970815282,,0.7309031072172116,,,,,0.0,,1.8181818181818181,,,,,,,,,,-31272.65674896625,,
2020-04-01,41.54999923706055,43.34000015258789,39.91999816894531,40.75,980700,0,0,111978.10708888242,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-671891.424267824,,42.76859568281223,,0.5667379777244081,,53.910932960570904,,,0.0,,12.166248131501943,49.35882324132304,,,,,,6.814995895266807,,-34126.19047619053,-31663.546399471812,,-39.29960962431907
2020-04-02,40.5,44.45000076293945,40.5,43.9900016784668,725200,0,0,668271.1341133516,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,57.500634105521335,-240242.76119754626,,42.86501509103991,0.0,0.9485067446989544,,56.98782876061449,,,0.0,,12.162162950789824,58.387691805291325,,,,,,6.8229821968588595,,27304.761904761894,28472.603490162473,0.09529686903218637,-14.085585786169123
2020-04-03,44.16999816894531,45.439998626708984,43.45000076293945,45.09000015258789,675100,0,0,1105899.5526800207,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,163.14328404796714,-99835.37104373248,,43.11825290217991,10.599808658746156,1.0705841490787578,,63.98722026496459,,,0.0,,29.45735797345067,60.934270005354094,,80.36317307644732,,,,6.0325514384095955,,-20504.761904761894,74541.41609630996,0.23648396550821493,-5.525285360169806
2020-04-06,46.54999923706055,47.66999816894531,45.97999954223633,47.34000015258789,518100,0,0,1421665.6932641438,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,240.18383139808165,80958.9676768007,,43.62404419592086,25.502131199904,1.3406309377029544,,62.74866992809076,,,0.0,,22.420487184313316,65.57498095217213,,92.71576470278177,,,,5.887427138665472,,-136840.4761904762,42734.605931831684,0.34514480464837427,-2.2418347453157867
2020-04-07,47.95000076293945,48.209999084472656,45.900001525878906,46.810001373291016,639200,0,0,1286078.262292072,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,292.9377361218765,20996.940904891686,,43.856275320410084,35.19488419828133,1.2417590333218627,,64.64891215112377,,,0.0,,22.764227804950423,63.65671065306664,,94.28735925116116,,,,4.1772508723449135,,-124421.42857142852,18697.078314391194,0.4407894933908667,-9.370802141030953
2020-04-08,47.5,48.2400016784668,46.91999816894531,47.81999969482422,648800,0,0,1522004.6827572903,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,266.427232452186,111609.79377715604,,44.259376506999956,50.83550823846366,1.3633753729784712,,64.74156857919525,,,0.0,,19.669671647729693,65.71499920909051,,94.90640792097935,,,,3.8282087711509067,,-122395.2380952381,6842.6504402392775,0.4906108756684334,-3.6681393507152475
2020-04-09,48.439998626708984,48.939998626708984,46.65999984741211,47.29999923706055,609400,0,0,1254723.8379017804,0.0,,,0.8598912120504125,129.1005735651939,0.08147927749324842,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6280002593994141,0.8974359219043812,220.78012334339428,50395.78338596495,,44.449000496382226,60.282693895613534,1.261764485559684,,57.77567480945411,,,0.0,,12.860890978937245,63.71427811144855,,90.9572386446672,,,,3.2639422123503556,,-75576.19047619053,7372.176179606585,0.42075833289752695,-14.089342574252234
2020-04-13,47.060001373291016,47.86000061035156,46.11000061035156,47.68000030517578,306600,0,0,1498251.7309681866,0.0,,,0.8457052681899911,105.8725498282073,0.07388726787305844,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.550499725341794,0.9212008449114222,165.01658901139277,59840.432542845796,,44.594215528473825,77.39800139790995,1.3136642095161541,,52.923785457748416,,,0.0,,14.891567000423569,64.56334239415354,,89.42452650694553,,,,3.1560862342389915,,-156985.71428571432,-4163.5110612832705,0.36497466760091246,-13.968938554195976
2020-04-14,48.59000015258789,49.68000030517578,48.029998779296875,48.83000183105469,412500,0,0,1485752.8869359859,0.0,,,0.8834657319066586,127.5499619710698,0.11550090651014129,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.4655006408691378,0.94919315616386,156.4932008558248,119059.74638316051,,45.3213950977949,99.85805799157549,1.453472438570004,,52.2852200062894,,,0.0,,13.558143793150437,67.07429314265863,,87.74424000610195,,,,3.1560862342389915,,-221338.0952380952,12412.331448662731,0.3230330559233059,-8.708998853245971
2020-04-15,47.290000915527344,47.599998474121094,46.279998779296875,47.16999816894531,478000,0,0,1652328.3514910822,0.0,,,0.7469287292150539,79.62345392237667,0.0652661551724332,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,-1.3520011901855469,0.8499699817747304,124.01963600750628,-11303.324598474006,,45.49037508563041,115.18434314172936,1.1441667972995913,,52.43867563740669,,,0.0,,5.904798382033958,60.41917809078741,,83.86827773969428,,,,3.273838580550488,,-258695.23809523816,-6300.728407153958,0.25508603913338124,-25.717229373475195
2020-04-16,47.2599983215332,48.36000061035156,46.54999923706055,47.58000183105469,540200,0,0,1726942.6930558656,0.0,,,0.764985172389315,81.72932651805176,0.10773150575933556,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.1095001220703153,0.8720293422518058,92.76024689972334,21952.004382948617,,45.82512615555027,122.90894546106847,1.1586014894966505,,51.120419123409256,,,0.0,,12.962970174808596,61.43691290187039,,81.35246622469343,,,,3.344562355974864,,-158842.85714285716,-11554.439905316409,0.19890861151478567,-21.51637309919852
2020-04-17,48.7400016784668,49.72999954223633,48.0,49.72999954223633,485400,0,0,2212342.6930558654,0.0,84.0,,0.8906882258378307,109.30407970902785,0.10665361694902029,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3.9125001907348604,1.0,128.8235132097179,167902.9879007514,,46.37197916872847,125.08785178918048,1.5318601706923765,,48.74383213819939,,,0.0,,18.4047608148484,66.32650824711996,,84.25546584244209,,,,3.344562355974864,,-100107.14285714284,26629.213258261243,0.2954745327469207,-0.0
2020-04-20,49.400001525878906,52.09000015258789,49.400001525878906,50.0,681100,0,0,1835078.506700009,0.0,88.0,,0.885735101969225,127.98605612871415,0.08933582626682518,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-1.265998458862306,0.8586883013378521,200.16006753210104,170187.89131247794,6.475000381469727,46.81825972475717,117.74006901558187,1.4741024921017885,,56.028539897947205,,,0.0,,22.699386503067483,66.89420490157545,,87.10341709640655,,,,3.012881479091625,,-43200.0,25631.686528972623,0.4394350532532709,-17.173375611581758
2020-04-21,48.75,49.97999954223633,47.33000183105469,47.880001068115234,426300,0,0,1585733.1310527697,0.0,88.0,,0.6940574472394468,71.06527159643167,0.04141008142828704,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.562000083923337,0.6540675104136203,125.6893086470778,16767.40045891315,6.579999923706055,46.82812536514601,102.25358041775851,0.9621790717517275,,58.40009737970063,,,1.0,,8.842917120306911,58.54788177345699,,82.74445847659341,0.5187025003181642,,,2.835246193759602,,-49538.09523809515,-14377.195882680277,0.36718307846349685,-34.59324895863797
2020-04-22,48.689998626708984,48.689998626708984,47.099998474121094,48.13999938964844,559600,0,0,1758189.0511504645,24.52881002793023,88.0,,0.6954442595106229,55.23250303873186,0.05622139557136461,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.376499938964841,0.6754313788733511,124.71239401173149,35157.06621192277,6.579999923706055,46.85577091607214,90.48998394766923,0.9558103171782736,,60.595902791163965,,,0.0,,6.764247564291692,59.21989013270166,,71.3840882984634,0.0958025233448264,,,1.9634608203148993,,5273.809523809468,-15036.367002600977,0.37700800305656434,-34.081110534390035
2020-04-23,48.20000076293945,50.15999984741211,47.959999084472656,49.349998474121094,506100,0,0,1891614.912188027,24.837161807593414,80.0,,0.7794523294428192,82.515569129901,0.07634904728878797,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4540012359619112,0.7748561025586052,128.01018911392111,117617.56198902114,6.579999923706055,46.91605306072237,78.7886567865668,1.135435967100155,,59.90317206489655,,,0.0,,4.24587730260775,62.28431597855184,,66.53755195900804,0.43821885237572133,,,1.9664628751217552,51.69143786554236,-37409.523809523846,15759.569491308841,0.4203334605747122,-31.712984629947847
2020-04-24,49.869998931884766,52.11000061035156,48.90999984741211,51.560001373291016,584100,0,0,2274930.863579259,25.710932136517332,96.0,,0.9280185624561244,124.79646028371408,0.13475360139312498,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0359994888305692,0.9548811216647223,143.27353201853165,285224.0093341826,6.504999160766602,47.284141031164836,72.01759134533081,1.5131937163147702,,59.853511975205734,,,2.0,,10.147404103069025,67.14107505585119,,75.11641101529155,1.0,,,1.9664628751217552,57.584554546365965,21690.476190476213,38878.1251613092,0.3707146832132394,-8.856671789787422
2020-04-27,52.65999984741211,53.0,50.81999969482422,50.9900016784668,323400,0,0,2001969.9771697284,26.76392853471268,92.0,,0.8367806937741376,139.5748727143225,0.08102493501064251,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.19349899291992045,0.8463304250645407,155.2297540711748,218143.73638556333,4.744998931884766,47.48098481015385,63.570212343772596,1.3565344332821216,,58.9741671358055,,,0.0,,6.629029702787058,64.82252240995184,,77.04016732719103,0.7301873041015364,,,1.9885352512414662,51.71884607875931,-43135.71428571426,22582.08822635202,0.34696550156401373,-28.309841598691612
2020-04-28,50.81999969482422,51.060001373291016,48.849998474121094,49.7400016784668,502200,0,0,1904257.780683733,26.60215593698269,64.0,,0.7088667131521882,81.67276927397646,0.09876324883022138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.19249992370605185,0.7507646892072081,87.84078068970791,97301.7740447686,4.625,47.50820195584813,53.20792888731491,1.0227618291486489,,59.824993119816206,,,0.0,,5.15856761260676,59.93457864834257,,71.83951919309716,0.1613715448163671,,,2.180536763701271,47.568086648381005,-34650.0,-15886.448426589424,0.20579625245467859,-47.314929032229486
2020-04-29,51.060001373291016,51.66999816894531,49.779998779296875,50.970001220703125,424100,0,0,2014210.900663065,26.64875272686451,64.0,,0.8053964494083569,105.67646611764388,0.1267488820442735,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.8940013885498033,0.8448013382936057,104.72197070126899,157921.9214472912,3.5900001525878906,47.74297881755054,52.394080866279815,1.2101303083588897,,58.70203374177417,,,0.0,,6.900169661220003,62.899161670648446,,64.97075154525852,0.5063635547575068,,,2.2018788469602657,50.65818658879407,-71933.33333333331,-1823.8468980888829,0.21819934550011155,-29.462974733303362
2020-04-30,50.34000015258789,50.61000061035156,48.93000030517578,48.970001220703125,387100,0,0,1645544.6525533835,26.22007019860703,64.0,5.6645881877226,0.583597087229793,51.407229848072504,0.1469989499606519,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.1770023345947251,0.67760009765625,69.23797578326689,24761.646954821044,3.5900001525878906,47.76295374284141,48.49732179592436,0.6673005160611387,-0.13888155810069236,60.480998105763895,,4.470088156632792,0.0,-10.83404754029802,0.28670772967164077,55.68417663917157,,54.910514244121465,0.0,,,2.5624570128830166,49.34958643089744,-34821.42857142858,-4701.9364971508785,0.1440105436897986,-58.49055350210279
2020-05-01,48.310001373291016,48.970001220703125,46.630001068115234,47.529998779296875,368400,0,0,1560528.5287746163,24.68948821871973,64.0,4.8802353802849225,0.3435846467925579,-38.30748581964702,0.0885553752752925,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.9439985275268583,0.42722495730934,13.086496319780062,-54561.00252644802,3.355001449584961,47.75622226456308,39.929082748103404,0.25979877597345136,-0.33097846405266873,59.91051349060589,,4.277710177271439,1.0,-11.424550778389603,0.7631982707783341,51.13601997005149,,43.54921962061229,0.0,,,3.305114636843213,46.465274310620906,-83835.71428571426,-26022.426266401802,0.06812437411348482,-81.39881290275703
2020-05-04,47.459999084472656,51.41999816894531,46.900001525878906,51.279998779296875,637700,0,0,2158725.131834816,24.159158222500285,64.0,4.001411841897408,0.9106432527236041,58.645387446303886,0.10488086420557219,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.8964992523193374,0.7577462548798585,28.5123782338604,294858.4264059017,3.355001449584961,47.80087398614748,38.47917723211241,1.0852899881059395,-0.21284991876321335,61.2831436085416,,4.146719703958358,0.0,-11.161210502524124,7.776369915621273,60.24292421492775,,44.8384606613707,0.569001743265242,,,3.308299893911039,54.52890085986623,-28721.42857142858,39479.861952770734,0.043133841146280716,-25.595251611028107
2020-05-05,51.88999938964844,52.150001525878906,50.22999954223633,50.58000183105469,370000,0,0,1923621.7079488756,23.905115236082192,64.0,3.838706072639013,0.7650782663002218,106.3148618263708,0.05075286795865922,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0044996261596708,0.6591551142206572,141.52919484002683,215735.95536940012,3.355001449584961,47.88668698729198,36.57826634651892,0.8741524157351735,-0.18997384545617302,67.54356706372323,,4.028238993970344,0.0,-11.213282244757307,1.7092344593658029,58.06740022380603,,51.82886282256046,0.4330744390817079,,,3.221396526520756,48.99784058765543,-26707.14285714284,45262.281398820516,0.25411075008017125,-37.51934701853351
2020-05-06,50.380001068115234,51.0,49.5,49.97999954223633,245500,0,0,1835241.558107567,23.310546413114658,64.0,3.322235791823445,0.6453768062401368,57.02830708181675,0.0578279677581735,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.2739992141723633,0.5616834941522735,88.1795207032873,163873.5957587848,3.355001449584961,47.92688633459354,35.26374377030348,0.7023331236433814,-0.22118496342412208,62.39543268878009,,3.8949664243348114,0.0,-11.883685460560624,-0.04000091552734375,56.19417258429142,,63.15855103685249,0.31603468948555624,,-9.338073558828654,3.252701683487663,50.844652996045006,-46623.80952380953,-7962.909400892613,0.16867836146644155,-47.409748259880935
2020-05-07,50.77000045776367,51.5099983215332,49.84000015258789,49.849998474121094,341200,0,0,1498127.1042723074,22.941600256079038,60.0,3.08661792979521,0.606634629496166,63.51363687296095,-0.0025985241416256093,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.1155008316040025,0.5428154129285583,67.14247925831708,134126.4585873987,3.355001449584961,47.94117836518344,31.467222163260175,0.6382651984510571,-0.2541622414929181,61.604229944358615,,3.7462425099089,0.0,-12.583910356891977,4.114447289178824,55.774344635008106,,55.20677434168967,0.2898037301397303,,-8.98332218129281,3.371310962059643,46.629105023995166,-135157.14285714284,-3799.711561754586,0.11083892748360058,-49.45058169651653
2020-05-08,48.970001220703125,52.380001068115234,48.31999969482422,52.099998474121094,653400,0,0,2061402.1618920686,21.84937050250839,96.0,3.245000132392434,0.9494936572070034,85.00234575390877,0.08736998386100656,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.14550170898437642,0.8693756740775519,-0.31808152097416303,324986.9645034846,2.7550010681152344,47.97329304983393,29.42829761756989,1.1006504475263565,-0.13405239587723172,61.46874630074595,,3.659188242620769,0.0,-12.13798392697962,8.226005680681784,61.180082211128955,,63.00363843530713,0.6275556183489142,,-7.048320445639587,3.3713109620596433,54.315139346089275,-38711.904761904734,28603.993036126914,-0.023214838197642362,-14.128754737681131
2020-05-11,51.41999816894531,53.0,50.529998779296875,52.36000061035156,613600,0,0,2357023.6749207205,21.082886431904075,92.0,3.391882413976333,0.93465868114908,131.2994329991787,0.09001896707015096,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.8305011749267592,0.9047620128882249,133.16754363618693,301351.29968741763,1.5900001525878906,48.04197723463772,29.03335790693744,1.0961058216730808,-0.05097834564752324,69.1087460359104,23.21686555991511,3.6144362809335746,2.0,-11.12579521708603,6.099295297463686,61.76172725208704,,75.4578585671308,0.6638969516239333,,-5.286280505992414,3.1751574151739654,60.45699741060855,70609.52380952379,32553.611899181473,0.18386039223610484,-10.047087864409946
2020-05-12,52.34000015258789,54.5,50.47999954223633,50.560001373291016,1018000,0,0,1379542.0106121437,20.936993822816152,92.0,3.3411469515632177,0.6233000717440161,112.38385249922845,-0.010468870258821034,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1740015029907198,0.5206815034545745,169.0416456479098,-3470.2036004472175,0.36499977111816406,48.066849415420016,30.090249839011207,0.6572230963513782,-0.1268207785925779,64.02800514319298,23.5193079997987,3.532620483342307,0.0,-8.590306518924036,-1.9394879235166536,55.55571989468722,,75.2535452171552,0.27614399956405383,,-5.029735522873298,3.1523502883738437,53.042123501402486,263466.6666666666,-31934.028475843712,0.2534473772747997,-50.06352174644329
2020-05-13,50.7599983215332,51.290000915527344,46.63999938964844,47.060001373291016,729500,0,0,781823.234924473,19.75866272836439,-8.0,2.8725293439977264,0.04711562022853419,-91.25101833954092,-0.08372737225197992,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.07049865722656534,0.06415120594804814,-27.6253842977446,-367724.46022895473,0.36499977111816406,48.02336640403098,23.94513964883882,-0.05247126468604837,-0.4064942257804467,55.3465240398889,23.90302655464836,3.3122678691598466,1.0,-6.130995769890279,-7.707393951382101,45.89813933217252,,48.45106051317753,0.0,,-7.115530738661699,4.13946069212342,39.35114149180688,272876.19047619053,-85495.57032296328,-0.004908256586905524,-94.53620884961414
2020-05-14,46.470001220703125,46.630001068115234,44.790000915527344,45.2599983215332,572700,0,0,501696.59590053785,19.298183385566027,-12.0,1.815412038915298,-0.13185742912605958,-225.94059541167923,-0.11748001775321,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.275501060485837,0.04840344493517371,-159.06596145441944,-462458.3584450611,0.0,47.91042991430462,17.043029112682817,-0.3860357183079889,-0.6898477432928514,47.639473759204776,24.207468645031593,2.9503277465753777,0.0,-4.268550480892787,-9.006841989860758,41.86722458859688,,20.08020463248663,0.0,0.3716068873776021,-9.900784798992412,5.501719036826827,37.744498074871686,260057.14285714284,-72404.66914258993,-0.25357335027228434,-95.15965550648262
2020-05-15,45.369998931884766,47.33000183105469,45.09000015258789,47.2599983215332,546000,0,0,1013569.9105804696,18.57556940810076,-12.0,0.9084415323594044,0.18478645086399414,-147.07282171796984,-0.11427767230461358,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.6009988784790039,0.2543766878367325,-211.8227085869612,-240392.87866719527,0.0,47.90684893717911,14.49064878117224,0.03610218481239315,-0.7165743781703837,48.88130334632462,24.43145289134646,2.576159134728604,0.0,-2.9411897149000192,-7.278796959618246,47.39530644592199,,11.913934809192144,0.2628422591679733,0.32875095578473246,-10.582901685624062,6.079328962658787,43.09306062656049,86823.80952380947,2222.001718979558,-0.3007399544131628,-74.56233121632675
2020-05-18,49.18000030517578,54.130001068115234,48.70000076293945,53.25,1066700,0,0,1734525.1273016287,18.745844502133078,8.0,0.5955006543327741,0.9395287470392288,104.89635277734182,-0.009245777648900413,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.2035013198852553,0.8712667231865258,38.885383547586365,706739.6454881943,0.0,47.99282682871576,6.491063511379835,1.149373303988427,-0.3247853966330796,59.068754463611455,24.8075807778065,2.4027352493294853,2.0,-0.6608200777497952,8.740042214839507,59.74279556865956,,39.13489519861439,0.8499250882277269,0.3086905515020345,-6.7337820596286955,6.0056842410300195,53.95375160972179,158902.38095238095,159326.9062425041,0.004705899882067488,-12.873327681347424
2020-05-19,53.09000015258789,53.70000076293945,51.810001373291016,52.380001068115234,599500,0,0,1496628.2250790116,18.903957089448802,8.0,0.33835379656623843,0.7979428749811613,120.465609363811,-0.00806466819688643,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.3214986801147433,0.781668472525927,44.549848650982334,531267.6447520356,0.0,48.05702515146946,-1.810932288856577,0.9564175653070108,-0.12826612165871243,60.0707640384431,25.074759725167663,2.3292454571798697,0.0,0.890029334441397,10.204086710246086,57.62708024298841,,63.57706278497284,0.7921713812586821,0.3004095349179241,-4.375168675441786,6.013765706561693,48.69478171723427,155307.14285714284,125405.00479260711,0.03155920290628489,-21.8331527474073
2020-05-20,53.04999923706055,53.04999923706055,51.40999984741211,52.470001220703125,419000,0,0,1619263.2747166152,18.8910633942021,8.0,0.6795889573938751,0.778914936500249,97.94876155836516,-0.01273590293850954,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4050016403198242,0.7909372841710085,59.47670433660413,460759.4189209343,0.0,48.149473564707385,-7.518620790686867,0.9323375253205956,-0.0028827376070190702,59.6685025925992,25.273764498910364,2.3189513321144863,0.0,1.439525566830537,2.320597639886618,57.793597495723006,,81.46241599611538,0.8005413946011207,0.30003977802740744,-2.498389683597593,5.875053854368505,48.75490311920796,110695.2380952381,-9074.703384868317,0.05230615018731566,-20.906271582899155
