Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,10.859999656677246,10.859999656677246,9.369999885559082,10.0,3341800,0,0,-515847.3747070171,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4742729779007814,,,,,0.0,,,,,,,,,,,,-489860.8828820407,,
2020-03-16,8.90999984741211,9.119999885559082,8.0,8.010000228881836,3946900,0,0,-4392265.397195,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.03384423731561251,,,,,0.0,,,,,,,,,,,,-1288229.5402441444,,
2020-03-17,8.15999984741211,8.880000114440918,7.5,8.579999923706055,4043400,0,0,-2106866.36911344,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.3705095839892337,,,,,1.0,,,,,,,,,,,,-497700.5876656842,,
2020-03-18,7.989999771118164,8.0600004196167,6.980000019073486,7.0,3122000,0,0,-5113236.89264071,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.10355027981185945,,,,,0.0,,,,,,,,,,,,-287181.308267944,,
2020-03-19,7.010000228881836,7.71999979019165,6.349999904632568,7.53000020980835,3253000,0,0,-2762526.946095204,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.215062194793062,,,,,0.0,,,,,,,,,,,,-328615.06133537926,,
2020-03-20,7.25,7.539999961853027,6.21999979019165,6.25,4015400,0,0,-6595407.511551753,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.17590203741369076,,,,,0.0,,,,,,,,,,,,-436266.09856805566,,
2020-03-23,6.460000038146973,6.579999923706055,4.949999809265137,5.230000019073486,5940400,0,0,-10494932.505949648,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.4034433312150727,,,,,0.0,,,,,,,,,,,,-1652038.0293689023,,
2020-03-24,5.699999809265137,6.130000114440918,5.400000095367432,5.599999904632568,6815800,0,0,-13576051.233695887,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.21574440693671132,,,,,0.0,,,,,,,,,,,,-487284.88504598837,,
2020-03-25,6.03000020980835,7.519999980926514,5.900000095367432,7.309999942779541,6310200,0,0,-8901829.424222369,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4826802783228847,,,,,0.0,,,,,,,,,,,,2409053.095481629,,
2020-03-26,7.53000020980835,8.630000114440918,7.360000133514404,8.539999961853027,5508800,0,0,-4173805.5628400585,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,8.539999961853027,,0.923776561466349,,,,,0.0,,,,,,,,,,,,2853790.048083245,,
