Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,4.449999809265137,4.940000057220459,4.070000171661377,4.920000076293945,2605900,0,0,2486088.6042481265,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6590038377174953,,,,,0.0,,,,,,,,,,,,-798008.2687472274,,
2020-03-16,3.299999952316284,5.139999866485596,3.299999952316284,4.300000190734863,2718100,0,0,2722445.96820149,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.446494512017397,,,,,0.0,,,,,,,,,,,,-1173020.0939525194,,
2020-03-17,4.409999847412109,4.449999809265137,3.7300000190734863,3.8399999141693115,3127000,0,0,550917.5576392789,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2993196635827718,,,,,1.0,,,,,,,,,,,,-677041.1935651968,,
2020-03-18,3.6600000858306885,3.680000066757202,3.0,3.049999952316284,3149800,0,0,-2135677.047229298,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.020681198870038997,,,,,0.0,,,,,,,,,,,,-982522.1777129523,,
2020-03-19,2.950000047683716,3.140000104904175,2.809999942779541,2.9700000286102295,3480800,0,0,-2241155.6826954167,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.019894885683209122,,,,,0.0,,,,,,,,,,,,-739305.2988486447,,
2020-03-20,3.0799999237060547,3.440000057220459,2.869999885559082,2.9800000190734863,6122700,0,0,-6000706.15765018,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.06786427824866371,,,,,0.0,,,,,,,,,,,,-70684.45483194945,,
2020-03-23,3.0999999046325684,3.1600000858306885,2.5,2.7699999809265137,3984500,0,0,-6725161.357360032,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.0035273264410884348,,,,,0.0,,,,,,,,,,,,-260171.83030365204,,
2020-03-24,3.049999952316284,4.150000095367432,3.009999990463257,4.059999942779541,5414400,0,0,-2165667.99127273,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7731277072921998,,,,,0.0,,,,,,,,,,,,2240720.562065545,,
2020-03-25,4.289999961853027,4.630000114440918,3.809999942779541,4.199999809265137,3335100,0,0,-2328357.5463314187,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8162951966845386,,,,,2.0,,,,,,,,,,,,2636510.864246472,,
2020-03-26,4.199999809265137,4.539999961853027,3.8499999046325684,4.440000057220459,2463700,0,0,-578772.748106082,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,4.440000057220459,,0.9296875132086614,,,,,0.0,,,,,,,,,,,,255786.3492065068,,
