Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,88.79124757027888,98.32074009140428,82.81813087641828,97.84917449951172,12680400,0.0,0,11908963.366526198,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6565271779876316,,,,,0.0,,,,,,,,,,,,-792696.1703344182,,
2020-03-16,80.99082871244586,91.54203324418793,78.95721656114249,84.36053466796875,15072400,0.0,0,9779298.073666954,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.33572351299755276,,,,,0.0,,,,,,,,,,,,-2883090.1502016243,,
2020-03-17,86.06995269076215,87.37657515258164,81.75712268109233,85.05805969238281,10512200,0.0,0,11617094.884260623,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.38866243664771843,,,,,1.0,,,,,,,,,,,,-1990831.6658286133,,
2020-03-18,78.61336202748689,80.08699421929039,65.82223790055615,72.45358276367188,14359300,0.0,0,10608386.813809544,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.024165304225505176,,,,,0.0,,,,,,,,,,,,-2040939.042577729,,
2020-03-19,71.2648569937282,76.52081055538983,68.56319785036854,75.71522521972656,12330400,0.0,0,20442261.840535976,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.22741376547710648,,,,,0.0,,,,,,,,,,,,-1572780.3798896163,,
2020-03-20,77.59165442050598,80.99083195718433,71.28450260853155,72.81708526611328,12208600,0.0,0,12089020.125065915,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.14047312944780888,,,,,0.0,,,,,,,,,,,,87770.84316299227,,
2020-03-23,71.53992710587929,74.09422128458746,66.9225494557253,67.7477798461914,8907600,0.0,0,5231380.692567824,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.04563072199295295,,,,,0.0,,,,,,,,,,,,-1087426.884938973,,
2020-03-24,72.21780214809493,83.27986216512942,70.43961424502673,82.57252502441406,10593900,0.0,0,14658097.78743207,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.6642196137558494,,,,,0.0,,,,,,,,,,,,1698064.5255225492,,
2020-03-25,86.06994160105728,94.76436970892614,83.82019563949272,88.5849380493164,11046500,0.0,0,13230181.464225175,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8921546146902052,,,,,2.0,,,,,,,,,,,,3122521.5175743722,,
2020-03-26,90.61855515657776,97.93759967490489,89.24316358643135,91.65010070800781,9459400,0.0,0,9008195.547474302,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,91.65010070800781,,0.9846350827429654,,,,,0.0,,,,,,,,,,,,1131645.2592119966,,
