Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,67.63130375221516,69.16704158934132,63.5163272910564,68.90123748779297,2777200,0.0,0,2515926.4293138506,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6509869910529702,,,,,0.0,,,,,,,,,,,,-392648.19683005795,,
2020-03-16,59.69669409184382,68.30073406691486,59.06665042153779,62.84691619873047,2808400,0.0,0,2006942.1193553736,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3352075954866228,,,,,0.0,,,,,,,,,,,,-636825.2352258832,,
2020-03-17,63.67384813645228,65.51476140699666,61.23242708688882,64.95362854003906,2783000,0.0,0,4060604.96255737,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5094165779570842,,,,,1.0,,,,,,,,,,,,-153483.00002772256,,
2020-03-18,61.7148060354378,69.78724929051938,56.841810211082766,68.55669403076172,2289400,0.0,0,5914757.738511601,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7283365927384996,,,,,2.0,,,,,,,,,,,,220285.9765620759,,
2020-03-19,68.20228937746445,68.50746465994204,61.537602044300925,63.13240051269531,1962600,0.0,0,4850296.381028565,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3939125389240712,,,,,0.0,,,,,,,,,,,,-28287.318273649304,,
2020-03-20,63.860897825356005,63.860897825356005,56.418498336869376,57.04854202270508,3116200,0.0,0,2261706.3640289395,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.06182137025343761,,,,,1.0,,,,,,,,,,,,-455581.20964441734,,
2020-03-23,56.733522558833144,57.00916574410585,53.52423223591481,56.48741149902344,2224500,0.0,0,3820114.8501117667,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.06683111141511817,,,,,0.0,,,,,,,,,,,,-322178.00518869545,,
2020-03-24,58.456298690563145,62.91582979442255,58.22987697116579,62.23656463623047,1804500,0.0,0,5101462.345513687,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.48197173788981523,,,,,0.0,,,,,,,,,,,,161777.4545677369,,
2020-03-25,63.36867957842663,66.79454138957011,61.18321212439701,64.11685180664062,1707300,0.0,0,5179337.583965859,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6090708028883156,,,,,0.0,,,,,,,,,,,,235238.51812438114,,
2020-03-26,64.92408607438396,68.7142019078649,64.84533625369616,67.3458251953125,1524600,0.0,0,5625467.912262753,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,67.3458251953125,,0.8318504142833189,,,,,2.0,,,,,,,,,,,,128360.85481900419,,
