Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,17.030000686645508,17.514999389648438,15.739999771118164,16.549999237060547,339900,0,0,-29681.546317419416,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4854459417880653,,,,,0.0,,,,,,,,,,,,-151925.84016803035,,
2020-03-16,14.40999984741211,15.100000381469727,11.779999732971191,12.470000267028809,782300,0,0,-486808.46658480435,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.03107633543254,,,,,0.0,,,,,,,,,,,,-349051.3260607562,,
2020-03-17,12.6899995803833,12.899999618530273,10.710000038146973,11.140000343322754,543500,0,0,-816879.0504731052,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.04095164000567609,,,,,1.0,,,,,,,,,,,,-250824.51696638938,,
2020-03-18,10.640000343322754,10.680000305175781,7.400000095367432,7.670000076293945,239200,0,0,-1016698.5679691753,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.4088972713134811,,,,,0.0,,,,,,,,,,,,-132475.9589848471,,
2020-03-19,7.579999923706055,8.739999771118164,7.21999979019165,8.670000076293945,424900,0,0,-630933.9241586942,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.11005375271960284,,,,,0.0,,,,,,,,,,,,-19110.788855240666,,
2020-03-20,8.989999771118164,10.0600004196167,7.409999847412109,7.650000095367432,894200,0,0,-1363165.4899080463,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.19794135260245121,,,,,0.0,,,,,,,,,,,,-49802.3444638583,,
2020-03-23,8.069999694824219,8.069999694824219,7.230000019073486,7.78000020980835,903200,0,0,-1083602.7184158803,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.13247719302456595,,,,,0.0,,,,,,,,,,,,-89851.48705488327,,
2020-03-24,8.170000076293945,10.84000015258789,8.170000076293945,10.760000228881836,454800,0,0,-656056.6242300074,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5546725654214077,,,,,0.0,,,,,,,,,,,,189552.1054410446,,
2020-03-25,10.899999618530273,13.454999923706055,10.829999923706055,13.029999732971191,455700,0,0,-347916.69045315194,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.997045140484518,,,,,0.0,,,,,,,,,,,,270341.02587299567,,
2020-03-26,13.1899995803833,14.729999542236328,13.1899995803833,14.380000114440918,311700,0,0,-177898.28051314055,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,14.380000114440918,,1.240220166131822,,,,,2.0,,,,,,,,,,,,128431.7610695356,,
2020-03-27,13.5600004196167,14.119999885559082,12.960000038146973,13.149999618530273,488300,0,0,-506238.2679180608,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,14.34315795737354,,0.9373496603292234,,,,,0.0,,,,,,,,,,,,-9472.653932921341,,
2020-03-30,12.899999618530273,13.319999694824219,12.050000190734863,12.649999618530273,368000,0,0,-526521.928316757,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,14.334475576145277,,0.8038109860224066,,,,,0.0,,,,,,,,,,,,-55759.38036148048,,
2020-03-31,12.270000457763672,13.300000190734863,12.270000457763672,13.010000228881836,285700,0,0,-401701.56051318056,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,14.307314105264782,,0.8781085677685979,,,,,0.0,,-21.389723089845,,,,,,,,,,-5861.788927831542,,
2020-04-01,12.289999961853027,12.300000190734863,10.710000038146973,11.079999923706055,254600,0,0,-537808.5267735061,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-516740.9871749098,,14.143481341624247,,0.39420974742569725,,37.36087911097573,,,0.0,,-11.146754719789156,40.84718404294697,,,,,,34.741589459442416,,-179090.47619047615,-29638.652812030214,,-62.506068152561404
2020-04-02,10.770000457763672,11.34000015258789,10.460000038146973,10.670000076293945,279900,0,0,-684119.8835159284,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,-278.67700311734535,-459314.98290572973,,14.050750668047222,0.0,0.29351919685456224,,35.78712587435945,,,0.0,,-4.219032787647299,39.52844347210947,,,,,,35.419242333048246,,-204171.42857142858,-48126.56641336513,-0.34309003688323303,-56.21827376610982
2020-04-03,10.6899995803833,11.479999542236328,9.319999694824219,10.229999542236328,221500,0,0,-718985.642366998,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-216.88008196960678,-407621.4308183059,,13.900291433125595,7.632115927098198,0.19808732014151637,,40.247362614898094,,,0.0,,33.37678540388418,38.106600473419086,,40.45184985944382,,,,35.64551850146292,,-185514.28571428574,-19491.3383258183,-0.22655262821779132,-59.92010850299731
2020-04-06,10.930000305175781,12.5,10.930000305175781,12.0,195100,0,0,-648153.1824456245,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-94.23619910247783,-300057.35651430616,,13.775325271138977,25.60361788987234,0.6573641142060168,,46.76958666883276,,,0.0,,38.40830328030963,46.45105093755635,,49.170030444821045,,,,34.840258899653584,,-180461.90476190476,24622.283586191355,-0.011621596160226955,-36.351526396429726
2020-04-07,12.729999542236328,13.970000267028809,11.609999656677246,12.079999923706055,407000,0,0,-893042.9627773091,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,221.10757792446424,-252540.5957339247,,13.74143553485873,37.566141855537694,0.6594539564048041,,52.609421167361084,,,0.0,,57.90849376618012,46.800162782864014,,56.14736135387725,,,,32.03871658021758,,-150080.95238095243,36469.645971709455,0.27910528394818457,-35.28628103894122
2020-04-08,12.5600004196167,14.039999961853027,12.3100004196167,13.600000381469727,275800,0,0,-757534.1955863603,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,265.442777330175,-156575.3497360468,,13.740012510621204,61.1387667925635,1.0340616946326087,,58.2674719888206,,,0.0,,74.80719813251451,53.06168539780056,,71.09851204327629,,,,29.438928998647363,,-121330.95238095243,37416.65267441176,0.3831547266368531,-15.066656434800239
2020-04-09,14.3100004196167,15.100000381469727,13.15999984741211,13.970000267028809,371900,0,0,-818878.4500934534,0.0,,,0.7512854216048517,86.67200626572985,-0.09637038672662211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.4029997348785397,0.6556581582765015,285.04449248485355,-114549.87728240833,,13.742009808443019,77.67116075628553,1.0977253603440265,,56.72519449071058,,,0.0,,29.832713474584672,54.46657602026199,,78.42957966289562,,,,25.703435188622407,,-25090.476190476154,44821.18616252089,0.4091172148068022,-14.358323537571707
2020-04-13,13.869999885559082,14.1899995803833,12.529999732971191,13.15999984741211,281800,0,0,-886782.0060350747,0.0,,,0.7050018516414086,69.64873854036667,-0.10156301734991353,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2.9225000858306878,0.7538070572983341,259.85331674847464,-130793.91170606227,,13.739531760436774,103.98848078148757,0.9298406860091368,,59.871296960401736,,,0.0,,0.9976985196090594,50.876523616182205,,80.86026185324017,,,,21.569276288701268,,-22438.095238095266,-6221.299251158662,0.42014599019774224,-27.994234467907553
2020-04-14,13.460000038146973,14.350000381469727,13.229999542236328,13.5600004196167,153700,0,0,-949908.6188078296,0.0,,,0.741967370355222,83.85184236462582,-0.05929199823609567,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,1.6379995822906501,0.8045685474240236,204.44765926814077,-103326.19746978975,,13.736391803286578,136.86968080209795,1.0597085574691154,,58.12700170081383,,,0.0,,-5.702362227387922,52.540154912518915,,77.00128240125326,,,,19.496970331921236,,-41630.952380952425,-11667.424225033486,0.3450774855071078,-26.64359479076091
