Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,10.529999732971191,10.970000267028809,9.109999656677246,10.789999961853027,2402000,0,0,1937096.1385431965,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6344085580449068,,,,,0.0,,,,,,,,,,,,-651958.2470294774,,
2020-03-16,9.34000015258789,9.5,7.320000171661377,7.489999771118164,2754800,0,0,-388057.1335114534,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.07755775207499888,,,,,0.0,,,,,,,,,,,,-1514589.8928976331,,
2020-03-17,7.949999809265137,7.949999809265137,4.539999961853027,6.239999771118164,6077100,0,0,-405878.9498332125,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.10290826065193917,,,,,1.0,,,,,,,,,,,,-1856726.9121380867,,
2020-03-18,5.679999828338623,5.980000019073486,5.0,5.539999961853027,3264400,0,0,-72777.23317081953,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.02649270576814196,,,,,0.0,,,,,,,,,,,,-1380400.9322848166,,
2020-03-19,5.53000020980835,6.809999942779541,4.900000095367432,5.900000095367432,4146800,0,0,122622.06660249556,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.1850419444527454,,,,,0.0,,,,,,,,,,,,-96731.3817914686,,
2020-03-20,6.309999942779541,6.440000057220459,4.760000228881836,4.829999923706055,4584500,0,0,-4079837.893263706,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.014836399431968648,,,,,0.0,,,,,,,,,,,,-561959.141325894,,
2020-03-23,5.46999979019165,5.739999771118164,4.650000095367432,5.5,4396900,0,0,-1619186.163984802,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,0.18904144162389136,,,,,0.0,,,,,,,,,,,,-221504.36587722588,,
2020-03-24,6.239999771118164,7.789999961853027,6.210000038146973,7.130000114440918,5020500,0,0,-793027.1689644309,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6137962713562083,,,,,0.0,,,,,,,,,,,,2097815.7660841583,,
2020-03-25,7.510000228881836,9.140000343322754,7.320000171661377,7.71999979019165,7365400,0,0,-4920892.100345736,0.0,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,0.7338985938040222,,,,,0.0,,,,,,,,,,,,2097372.498474671,,
2020-03-26,7.849999904632568,8.289999961853027,7.110000133514404,7.840000152587891,3449600,0,0,-4102342.215372615,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,7.840000152587891,,0.7514603823427242,,,,,0.0,,,,,,,,,,,,663099.6464260641,,
2020-03-27,7.300000190734863,7.420000076293945,6.150000095367432,6.659999847412109,3378300,0,0,-4767363.178823985,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,7.73849069755591,,0.4212376451242146,,,,,0.0,,,,,,,,,,,,-454847.85527596105,,
2020-03-30,6.75,6.829999923706055,6.179999828338623,6.78000020980835,2031600,0,0,-3048315.1906730197,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,7.724662828544637,,0.46217922204133804,,,,,0.0,,,,,,,,,,,,-471863.2272634856,,
2020-03-31,6.809999942779541,7.550000190734863,6.78000020980835,7.139999866485596,2136100,0,0,-3187024.83826558,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,7.7125034454844075,,0.5691854307044187,,,,,0.0,,-33.82761916841191,,,,,,,,,,150026.6440525482,,
2020-04-01,6.869999885559082,6.869999885559082,6.039999961853027,6.130000114440918,2416500,0,0,-5079463.6606270615,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-1511330.8254563934,,7.691762365858173,,0.25184664242223564,,39.67688650075688,,,0.0,,-18.15753936230381,34.85877022304457,,,,,,38.87058588738055,,-1621302.3809523806,-228408.6271441917,,-75.27216054238704
2020-04-02,6.239999771118164,6.539999961853027,5.929999828338623,6.010000228881836,1744200,0,0,-6366166.388213179,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-18.449113566871777,-1325326.9647329303,,7.682513777644447,0.0,0.2168500559384045,,38.45668439472585,,,0.0,,-3.685890235138804,34.25661530290566,,,,,,39.368003266527495,,-1670116.6666666665,-375973.9300147277,-0.37012991583782484,-70.36289807009776
2020-04-03,6.119999885559082,6.269999980926514,5.349999904632568,5.829999923706055,2431000,0,0,-6260470.8456036365,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-10.384437514139504,-1198506.0757542723,,7.6319505104459715,3.189464194684774,0.16923186467766713,,39.37900302878101,,,0.0,,5.2346563871821346,33.32665377938926,,27.469472164502605,,,,39.114919227566965,,-1548688.0952380951,-106952.94852400493,-0.2987835059909312,-71.9565248940074
2020-04-06,6.460000038146973,6.940000057220459,6.320000171661377,6.920000076293945,2928500,0,0,-3520906.184165772,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-0.46704191584568583,-571281.5725245709,,7.604005850170267,16.70986200883084,0.5554366683289286,,47.70329313923367,,,0.0,,17.28813499049599,43.35481936452618,,36.079122230734534,,,,37.587215205702,,-1153121.4285714286,474715.3246197855,-0.014794546017439014,-49.44321034369125
2020-04-07,8.25,8.609999656677246,6.460000038146973,6.769999980926514,4451600,0,0,-6688788.984047605,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,4.274008570650572,-585061.4085264406,,7.594173976950893,25.386648308058966,0.49078791769250835,,55.268556203498186,,,0.0,,40.16563328911813,42.40949254355996,,41.93876508026542,,,,35.45422307462729,,-335454.7619047621,451029.8175958581,0.15918574428073506,-52.78396952150509
2020-04-08,7.119999885559082,7.920000076293945,6.880000114440918,7.679999828338623,2456900,0,0,-5365844.043335889,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,2.664989631332109,-182084.2608645475,,7.594583929651571,41.06455893829025,0.8031386775639139,,54.46806372483829,,,0.0,,39.636360515247695,49.590587977655254,,55.085368891577396,,,,33.32557280630646,,-206114.2857142859,233753.67152450007,0.11141300432398016,-32.51671346007147
2020-04-09,8.59000015258789,9.90999984741211,8.260000228881836,9.119999885559082,5357500,0,0,-5138557.102897198,0.0,,,0.9203569484859264,146.96368913970886,-0.07059019953371556,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8189998149871824,0.7122861129601219,7.039207601985843,946042.105910189,,7.645116741213677,63.50661382222563,1.270921975166455,,64.45815397836867,,,2.0,,27.910234771072023,58.42500459705399,,66.56010187627128,,,,29.87744136447402,,548338.0952380951,1334779.2638326993,0.27704478218103556,-15.01901138960961
