Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,7.332721803575923,7.644362620088469,7.149403933312237,7.616865158081055,365600,0.0,0,324978.13648493256,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6481483116725619,,,,,0.0,,,,,,,,,,,,-27865.615463571616,,
2020-03-16,7.378551382528303,7.378551382528303,6.186983931924535,6.214481830596924,381700,0.0,0,-39104.819816983305,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.015398569455524565,,,,,0.0,,,,,,,,,,,,-99266.24559771895,,
2020-03-17,6.113657015592831,7.516039848327638,6.113657015592831,7.516039848327637,482400,0.0,0,443295.1801830161,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.7324430787617214,,,,,1.0,,,,,,,,,,,,30756.71279259445,,
2020-03-18,6.993582943983916,7.20439869580336,4.830430069279735,5.151236534118652,469500,0.0,0,100687.03002387413,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.07074963782424938,,,,,0.0,,,,,,,,,,,,-46687.14627071038,,
2020-03-19,5.105407358240134,6.663610458374024,4.90375727790115,6.663610458374023,421800,0.0,0,522487.0300238737,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5277071523692224,,,,,0.0,,,,,,,,,,,,-23882.66959812095,,
2020-03-20,6.59944951861799,6.83776318956098,5.453711724617348,5.508707523345947,629700,0.0,0,-57170.2434785107,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.16311691581006477,,,,,0.0,,,,,,,,,,,,14701.70712437632,,
2020-03-23,5.664527537542541,5.820347948594277,5.096241692465619,5.233730316162109,330000,0.0,0,-261853.70205705301,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.09282914979264713,,,,,0.0,,,,,,,,,,,,-125608.94157250342,,
2020-03-24,5.340348010745027,5.604535043213216,4.953503147041694,5.37808895111084,559400,0.163,0,-91601.89791962749,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.17331062896562502,,,,,0.0,,,,,,,,,,,,-1042.9809992241153,,
2020-03-25,5.6611466572379285,5.78380494278922,5.293172250491567,5.387524604797363,319400,0.0,0,-288155.85672272934,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1874147130953702,,,,,0.0,,,,,,,,,,,,15989.947536525255,,
2020-03-26,5.378088785889645,5.69888721905125,5.378088785889645,5.642275810241699,429200,0.0,0,-10437.997215722804,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,5.642275810241699,,0.3061223479147791,,,,,0.0,,,,,,,,,,,,20855.264878170452,,
2020-03-27,5.227125189647587,5.52905316248159,5.1799487892365725,5.37808895111084,482400,0.0,0,54750.755108855476,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,5.629517259515966,,0.1943527243261981,,,,,0.0,,,,,,,,,,,,-2292.4040402553073,,
2020-03-30,5.378089153243647,5.623405724749031,5.000679735400771,5.038420677185059,434300,0.0,0,-326906.8586818567,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,5.614865745984898,,0.04398969780429246,,,,,0.0,,,,,,,,,,,,-50016.726848128455,,
2020-03-31,5.095032414317744,5.274302124162925,4.953503648660229,5.255431652069092,340800,0.0,0,-26200.92009845638,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,5.588123156912697,,0.16773055042800541,,,,,0.0,,-31.002695426564276,,,,,,,,,,-12750.758030814823,,
2020-04-01,5.170513744448741,5.170513744448741,4.415694042375898,4.52891731262207,329900,0.0,0,-257130.64480850982,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-152521.91948726855,,5.5670591037064385,,-0.18735650425466957,,31.62397855083249,,,0.0,,-27.123170747334036,33.023281604519866,,,,,,27.120593850341223,,-58530.952380952425,-30926.918568375215,,-96.49319007135789
2020-04-02,4.491176472395028,4.72705757830046,4.226989435821642,4.236424446105957,257600,0.0,0,-505010.13497082354,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-64.87145304010704,-141496.81133402316,,5.283221300040531,0.0,-0.32107528741191876,,30.541764400533182,,,0.0,,-43.6348857696838,31.258283922539064,,,,,,29.521633480824196,,-109716.66666666669,-62242.27685468711,-0.4295805054983167,-99.71313877560407
2020-04-03,4.340212267373102,4.425129609639572,3.5759575366973877,3.5759575366973877,289800,0.0,0,-794810.1349708235,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-61.15054969852417,-148626.3111929632,,4.96747633366598,-12.064778878614163,-0.630996627322247,,31.88906593658119,,,0.0,,-30.580599182110475,27.662923339746868,,1.2645570510126871,,,,32.304897761624176,,-120152.38095238095,-61817.0735591342,-0.4275971463337369,-100.0
2020-04-06,3.774097707919696,5.085596535447689,3.764662472648047,4.51004695892334,456600,0.0,0,-736104.2373971584,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-53.04300562632438,-66464.66242420138,,4.952997942114207,-10.68697515190479,-0.05108507760830919,,28.819890068013578,,,0.0,,-32.318268195649765,38.4462742949841,,8.676802438894255,,,,33.43779738862041,,-76076.19047619047,74089.82627219986,-0.36427109556623294,-74.25645390771318
2020-04-07,5.510182669317221,5.519617679415574,4.868585785959327,5.22712516784668,844100,0.0,0,-650470.7011661759,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-20.005759983866113,29499.677372426115,,4.9549832886883145,-10.864986973443592,0.34892383566847446,,41.00167350984186,,,0.0,,-5.111586598234146,45.19989866811162,,25.454940585319367,,,,32.80903673477733,,92666.66666666663,253478.51242490642,-0.1438790192657896,-49.378724336328716
