Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,51.79467999758121,53.15066420914472,49.77554774232859,52.032222747802734,1967600,0.0,0,663558.8263261074,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5562071242737442,,,,,0.0,,,,,,,,,,,,-144631.40441460809,,
2020-03-16,47.70692583066232,51.814470018856376,47.023981955681016,48.28099060058594,1294000,0.0,0,48641.69431630627,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.2470704990800255,,,,,0.0,,,,,,,,,,,,-238121.21673887776,,
2020-03-17,48.815464831755804,49.91411033242742,45.648199509950544,47.182342529296875,1280600,0.0,0,-310877.8460437941,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.229431659372682,,,,,1.0,,,,,,,,,,,,-122430.58804093592,,
2020-03-18,44.03487800538049,49.854724082202566,40.69934970182995,41.600040435791016,843000,0.0,0,-988011.9279100839,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,-0.10048915181824182,,,,,0.0,,,,,,,,,,,,-128878.60127668489,,
2020-03-19,41.788100790583854,45.113729405036466,39.986719253701,41.84748458862305,1161600,0.0,0,-1306444.0974417003,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,,,,,,,,0.02451527348217854,,,,,0.0,,,,,,,,,,,,-92828.77809178126,,
2020-03-20,42.48093562789089,45.47994193355613,41.76830364369584,42.35226821899414,876500,0.0,0,-1907138.6927786134,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.11006297538365295,,,,,0.0,,,,,,,,,,,,17482.14203631253,,
2020-03-23,41.728714046385434,44.71782068723161,40.600376553124896,42.80756378173828,935100,0.0,0,-1839703.765647585,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.1975168889788465,,,,,0.0,,,,,,,,,,,,20625.263271774456,,
2020-03-24,44.94546529381201,47.68712924132589,43.86661560887459,45.212703704833984,982200,0.0,0,-2129783.3572180932,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.44216545683935177,,,,,0.0,,,,,,,,,,,,65237.35369858785,,
2020-03-25,45.727383388011994,47.11305938421016,43.94579780680085,44.31201171875,816800,0.0,0,-2757698.7223564927,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3500554961225741,,,,,0.0,,,,,,,,,,,,38913.188746524116,,
2020-03-26,44.895975855727585,48.498738697737444,44.796996572572944,47.88508224487305,1097700,0.0,0,-2023941.2475421522,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,47.88508224487305,,0.7269145744042259,,,,,0.0,,,,,,,,,,,,72240.68421562096,,
