Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,6.159999847412109,7.159999847412109,5.809999942779541,7.150000095367432,1475800,0,0,1453936.8368739968,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6641975919133123,,,,,0.0,,,,,,,,,,,,-190060.4544693674,,
2020-03-16,6.170000076293945,6.71999979019165,6.045000076293945,6.099999904632568,1168300,0,0,476025.95297294436,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.30370364788736376,,,,,0.0,,,,,,,,,,,,-421848.5888843617,,
2020-03-17,6.199999809265137,6.5,5.619999885559082,6.150000095367432,1405400,0,0,763494.5847864316,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.3907057398505354,,,,,1.0,,,,,,,,,,,,-160048.8440906337,,
2020-03-18,5.730000019073486,5.880000114440918,5.099999904632568,5.400000095367432,1308800,0,0,461464.18483631616,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.10040711240050543,,,,,0.0,,,,,,,,,,,,-148090.03736719996,,
2020-03-19,5.130000114440918,5.199999809265137,4.255000114440918,4.769999980926514,2995200,0,0,730873.9165560388,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.0871130748518705,,,,,0.0,,,,,,,,,,,,-509049.8109277376,,
2020-03-20,4.829999923706055,5.099999904632568,3.950000047683716,4.090000152587891,2482500,0,0,-1147190.7727357936,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.2895040198764662,,,,,0.0,,,,,,,,,,,,-703339.3404500351,,
2020-03-23,4.130000114440918,4.150000095367432,3.5199999809265137,3.7300000190734863,1752300,0,0,-1731290.7727357936,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.38585547412004595,,,,,0.0,,,,,,,,,,,,-508136.0094095087,,
2020-03-24,3.9200000762939453,4.0,3.687999963760376,3.940000057220459,3437500,0,0,384095.2570833368,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,-0.23063572497943718,,,,,0.0,,,,,,,,,,,,39295.479482987575,,
2020-03-25,3.9200000762939453,4.639999866485596,3.5399999618530273,4.150000095367432,3029400,0,0,714576.2837745158,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.01794082130683943,,,,,0.0,,,,,,,,,,,,354997.714966804,,
2020-03-26,4.210000038146973,4.650000095367432,3.9200000762939453,4.28000020980835,4068900,0,0,658839.311128638,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,4.28000020980835,,0.09448092185696849,,,,,0.0,,,,,,,,,,,,288925.1365668617,,
2020-03-27,4.010000228881836,4.054999828338623,3.680000066757202,3.700000047683716,1832000,0,0,-977747.4176582939,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,4.128388175387226,,-0.219596009164155,,,,,0.0,,,,,,,,,,,,-120802.1121206968,,
2020-03-30,3.8299999237060547,5.098999977111816,3.700000047683716,4.670000076293945,3332000,0,0,310753.3091008784,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,4.163038448363882,,0.4032862368482262,,,,,0.0,,,,,,,,,,,,625262.5993630143,,
2020-03-31,4.579999923706055,4.920000076293945,4.260000228881836,4.300000190734863,2265400,0,0,-1680052.9498940066,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,4.174742249216384,,0.1982220568526866,,,,,0.0,,-39.86013799467103,,,,,,,,,,694038.7441736688,,
2020-04-01,4.0,4.190000057220459,3.8499999046325684,3.9000000953674316,1220400,0,0,-2541510.565260498,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-194322.46054562362,,4.155671419305669,,-0.025810805660061997,,50.63560206441652,,,0.0,,-36.065571207540096,29.78782339183833,,,,,,36.656070351571636,,3035.714285714086,-293011.19808409794,,-89.56043603353737
2020-04-02,3.9700000286102295,3.9700000286102295,3.569999933242798,3.609999895095825,1201500,0,0,-3502710.8517203527,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-7.9057351416137465,-216338.57198572526,,4.12659810207341,0.0,-0.18554221401856544,,49.01391772543521,,,0.0,,-41.300815624131374,27.700769692224497,,,,,,38.281944906826006,,-687538.0952380954,-202867.97063297004,-0.45560238049780044,-97.18750251457111
2020-04-03,3.6700000762939453,3.7699999809265137,3.25,3.619999885559082,1943400,0,0,-2680503.9133726484,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,-7.979650687971303,-182656.7786354369,,4.115992489754976,-3.9220902600206387,-0.1473135251600337,,49.174053996230484,,,0.0,,-32.96296626615584,27.88839265969841,,8.212224438415966,,,,39.635658914134815,,-850235.7142857141,-83958.99268283081,-0.5083438498280449,-88.61538813664363
2020-04-06,3.930000066757202,4.099999904632568,3.809999942779541,4.03000020980835,1428800,0,0,-1941466.514207278,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-5.892108290610723,-72876.029789324,,4.114855722590587,1.155580556329653,0.13130196483089923,,54.3898212427222,,,0.0,,-15.513622098053514,35.30173810928149,,14.618303570858581,,,,40.03734273531345,,-782440.476190476,167208.9219842784,-0.39055142674644416,-70.34219863620953
2020-04-07,4.25,4.53000020980835,3.8350000381469727,3.940000057220459,1548600,0,0,-3022144.242624227,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-2.736387291945436,-82375.77357622165,,4.1141279154506485,2.547064000498665,0.08674074659513982,,59.40324358504631,,,2.0,,-3.6674838574888846,34.46416909286755,,25.47567833573731,,,,39.772178576440325,,-683869.0476190473,127241.37151961349,-0.24875856836322296,-64.61537821993493
