Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,5.400000095367432,5.409999847412109,5.050000190734863,5.329999923706055,671500,0,0,373055.55555555556,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5925925925925926,,,,,0.0,,,,,,,,,,,,-520616.9619968823,,
2020-03-16,4.860000133514404,4.880000114440918,3.2200000286102295,3.2200000286102295,966900,0,0,-593844.4444444445,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.14273935271078636,,,,,0.0,,,,,,,,,,,,-913545.11662321,,
2020-03-17,3.5999999046325684,4.440000057220459,3.5999999046325684,4.179999828338623,740500,0,0,-311749.5266193665,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.4003495611083376,,,,,2.0,,,,,,,,,,,,-161998.89128300914,,
2020-03-18,3.7799999713897705,4.019999980926514,3.6600000858306885,3.9700000286102295,588000,0,0,112917.2482187241,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3271221587278458,,,,,0.0,,,,,,,,,,,,191229.4954201388,,
2020-03-19,3.950000047683716,4.190000057220459,3.7699999809265137,4.170000076293945,495800,0,0,561498.254208706,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.47435901970485983,,,,,0.0,,,,,,,,,,,,-4563.3071475673205,,
2020-03-20,4.210000038146973,4.340000152587891,3.759999990463257,3.859999895095825,598700,0,0,169246.2754789258,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2792258285135024,,,,,0.0,,,,,,,,,,,,-19530.36331191698,,
2020-03-23,3.8299999237060547,4.25,3.690000057220459,4.239999771118164,465900,0,0,618506.6072213827,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.562412664023546,,,,,0.0,,,,,,,,,,,,1358.0903294889868,,
2020-03-24,4.489999771118164,4.489999771118164,3.9100000858306885,4.0,618800,0,0,191747.90758990403,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3865049723028172,,,,,0.0,,,,,,,,,,,,10839.405809948577,,
2020-03-25,3.9800000190734863,4.21999979019165,3.759999990463257,3.869999885559082,405600,0,0,-19869.58425591787,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2992553474281335,,,,,0.0,,,,,,,,,,,,-48208.395185635236,,
2020-03-26,3.880000114440918,4.139999866485596,3.880000114440918,4.059999942779541,584200,0,0,204822.72343638985,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,4.059999942779541,,0.4512061021047306,,,,,0.0,,,,,,,,,,,,15499.65162839066,,
2020-03-27,4.0,4.269999980926514,3.869999885559082,4.099999904632568,355800,0,0,258192.65981440718,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,4.061932205729792,,0.4866254521353128,,,,,0.0,,,,,,,,,,,,32187.07865828807,,
2020-03-30,4.199999809265137,4.199999809265137,4.0,4.110000133514404,240900,0,0,282283.23416531197,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,4.065313714750704,,0.49575862333287063,,,,,0.0,,,,,,,,,,,,4092.9898630687517,,
