Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,18.350000381469727,18.850000381469727,16.649999618530273,17.479999542236328,407300,0,0,-99973.77119106945,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4590908539196868,,,,,0.0,,,,,,,,,,,,14112.935824895661,,
2020-03-16,15.1899995803833,16.290000915527344,9.670000076293945,9.930000305175781,1148700,0,0,-1158443.491718431,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.05347682705187899,,,,,0.0,,,,,,,,,,,,-511221.191621034,,
2020-03-17,10.270000457763672,10.720000267028809,7.0,7.670000076293945,1840600,0,0,-2336031.635855526,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.10114292602294664,,,,,1.0,,,,,,,,,,,,-915056.9755570042,,
2020-03-18,7.0,7.260000228881836,3.549999952316284,3.5999999046325684,2708600,0,0,-4971623.6246705465,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.3766152936074038,,,,,0.0,,,,,,,,,,,,-1856196.4279140993,,
2020-03-19,6.989999771118164,7.409999847412109,4.0,4.849999904632568,6482500,0,0,-8222378.9746159,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.11190229851777667,,,,,0.0,,,,,,,,,,,,813579.6725097161,,
2020-03-20,5.889999866485596,6.199999809265137,4.960000038146973,5.539999961853027,3652400,0,0,-8458017.503065394,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.006299870094587163,,,,,0.0,,,,,,,,,,,,2770487.962306252,,
2020-03-23,5.769999980926514,6.889999866485596,5.5,6.71999979019165,3464800,0,0,-5840723.000792528,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.203753536760379,,,,,0.0,,,,,,,,,,,,1257609.6365417799,,
2020-03-24,8.109999656677246,10.619999885559082,7.800000190734863,10.430000305175781,4151500,0,0,-2248643.8116592756,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.770343849104981,,,,,0.0,,,,,,,,,,,,3029964.1374591975,,
2020-03-25,12.5,12.84000015258789,9.399999618530273,11.5600004196167,4552800,0,0,-1083972.8113936884,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.9012259532644333,,,,,0.0,,,,,,,,,,,,2785230.7594016134,,
2020-03-26,11.010000228881836,13.470000267028809,10.600000381469727,12.25,2923000,0,0,-646032.6878546461,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.25,,0.965679999027305,,,,,0.0,,,,,,,,,,,,667726.0221094132,,
2020-03-27,11.029999732971191,11.489999771118164,10.210000038146973,10.710000038146973,1640800,0,0,-1004957.4204346263,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.165763108605445,,0.7105504476908922,,,,,0.0,,,,,,,,,,,,-31802.384142213385,,
2020-03-30,10.420000076293945,10.59000015258789,8.25,9.3100004196167,1613200,0,0,-1156625.3132383798,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.144960219468876,,0.4756945073122591,,,,,0.0,,,,,,,,,,,,-417147.75367375027,,
2020-03-31,9.270000457763672,10.449999809265137,9.25,10.069999694824219,1336500,0,0,-666575.7026951907,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.096686457334132,,0.604350559077182,,,,,0.0,,-42.3913045850349,,,,,,,,,,-101773.82693215225,,
2020-04-01,9.300000190734863,9.539999961853027,8.6899995803833,9.239999771118164,1014600,0,0,-368164.07191284146,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,-309714.2298277634,,11.800145836362207,,0.45762555004017375,,72.01504436862731,,,0.0,,-6.948645648056733,39.587430331010054,,,,,,50.968112993808305,,-1316945.238095238,25475.521909412593,,-62.810459743779816
2020-04-02,9.239999771118164,9.859999656677246,8.859999656677246,9.079999923706055,881700,0,0,-861915.6010342403,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,-276.7693979295882,-285622.46348997677,,11.594144262271573,0.0,0.42688368418950917,,72.75247688293405,,,0.0,,18.383309431378844,39.149822919804556,,,,,,51.435207000890145,,-1594664.285714286,-98893.92822716683,-0.44159061311254244,-56.59341009974336
2020-04-03,9.149999618530273,9.239999771118164,8.039999961853027,8.460000038146973,973200,0,0,-1153875.3690052424,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-86.75588243630993,-331016.95279513707,,11.4548791730679,3.6844712430603863,0.3092390079972732,,74.04009871049847,,,0.0,,135.00000728501234,37.42347550620353,,43.36403239779295,,,,50.80056771225012,,-1703228.5714285714,-81719.48895683054,-0.30991740844130267,-50.50403296309797
2020-04-06,9.619999885559082,10.489999771118164,9.100000381469727,10.399999618530273,983800,0,0,-297474.2020915807,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-15.622043775117577,-11075.732798533048,,11.395174094967,23.848960992848788,0.7022286938030414,,78.75256359364089,,,0.0,,114.43298604184547,45.51888941250368,,53.984990245509174,,,,48.703359516007666,,-1652295.2380952379,159147.50670158607,0.0015532537229572263,-30.947586200631104
2020-04-07,11.359999656677246,12.479999542236328,10.5600004196167,10.949999809265137,2043500,0,0,-1510803.246951547,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,29.757247679118887,151067.28471078497,,11.390979853377294,38.50525841813101,0.7983958918217902,,83.65935881758807,,,2.0,,97.65342752100968,47.58901103636338,,63.97934276131111,,,,43.92827066587516,,-1217521.4285714286,333669.2303529528,0.34063011492866924,-26.610352552337535
2020-04-08,11.390000343322754,13.3100004196167,11.1899995803833,11.989999771118164,2183800,0,0,-2046452.5630503728,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,33.6919895521597,453936.5178513358,,11.396015356519417,87.53529727088863,0.9916144334773145,,83.19317486668265,,,0.0,,78.42262121225775,51.35310295597406,,75.01691717985614,,,,39.460255898561826,,-506938.0952380954,315480.8905375534,0.38780481171221026,-17.391309707462934
2020-04-09,13.449999809265137,13.979999542236328,12.670000076293945,12.850000381469727,2145700,0,0,-3602493.307673759,0.0,,,0.7642905984399535,101.06150570381511,-0.07806221819917569,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.905500435829163,0.6078431482546054,38.68306156995101,652703.2023913375,,11.411072277458219,119.59433143816469,1.1516765220867518,,83.62476972911439,,,0.0,,23.20230110724968,54.27738366193793,,80.89095840645909,,,,34.98343350664958,,-12016.666666666511,361314.66923870717,0.4611451177661009,-13.325462520822265
2020-04-13,14.229999542236328,14.229999542236328,11.609999656677246,12.069999694824219,1817000,0,0,-4781462.692542878,0.0,,,0.7676712802051368,104.47567343661785,-0.09843601531059108,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.866000008583068,0.6687597408438898,32.74942553582429,356993.99524473393,,11.42713229162398,144.95840678880464,1.0319339233655132,,76.24853877562319,,,0.0,,4.411758275908694,51.267256116344385,,78.56356392152435,,,,30.91632147061996,,30183.333333333256,43610.830859245485,0.3758585973965315,-33.59253600714173
2020-04-14,12.539999961853027,13.279999732971191,12.140000343322754,12.770000457763672,1572100,0,0,-4615977.23608399,0.0,,,0.8102836753290686,104.3970027355251,-0.072058824944418,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1.1840000391006473,0.8632959606243218,17.033092794246187,463205.02441221685,,11.562383186131845,182.98726929341072,1.2645839973570394,,74.61440438806682,,,0.0,,4.244901696029975,53.746389228554605,,76.49852831272928,,,,28.97683582765054,,10526.190476190299,-19118.61405793148,0.2460544718380283,-23.586416533848123
2020-04-15,12.0,12.739999771118164,11.710000038146973,12.430000305175781,1280500,0,0,-4106262.5157930357,0.0,,,0.7514753651740752,80.93979264601525,-0.03732931719323329,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.45399959087371755,0.8314607391221798,3.938256925610499,334837.1358692153,,11.6149901109124,204.31523207073434,1.1794672175273888,,64.85751232588417,,,0.0,,16.059759672292216,52.35327065790799,,71.24729929257518,,,,27.540734793212618,,-44138.09523809538,57080.885528101666,0.08117642122156477,-29.079149581284565
2020-04-16,12.390000343322754,12.579999923706055,11.630000114440918,11.970000267028809,798300,0,0,-4333147.407781868,0.0,,,0.6961027488190852,66.82166737939251,0.014028836912017761,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.1125003337860111,0.7790811948840545,-3.498977760546137,234543.54068036628,,11.643860209325982,238.6237991429699,1.0006101108664833,,56.667306472372815,,,0.0,,28.57142564470071,50.448044378918695,,70.27464743705787,,,,26.417779095325123,,-231940.4761904762,-63636.08308921341,-8.088840708353473e-08,-36.510491573693685
2020-04-17,13.0,13.380000114440918,12.180000305175781,12.329999923706055,1210400,0,0,-5240948.129236603,0.0,-12.0,,0.7256201068120993,80.94858104433547,0.07409196029233135,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.316500258445739,0.7950377863890813,7.8840764560809395,263286.4040749052,,11.714266635804782,249.84253710407054,1.0336736031758538,,64.0548101910706,,,0.0,,22.44290265513545,51.92263775632291,,67.90523136874869,,,,24.329511026818373,,-321764.2857142857,6860.090136764778,0.16209147469590368,-30.694664738775646
2020-04-20,12.149999618530273,12.34000015258789,11.699999809265137,11.9399995803833,650200,0,0,-5403498.855891339,0.0,64.0,,0.6649897596130375,50.550419478980544,0.08202824706273948,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.7965000867843628,0.7376861303630254,17.35681989027322,189448.60017442523,1.1949998140335083,11.741435360261516,255.1015316751312,0.8259960320128852,,66.20826754525666,,,0.0,,29.22077788037002,50.18045519331728,,65.26656277419102,,,,20.96349934544599,,-463078.57142857136,15837.017018687755,0.23946987623582172,-36.995155364957625
2020-04-21,11.5,12.239999771118164,11.5,12.050000190734863,956800,0,0,-4938027.652482854,0.0,64.0,,0.6723539633227695,41.555436489119636,0.025992252912796446,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,-2.682999992370606,0.6609642968327183,13.77043002730343,177420.0264329895,2.7899991273880005,11.759543930715544,236.52336586964392,0.7802038733339555,,60.64634799572695,,,0.0,,32.70925431700429,50.68308427448139,,65.69736476196272,0.7867379272365612,,,17.716603758179332,,-383123.8095238096,-11751.165383203832,0.18867917999326933,-35.218085610378566
2020-04-22,12.420000076293945,12.5600004196167,12.050000190734863,12.529999732971191,620000,0,0,-4390970.465708628,18.67149897469137,64.0,,0.7395150229153333,60.85897234714606,-0.06866893778265053,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.8480003833770748,0.7253635016951215,20.72459702717199,194588.55354063722,3.975000023841858,11.802772466557498,200.88459547853088,0.9168626908286404,,64.67486714140946,,,0.0,,48.10874322071147,52.91540753591321,,66.77436973139199,0.9191892993933682,,,12.473839494151727,,-551738.0952380953,33511.86107998686,0.31515150055594876,-27.463649830487846
2020-04-23,12.220000267028809,12.5,10.800000190734863,10.970000267028809,1383400,0,0,-5497690.310495311,18.788855093944967,60.0,,0.45354868245410523,6.996845049952023,-0.15747248333309388,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.268500185012817,0.4733441847817295,12.990502037800663,-141510.27713440984,3.6250001192092896,11.779768236214709,123.39134727290974,0.3830180618305834,,58.783454904115125,,,0.0,,5.480775667365722,45.67866834471742,,61.550894345768846,0.4898088183603357,,,11.092960719305346,41.03740705891029,-343173.8095238096,-147537.82932038212,0.21626885719110167,-52.66558152182705
2020-04-24,11.0,11.4399995803833,10.539999961853027,11.029999732971191,874100,0,0,-5419992.573883315,19.00582074943486,56.0,,0.4757906576042562,-13.481784256039216,-0.18375802114076692,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.8324997901916511,0.4830371524731211,14.477904093778744,-113802.30423231747,2.8450002670288086,11.72361820013943,64.77465184023006,0.41839468272550895,,58.450324585686396,,,0.0,,0.7305929232835626,45.984643133747255,,52.497531506579854,0.05317737364201133,,,8.30725925430776,40.71556238504992,-363661.90476190473,-167454.08660034463,0.22540774174253786,-62.37817412794556
2020-04-27,11.449999809265137,12.369999885559082,11.0,12.1899995803833,1211600,0,0,-4526769.782596696,18.614618150983166,52.00000000000001,,0.6800438080248852,31.665003976874598,-0.13783785624342748,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6185004234313958,0.6704361712207572,8.434873070889475,103234.56996151526,2.3650002479553223,11.726410260701513,38.51330884760637,0.8425180732190319,,59.27429596974402,,,0.0,,1.6680551549875897,51.65443488756562,,43.22389541722788,0.6949603891270393,,,7.389454525563134,45.87099500199519,-182733.33333333326,132202.01540398676,0.1859989010085069,-55.28455809854377
2020-04-28,12.710000038146973,12.880000114440918,11.859999656677246,12.220000267028809,1035600,0,0,-4831357.106587766,17.937795821917252,16.0,,0.665865716403809,53.934817568043215,-0.14714937024880612,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6929997444152836,0.6752828091333966,1.6772566807113438,92925.16155131135,2.0950002670288086,11.73493539016017,13.504440203603508,0.8136505723635288,,57.3313632009696,,,0.0,,-4.902724480455317,51.79536267192515,,42.62191216859426,0.7113497890734816,,,6.948141925853114,48.31644455511863,-226673.80952380958,129969.90604529355,0.09184223599373942,-54.47153126772794
