Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,61.03670219936211,62.86555283544025,57.87777701677009,60.997581481933594,2217500,0.0,0,556548.6553562039,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5418300379824282,,,,,0.0,,,,,,,,,,,,-657924.7023478268,,
2020-03-16,56.89977963453456,60.45968272931697,55.68706354857509,59.716407775878906,2906300,0.0,0,2557609.869117555,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5118571237366315,,,,,0.0,,,,,,,,,,,,-719493.7145171345,,
2020-03-17,60.635725573742874,65.43768742248056,56.96824217210521,63.17851257324219,3415700,0.0,0,4151073.9836676717,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.7323855215327825,,,,,1.0,,,,,,,,,,,,136984.84555487148,,
2020-03-18,60.87044279231161,64.80198522949681,59.667505019922686,63.42300796508789,3763400,0.0,0,5892986.773648034,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7139664897949568,,,,,2.0,,,,,,,,,,,,212591.87512242113,,
2020-03-19,63.266532577983355,65.80931943774087,59.22741003567574,62.650390625,3296700,0.0,0,6025243.150739664,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6168078786737204,,,,,0.0,,,,,,,,,,,,-25596.275554660555,,
2020-03-20,63.149169511556074,68.39122601960754,62.34721349525413,62.503692626953125,2945200,0.0,0,3232545.2631436023,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.5604618011678684,,,,,0.0,,,,,,,,,,,,-47056.59371858436,,
2020-03-23,63.15895240762648,63.491467302559094,59.579485226568806,61.84843826293945,3002900,0.0,0,3713014.532514626,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.507884083091608,,,,,0.0,,,,,,,,,,,,-38377.03824427798,,
2020-03-24,64.0098044100967,65.57460322623702,60.87044338708329,62.151615142822266,2409500,0.0,0,2615962.8552775723,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5228384828944624,,,,,0.0,,,,,,,,,,,,-19669.546568764046,,
2020-03-25,62.48412947329167,63.207844025983086,59.04158499919379,60.91933822631836,3852600,0.0,0,2236134.0086329323,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.41842098332602917,,,,,1.0,,,,,,,,,,,,-64574.09775127627,,
2020-03-26,61.11494196690718,65.47679737999367,60.645500832086,64.44012451171875,3038600,0.0,0,3970722.074650373,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,64.44012451171875,,0.729915422228158,,,,,0.0,,,,,,,,,,,,99228.24478733326,,
2020-03-27,61.61371804473906,63.931570123995606,60.84110068498688,61.134498596191406,2576600,0.0,0,1883348.1116190918,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,64.42390826331354,,0.4184922093729615,,,,,0.0,,,,,,,,,,,,43440.065797206626,,
2020-03-30,61.19317666193918,63.921784936568265,60.57703846717465,63.75552749633789,1658700,0.0,0,3377149.983385104,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,64.3932825135489,,0.6714991053815026,,,,,0.0,,,,,,,,,,,,-61059.77951213818,,
2020-03-31,63.36433156810758,65.25186324792885,62.81665645653707,64.74330139160156,2481700,0.0,0,4822307.244338197,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,64.39945958460022,,0.763462504900681,,,,,0.0,,6.140767910244745,,,,,,,,,,109563.05218086627,,
2020-04-01,63.49146198141722,67.3349843474173,63.276301791427876,65.10515594482422,2847500,0.0,0,4540990.79279586,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,238092.43482744545,,64.41277254683833,,0.781737857835682,,59.92695872311699,,,0.0,,9.023898740141526,62.055143705418764,,,,,,2.0908833295960063,,-557335.7142857141,54364.21224988651,,-25.866089813288333
2020-04-02,64.34231941220597,68.0293588530866,64.34231941220597,67.4034423828125,2834600,0.0,0,6413180.243580139,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,103.87690221439016,1134753.9065837506,,64.59964331333751,0.0,1.0018329248849733,,62.86345587551263,,,2.0,,6.687289139123679,68.16698051320512,,,,,,2.0908833295960063,,-209447.6190476194,115979.48478682077,0.17544607172486792,-7.77527553703245
2020-04-03,67.11983194015517,68.23474627072905,66.14183638972095,66.65039825439453,2166500,0.0,0,5299567.699283303,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,137.7524167230261,739579.0478978535,,64.69907536468092,7.037724451910691,0.9067266470412676,,69.17589018624467,,,0.0,,5.088674272723242,64.50103124118323,,83.70631360479926,,,,2.0361331695245553,,-261671.42857142864,75860.06905415576,0.2890818716756629,-15.239693835281475
2020-04-06,68.19563200673022,71.47191555994984,67.92178698898512,70.7970962524414,2201200,0.0,0,6663946.029309865,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,111.22257310913422,1937883.7029554145,,65.40572466426052,18.206400246863865,1.329809683180834,,68.47037150427919,,,0.0,,13.003439477663123,73.08477991205574,,90.51873946107737,,,,2.0361331695245553,,-390354.7619047621,112744.54198940255,0.28592577995783597,-5.428812244453975
2020-04-07,71.88266953845135,73.11494596262003,69.8777757708007,70.25919342041016,2132900,0.0,0,5033661.373358122,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,120.67610801231788,1497144.1810418621,,65.87671015421417,26.43086216901588,1.232834083212396,,67.37004229840193,,,0.0,,12.408068175659544,70.69671250001909,,86.34653081203207,,,,2.0462335264878466,,-507790.4761904762,120743.72633748285,0.3220540123704232,-20.291901484168438
2020-04-08,70.70907412729517,71.83376292729756,69.4865798129333,71.2176284790039,1748900,0.0,0,5864390.541243368,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,108.61544266629996,1522724.594317969,,66.6587821626524,36.37692469443638,1.3199041693268094,,69.7538722130667,,,0.0,,15.14862861408518,72.42560943859999,,86.93255438803273,,,,2.0201661615612903,,-536433.3333333333,7652.109429968938,0.30561654857391396,-13.481623107279471
2020-04-09,71.3252061170564,72.68461915084767,70.36676732456766,71.60882568359375,1584300,0.0,0,5978036.057772098,0.0,,,0.9739664718520786,152.98309723076642,0.11262037775585937,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3.805870628356928,0.9135798461772664,75.8716433886809,1393731.613877072,,67.19243058072219,44.41596490497585,1.3419140858784484,,68.72791677562935,,,0.0,,15.216355229126613,73.12264826338317,,85.17485074314374,,,,1.9826741239922678,,-644859.523809524,32560.009324421342,0.24847018023289857,-10.701923179120984
2020-04-13,71.32522037925916,72.3227726217984,68.98781146030058,69.70174407958984,1618200,0.0,0,5052669.17251519,0.0,,,0.8085727809585105,109.0153375898002,0.0856697632933003,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.7202924728393612,0.8041528051463371,98.73260078748619,753764.3188090445,,67.61276122461335,59.45078023714885,1.0671952079792768,,70.97548607972882,,,0.0,,14.416449864646284,64.5553915009346,,83.85450908898589,,,,1.999339441018775,,-717519.0476190473,-34393.264942457594,0.37240452002212665,-24.252926446641926
2020-04-14,70.65039666299015,71.72619027904057,68.85088842690784,69.42790222167969,2097500,0.0,0,3797019.174201953,0.0,,,0.7649928084939804,89.79573779534407,0.023985534185697766,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-4.511493110656744,0.7716534725120648,71.61517096794283,564028.9451268164,,67.81677089280419,72.25820823044825,0.9755345986153584,,64.16259725936746,,,0.0,,7.740173917655739,63.40660425442576,,79.61546895736097,,,,2.091141519969009,,-579033.3333333333,-51336.38466547339,0.2997303683121182,-26.198743502154212
2020-04-15,68.40100466552974,69.5256934721202,67.10026891666628,69.35943603515625,2478100,0.0,0,5935382.732090071,0.0,,,0.7358736601083169,55.44092451875915,0.03516877199485959,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.199510383605954,0.733147615752657,74.00829055200528,459215.3734195955,,67.95761192775478,82.56121041975851,0.9592118117874407,,66.14155241419145,,,0.0,,13.45383969416778,63.104242654455206,,73.19836227532814,,,,1.9911256380758833,,-182921.42857142864,-10684.360499974358,0.3166057405751769,-29.95324322521948
2020-04-16,69.50614269727842,72.62595085612378,69.36922391866268,72.58683013916016,2002900,0.0,0,7890163.939504085,0.0,,,0.9027109047910442,101.48526815946839,0.040779440284063745,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,-1.6699275970458984,0.9624740795867928,83.19617261724524,1317062.841632428,,68.60472012701953,87.5474596332984,1.3560387364380315,,65.32386711972501,,,0.0,,13.851822719731297,70.29510142493396,,79.87862015267937,,,,1.9911256380758835,,19290.476190476213,90754.0382355006,0.3620346078278982,-4.212152814588227
