Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,51.763888756532836,57.37752151489258,51.47239594344955,57.37752151489258,1480800,0.0,0,1480800.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6666666666666669,,,,,0.0,,,,,,,,,,,,-322944.83801249496,,
2020-03-16,48.98998009393089,54.64122565326927,48.98998009393089,51.99896240234375,1074700,0.0,0,1550539.1339561238,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3577432223736322,,,,,0.0,,,,,,,,,,,,-423443.0947394975,,
2020-03-17,52.37508643309553,52.6101631194317,49.4413303919761,49.91148376464844,1036400,0.0,0,821676.3234175936,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.22137080122404743,,,,,1.0,,,,,,,,,,,,-142348.0804971517,,
2020-03-18,47.76758073662647,48.905351008808395,45.16293068753378,47.664146423339844,1521900,0.0,0,1334074.9331615542,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.10666971366760057,,,,,0.0,,,,,,,,,,,,-110131.65205050175,,
2020-03-19,46.99653386791535,48.58565108328749,45.774135734014806,46.78966522216797,1512200,0.0,0,914299.125248916,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.07033439446441711,,,,,0.0,,,,,,,,,,,,-96269.69119943072,,
2020-03-20,48.350571554500625,51.32194433976024,46.300706131419,47.96504592895508,1408000,0.0,0,439690.5867565485,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.253366443212768,,,,,0.0,,,,,,,,,,,,7625.767385548355,,
2020-03-23,47.043549650029,47.68295858265143,43.6772530572094,43.75247573852539,1702600,0.0,0,-1198963.5558182602,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.1522390064943593,,,,,0.0,,,,,,,,,,,,-114162.5742611211,,
2020-03-24,46.38533294447895,48.83953050897678,46.07503000027506,48.642066955566406,1144500,0.0,0,-217962.91938633262,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.43171237938904145,,,,,0.0,,,,,,,,,,,,-21627.797653024652,,
2020-03-25,50.381635396526626,55.82600853784843,49.497744790772195,53.86076736450195,1667600,0.0,0,413891.31790372205,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9826567676206631,,,,,2.0,,,,,,,,,,,,306817.6056024489,,
2020-03-26,54.41517132384844,57.68027285354486,54.02258960999575,55.755680084228516,1345600,1.029,0,343440.8521016533,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,55.755680084228516,,1.138957902412349,,,,,0.0,,,,,,,,,,,,226253.61680663688,,
