Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-09-18,23.399999618530273,29.010000228881836,22.510000228881836,29.0,2999400,0,0,2990170.8656897913,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6661538344163161,,,,,0.0,,,,,,,,,,,,-984065.7300915412,,
2020-09-21,30.115999221801758,31.881000518798828,25.65999984741211,28.829999923706055,907600,0,0,3007532.048374587,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.579776203039483,,,,,0.0,,,,,,,,,,,,-993704.221788043,,
2020-09-22,28.829999923706055,43.5,28.530000686645508,38.38999938964844,1265100,0,0,3408949.7412700383,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.9104762902534008,,,,,1.0,,,,,,,,,,,,414185.4928156721,,
2020-09-23,42.75,43.0,35.45000076293945,36.75,1283600,0,0,2567383.9636047645,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7293209589390622,,,,,2.0,,,,,,,,,,,,364671.2319967431,,
2020-09-24,36.0,43.47999954223633,35.36000061035156,39.939998626708984,1114100,0,0,2710076.1954331556,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8375113687927501,,,,,0.0,,,,,,,,,,,,41872.192932651335,,
2020-09-25,40.290000915527344,44.22999954223633,40.0,43.16999816894531,1001800,0,0,3209791.3298629215,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9845768305724383,,,,,0.0,,,,,,,,,,,,177723.7365491485,,
2020-09-28,44.04999923706055,45.0,36.59000015258789,37.0,708600,0,0,2570281.9118242566,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5586864598699351,,,,,0.0,,,,,,,,,,,,-20258.576699360812,,
2020-09-29,37.400001525878906,39.0,33.09000015258789,35.61000061035156,665800,0,0,2472270.8621111983,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.47216169237479194,,,,,0.0,,,,,,,,,,,,-126287.91881954568,,
2020-09-30,36.119998931884766,37.66999816894531,34.900001525878906,34.900001525878906,430600,0,0,2041670.8621111983,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4223085558458113,,,,,0.0,,,,,,,,,,,,-33597.861645940626,,
2020-10-01,35.349998474121094,36.07500076293945,33.0099983215332,33.79999923706055,559100,0,0,1770785.6484385375,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,33.79999923706055,,0.34910296151651465,,,,,1.0,,,,,,,,,,,,-26207.48507626976,,
2020-10-02,33.0,37.40999984741211,32.75,36.81999969482422,1017500,0,0,2530635.3587753032,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,33.94688644857211,,0.5753712710613628,,,,,0.0,,,,,,,,,,,,73290.6387921142,,
2020-10-05,38.2400016784668,47.290000915527344,38.099998474121094,40.099998474121094,4474000,0,0,3968.90020813467,0.0,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,34.39004287092166,,0.7773705230324074,,,,,2.0,,,,,,,,,,,,489465.55304917315,,
2020-10-06,41.0,42.0,37.5,39.599998474121094,865100,0,0,-53705.01980868391,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,34.43665415418332,,0.7274475542072004,,,,,0.0,,36.55171887627963,,,,,,,,,,387766.03187042126,,
2020-10-07,39.02000045776367,42.900001525878906,39.02000045776367,42.45000076293945,643600,0,0,440606.1083877219,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,2183195.3869514507,,34.75536983978553,,0.9290478114787605,,79.14844105560087,,,0.0,,47.24245881122627,68.66419201187864,,,,,,11.038015075862363,,713097.6190476189,35532.95250072991,,-19.531880623378168
2020-10-08,42.900001525878906,44.709999084472656,37.79999923706055,38.099998474121094,554200,0,0,-65472.44997687155,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,613.9990112674067,1526914.4361779387,,34.79306976351392,0.0,0.57330597733224,,76.21853263597964,,,0.0,,-0.7554074502161628,57.01884901011669,,,,,,11.475615994658344,,-418845.238095238,-10471.105627930534,0.32280924344824813,-42.487295365663314
2020-10-09,39.22999954223633,39.37699890136719,34.290000915527344,34.61000061035156,1385600,0,0,-1276748.9773186706,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,350.65766329415874,617963.6538612244,,34.78103320175269,-0.26735890434849807,0.30569535104124596,,69.13434487634228,,,0.0,,-5.823127590880102,49.73143679168308,,56.796734957325306,,,,12.639184010925542,,-279488.09523809527,-183713.18367356362,0.16277378423837974,-67.59061913898258
2020-10-12,35.11000061035156,36.95000076293945,34.61000061035156,35.15999984741211,360200,0,0,-1467624.4369163015,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,,,-310.54605274920476,557984.5211937936,,34.78619252285245,7.060054103845488,0.350253555248886,,65.2103360508788,,,0.0,,-11.967949283053699,50.798655596853244,,35.49901633812075,,,,13.57717856986906,,-309319.0476190477,-121198.28194482534,-0.023729465823957963,-83.42503648099184
