Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,55.7823403082689,58.04325376625462,53.323966485323844,57.20404815673828,12272900,0.0,0,7908051.703245431,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6073917832955186,,,,,0.0,,,,,,,,,,,,-3146130.8193615256,,
2020-03-16,48.397347722557825,52.68222113217208,46.9558935669888,48.30849075317383,11278600,0.0,0,1957614.4569310714,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.07451157360499115,,,,,0.0,,,,,,,,,,,,-4894037.418461561,,
2020-03-17,48.88112370459371,54.23228097430318,47.55814419654684,53.5707893371582,8822100,0.0,0,9030950.36461994,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5998653085155471,,,,,1.0,,,,,,,,,,,,-792885.6133862798,,
2020-03-18,50.026393612470976,51.81340455408306,47.449548699405376,50.32258605957031,7879000,0.0,0,11526564.978196127,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3635114781937628,,,,,0.0,,,,,,,,,,,,483267.2249867404,,
2020-03-19,49.888169228907266,55.48615112721866,48.17027273211896,54.31126403808594,6092500,0.0,0,15662225.565628616,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7039194099201465,,,,,0.0,,,,,,,,,,,,5170.729446463636,,
2020-03-20,53.81761558742679,54.47910724599919,48.96998226401933,49.23655319213867,9861800,0.0,0,6754794.612446856,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.27721821782202954,,,,,0.0,,,,,,,,,,,,-438557.47680104245,,
2020-03-23,48.80214056658178,50.14486645262763,46.21542085448932,47.054622650146484,7631200,0.0,0,2383146.924891699,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1191150880835802,,,,,0.0,,,,,,,,,,,,-1259640.9154747785,,
2020-03-24,50.33245613060993,54.982629226394806,48.88112673442811,54.7950439453125,7612000,0.0,0,9527098.55107607,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.8040527408109869,,,,,0.0,,,,,,,,,,,,913985.0311902895,,
2020-03-25,54.40999315202866,59.8006393052867,54.311261092701265,55.811954498291016,7658200,0.0,0,6056116.044065876,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.8438672863462109,,,,,2.0,,,,,,,,,,,,1394287.8732699484,,
2020-03-26,56.394466796808786,58.3789381002543,55.12085510158635,57.8260498046875,6366200,0.0,0,10261660.548993206,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,57.8260498046875,,1.0002482327504538,,,,,0.0,,,,,,,,,,,,371862.3683807296,,
