Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,122.66094710731454,124.85497042517773,117.80482242400771,124.54293823242188,1854800,0.0,0,1690616.9754656204,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6519136812114176,,,,,0.0,,,,,,,,,,,,-229345.0921156224,,
2020-03-16,110.11108876877283,115.61079195261681,109.21397575344776,111.47626495361328,1186100,0.0,0,1343465.957824967,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.07058245633945293,,,,,0.0,,,,,,,,,,,,-353721.24728864204,,
2020-03-17,107.8000552938057,110.78393495829451,104.76741641090395,110.58891296386719,1602400,0.0,0,2841984.2058088025,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.20591241861589737,,,,,1.0,,,,,,,,,,,,-137197.18834652056,,
2020-03-18,102.14432595685872,103.78253596907349,98.90691181838811,101.45198822021484,1868400,0.0,0,2924194.2619611463,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.2968082390006585,,,,,0.0,,,,,,,,,,,,-167123.48684347924,,
2020-03-19,100.87665863282106,112.0710947266223,99.77477027562661,108.80442810058594,1364900,0.0,0,3563890.0278591425,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.3982345102717399,,,,,0.0,,,,,,,,,,,,-55451.1835706421,,
2020-03-20,110.5011423623473,113.1242304627126,106.5518839349254,106.83467102050781,1088300,0.0,0,2569242.175973419,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.27657392920286133,,,,,0.0,,,,,,,,,,,,79214.98579067481,,
2020-03-23,104.88441914625034,105.93755569606617,98.01953978985283,100.03804779052734,1502300,0.0,0,1832892.7891904924,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.10029282237481409,,,,,0.0,,,,,,,,,,,,-115275.73439014064,,
2020-03-24,106.80541802885338,111.6615428006079,106.54213760659025,111.54452514648438,1198700,0.0,0,2976793.820684625,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.6848415900870067,,,,,0.0,,,,,,,,,,,,42302.151271210285,,
2020-03-25,109.99407837752578,117.67805898087238,109.623526199041,115.3962631225586,1007300,0.0,0,3413370.966774564,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9103473950357854,,,,,0.0,,,,,,,,,,,,172658.70733454058,,
2020-03-26,118.49716836472116,127.56583987493464,118.37040481262474,127.12702178955078,1339600,0.0,0,4625116.068513219,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,127.12702178955078,,1.5961257009078642,,,,,2.0,,,,,,,,,,,,170961.8190937767,,
