Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,8.319999694824219,8.619999885559082,7.289999961853027,7.739999771118164,526800,0,0,-170318.92763977783,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4461152468869344,,,,,0.0,,,,,,,,,,,,-63072.98650406617,,
2020-03-16,6.980000019073486,7.414999961853027,6.03000020980835,6.71999979019165,528600,0,0,-172227.45689813237,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.28545111991176786,,,,,0.0,,,,,,,,,,,,-136066.06209369714,,
2020-03-17,6.789999961853027,7.260000228881836,6.0,7.0,884300,0,0,347123.0817763817,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.45492663165382274,,,,,1.0,,,,,,,,,,,,-32814.60378074276,,
2020-03-18,6.579999923706055,6.940000057220459,6.010000228881836,6.25,328100,0,0,188364.8870206685,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.21882431036834912,,,,,0.0,,,,,,,,,,,,1692.2906642995658,,
2020-03-19,6.159999847412109,6.699999809265137,5.079999923706055,6.690000057220459,700100,0,0,879821.890846551,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,,,,,,,,0.4643678388554854,,,,,0.0,,,,,,,,,,,,14133.474981035506,,
2020-03-20,6.699999809265137,7.519999980926514,6.619999885559082,7.0,855900,0,0,746682.0319267566,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.569921444848113,,,,,0.0,,,,,,,,,,,,88947.57686635063,,
2020-03-23,6.789999961853027,6.889999866485596,4.440000057220459,5.119999885559082,1577300,0,0,44944.3280399302,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.03696208440219283,,,,,0.0,,,,,,,,,,,,-383957.2096157791,,
2020-03-24,5.210000038146973,5.5,5.0,5.110000133514404,857600,0,0,-435311.2139522573,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.018955790766633496,,,,,0.0,,,,,,,,,,,,-425292.6985774446,,
2020-03-25,5.150000095367432,6.369999885559082,5.119999885559082,6.119999885559082,1573600,0,0,508848.7860477427,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3951254087246615,,,,,0.0,,,,,,,,,,,,309349.61454620236,,
2020-03-26,6.230000019073486,7.170000076293945,6.211999893188477,6.809999942779541,856700,0,0,721682.2820100576,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,6.809999942779541,,0.6530239117501209,,,,,0.0,,,,,,,,,,,,407613.3083574102,,
