Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,23.360000610351562,24.040000915527344,20.8799991607666,22.889999389648438,6133500,0,0,1669240.22650356,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5453585561942217,,,,,0.0,,,,,,,,,,,,-902531.4148257417,,
2020-03-16,19.8700008392334,21.239999771118164,19.290000915527344,20.6299991607666,6406400,0,0,4067527.1971528707,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.33072394883080664,,,,,0.0,,,,,,,,,,,,-1581783.305335964,,
2020-03-17,21.15999984741211,21.600000381469727,19.75,21.510000228881836,6561000,0,0,9990158.678915013,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,,,,,,,,0.5421456390187933,,,,,1.0,,,,,,,,,,,,-352655.1240705638,,
2020-03-18,20.110000610351562,20.809999465942383,17.700000762939453,19.8799991607666,7042400,0,0,12820702.164090123,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.3070173826958455,,,,,0.0,,,,,,,,,,,,-253795.81001512217,,
2020-03-19,19.5,21.770000457763672,19.239999771118164,21.219999313354492,6371600,0,0,16422036.282175327,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.5773808289367183,,,,,0.0,,,,,,,,,,,,-104190.20296933921,,
2020-03-20,21.399999618530273,21.969999313354492,18.56999969482422,18.760000228881836,6594900,0,0,10564215.495494906,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.145104229450226,,,,,0.0,,,,,,,,,,,,-335061.6326744951,,
2020-03-23,19.229999542236328,19.229999542236328,17.1200008392334,18.489999771118164,6725700,0,0,12572361.448161896,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.14752433467037335,,,,,0.0,,,,,,,,,,,,-861334.3610661217,,
2020-03-24,19.450000762939453,21.100000381469727,18.850000381469727,20.030000686645508,7552300,0,0,12941587.052409943,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.45211211863134687,,,,,0.0,,,,,,,,,,,,532219.7202972902,,
2020-03-25,20.25,22.200000762939453,18.799999237060547,21.059999465942383,8722100,0,0,15814745.375851247,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6402215644438323,,,,,0.0,,,,,,,,,,,,1077533.167389938,,
2020-03-26,21.59000015258789,22.079999923706055,20.06999969482422,20.93000030517578,6920700,0,0,14816239.949302666,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,20.93000030517578,,0.6047083804372696,,,,,0.0,,,,,,,,,,,,405794.7343354201,,
2020-03-27,19.979999542236328,20.489999771118164,18.93000030517578,19.030000686645508,4376900,0,0,11000483.307631241,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,20.82286894109331,,0.24283463040717596,,,,,0.0,,,,,,,,,,,,-440049.6804293158,,
2020-03-30,18.790000915527344,20.170000076293945,18.100000381469727,20.010000228881836,4938100,0,0,15175206.14532414,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,20.81549911948755,,0.4541950544265835,,,,,0.0,,,,,,,,,,,,-143029.2397864975,,
2020-03-31,20.1200008392334,20.459999084472656,19.3700008392334,19.440000534057617,4748900,0,0,11036254.926806381,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,20.775886492396406,,0.33847172715675133,,,,,0.0,,-15.072079281710318,,,,,,,,,,119024.4069560958,,
2020-04-01,18.760000228881836,20.010000228881836,18.549999237060547,19.450000762939453,7346300,0,0,12747046.321403885,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-2313391.172073146,,20.765188215027994,,0.349661083935621,,49.88640001658098,,,0.0,,-5.719817963304756,40.32218584449032,,,,,,12.660571824954474,,-782290.4761904757,-131496.89072533374,,-66.32948124252185
2020-04-02,19.18000030517578,20.049999237060547,18.459999084472656,18.68000030517578,5788700,0,0,8560259.45859622,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-8.823749291488907,-2619664.0974707776,,20.661637504039177,0.0,0.19036976765509334,,46.81951871862367,,,0.0,,-13.156670820980127,36.92174987227165,,,,,,13.139795313091733,,-474128.5714285718,-225388.1236568914,-0.19117214399418958,-69.29134863442472
2020-04-03,18.549999237060547,18.920000076293945,17.690000534057617,18.360000610351562,4396200,0,0,8953417.883963035,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-5.9500125681443725,-2446395.3204586995,,20.64018391880552,0.0715366754705542,0.13282535248420466,,48.162488245761494,,,0.0,,-7.645868282604222,35.578903415769176,,29.596204934332064,,,,13.453979355665794,,-448109.52380952425,-304476.73387507745,-0.1258023137191866,-75.59055532005723
2020-04-06,19.18000030517578,20.1299991607666,19.0,19.649999618530273,4996400,0,0,9705089.576018838,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,-4.740316556513152,-1176145.839755441,,20.61898826806002,6.390709344316633,0.43263686059674966,,46.95943036052593,,,0.0,,-7.3986792913615345,44.36361453756573,,34.97374079006537,,,,13.50271800831385,,-1119652.3809523815,275744.4038632675,-0.07657661583062647,-50.19687367532195
