Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,22.280000686645508,22.860000610351562,19.809999465942383,21.290000915527344,4141000,0,0,-122191.01432762234,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4950820649469682,,,,,0.0,,,,,,,,,,,,-437521.32033103256,,
2020-03-16,19.829999923706055,20.09000015258789,18.229999542236328,18.899999618530273,4458000,0,0,-1368514.283152942,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2359131088411987,,,,,0.0,,,,,,,,,,,,-957257.7506997741,,
2020-03-17,19.31999969482422,19.700000762939453,18.0,19.530000686645508,3923400,0,0,1770205.716847058,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,0.43343432754925065,,,,,1.0,,,,,,,,,,,,-369671.8810270906,,
2020-03-18,18.68000030517578,18.719999313354492,15.770000457763672,17.639999389648438,3999600,0,0,2841284.1096821483,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.17119934570236822,,,,,0.0,,,,,,,,,,,,-256278.09215640317,,
2020-03-19,17.1299991607666,19.25,17.0,18.889999389648438,4787100,0,0,6096509.51251418,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.46711813167497956,,,,,0.0,,,,,,,,,,,,-47836.36601044092,,
2020-03-20,19.149999618530273,19.700000762939453,16.700000762939453,16.8700008392334,6226300,0,0,575857.1625335068,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.10285860576476873,,,,,0.0,,,,,,,,,,,,-326586.2750471511,,
2020-03-23,16.65999984741211,16.739999771118164,15.430000305175781,16.459999084472656,4076800,0,0,2909897.9798108893,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.06658375853283086,,,,,0.0,,,,,,,,,,,,-764889.1426112542,,
2020-03-24,17.31999969482422,18.84000015258789,17.010000228881836,18.079999923706055,5148700,0,0,3782080.6666085967,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.429526428554478,,,,,0.0,,,,,,,,,,,,407656.5546918282,,
2020-03-25,18.219999313354492,19.799999237060547,17.1200008392334,18.81999969482422,5136500,0,0,5162035.39943373,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5879785934392694,,,,,0.0,,,,,,,,,,,,716970.2615876619,,
2020-03-26,19.190000534057617,19.670000076293945,18.15999984741211,18.75,6541000,0,0,3732545.8803760363,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,18.75,,0.5652664740135372,,,,,0.0,,,,,,,,,,,,185903.99009580596,,
2020-03-27,18.040000915527344,18.579999923706055,17.049999237060547,17.15999984741211,5250100,0,0,-762633.9297867613,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,18.6410799046378,,0.2159554587761688,,,,,0.0,,,,,,,,,,,,-469537.3224740828,,
2020-03-30,16.8700008392334,18.09000015258789,16.270000457763672,17.950000762939453,5281200,0,0,3706077.1684689578,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,18.631704797249487,,0.41676490871577043,,,,,0.0,,,,,,,,,,,,-202076.07096656092,,
2020-03-31,18.079999923706055,18.43000030517578,17.489999771118164,17.540000915527344,3495600,0,0,582357.8090942428,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,18.598052937332202,,0.32135220600538966,,,,,0.0,,-17.61390248351295,,,,,,,,,,163288.6965667832,,
2020-04-01,16.809999465942383,18.15999984741211,16.649999618530273,17.639999389648438,5245400,0,0,2215029.3485517222,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-1958358.7165504156,,18.59406520144174,,0.35707452137485407,,46.90207429321901,,,0.0,,-6.6666680122389215,39.64422735688673,,,,,,15.33422088500307,,-162411.90476190485,-49938.85389355963,,-70.25573359757256
2020-04-02,17.3799991607666,18.219999313354492,16.790000915527344,17.06999969482422,3853300,0,0,-129290.92405271856,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-13.354299796374184,-1992361.731909808,,18.535375297576707,0.0,0.2232435734298081,,44.31070169188923,,,0.0,,-12.596010779986416,36.88326048940962,,,,,,15.699399692050184,,-617828.5714285718,-94606.43090453323,-0.28101439825867847,-64.80687889809273
2020-04-03,17.020000457763672,17.25,16.100000381469727,16.84000015258789,4443200,0,0,1145714.4215009187,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,-8.406817400743027,-1853729.1939319004,,18.527700426471732,-0.17205799408017697,0.17895370256779827,,44.705581196870746,,,0.0,,-4.53514322415456,35.799834407091055,,32.40094604106582,,,,15.843630753311013,,-300904.7619047612,-184378.5837750789,-0.20205354368863448,-67.73454938113723
2020-04-06,17.780000686645508,18.329999923706055,17.59000015258789,18.079999923706055,3508700,0,0,2283670.4449870894,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,-5.511574257049129,-967369.7095241575,,18.51031595160505,6.950794514490212,0.5051716445051786,,44.16169202514833,,,0.0,,-4.287980371170661,45.15380133161579,,42.69977002624629,,,,15.730624843101216,,-850183.3333333335,198493.03093982956,-0.1108648176850272,-39.359261642031164
2020-04-07,19.059999465942383,19.81999969482422,18.530000686645508,18.709999084472656,4106000,0,0,-676478.4081632174,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,5.670764400114374,-459634.52900532563,,18.51338971856145,10.25189877153619,0.6647206923553061,,50.3691906701186,,,2.0,,10.906924444011294,49.203273831582926,,55.87381117240278,,,,15.050676347970764,,-773550.0,401434.20756845654,0.08945678724020267,-25.28475545962329
2020-04-08,18.649999618530273,19.940000534057617,18.649999618530273,19.43000030517578,2627500,0,0,-126536.00561535626,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,3.1372191819560515,-123714.85237635614,,18.52711331521109,17.416735025301534,0.851260927166503,,48.77849876219044,,,0.0,,18.043750825629388,53.43474916397855,,74.68259146870646,,,,14.746044597471311,,-1224526.1904761908,244185.80640177187,0.02990022459663899,-11.30820849222618
2020-04-09,20.1299991607666,20.510000228881836,19.790000915527344,20.139999389648438,3547600,0,0,-225092.1974842153,0.0,,,0.8875097927646057,133.98313161730908,-0.002506678368812046,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5304997444152839,0.6339164052512412,4.118564180726401,253786.23397386548,,18.581871871043322,24.258992553863152,1.0390141218130655,,56.85733988877954,,,0.0,,11.393802403955554,57.21929097662868,,85.37451828383068,,,,13.662320015775238,,-1020223.8095238092,230746.09197378537,0.10288794619348818,-7.283481196658536
