Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,256.32000732421875,259.0,220.0,244.02000427246094,1599100,0,0,370663.5298508864,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5386325151492388,,,,,0.0,,,,,,,,,,,,-545512.0975989391,,
2020-03-16,215.0,218.89999389648438,202.0,202.3000030517578,1977400,0,0,-1536532.1803511977,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.10518784326592384,,,,,0.0,,,,,,,,,,,,-885016.3424327191,,
2020-03-17,205.25,207.2100067138672,182.07000732421875,198.74000549316406,2553200,0,0,-703746.4716581185,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.20060056068146379,,,,,1.0,,,,,,,,,,,,-383005.5069880062,,
2020-03-18,189.52999877929688,225.0,187.0,191.16000366210938,1699400,0,0,-2031066.9862166094,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.159106190914756,,,,,0.0,,,,,,,,,,,,-109745.84263142105,,
2020-03-19,191.22000122070312,219.64999389648438,191.16000366210938,206.24000549316406,1418800,0,0,-1947900.4062431743,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.4312569738748497,,,,,0.0,,,,,,,,,,,,47108.986044935125,,
2020-03-20,208.30999755859375,223.3300018310547,203.32000732421875,209.5,1441000,0,0,-2498808.2632634775,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.48050212964902494,,,,,0.0,,,,,,,,,,,,134702.1968958435,,
2020-03-23,209.5500030517578,221.49000549316406,196.57000732421875,210.3000030517578,1362900,0,0,-2359893.45170525,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.49769650080336014,,,,,0.0,,,,,,,,,,,,27982.00997749423,,
2020-03-24,216.77000427246094,239.2100067138672,216.0,236.2100067138672,1306500,0,0,-1391135.706442146,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9317245015405239,,,,,0.0,,,,,,,,,,,,166171.69273210887,,
2020-03-25,239.6699981689453,254.0,237.00999450683594,239.3300018310547,1046000,0,0,-2151470.388428069,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.9449912734928968,,,,,2.0,,,,,,,,,,,,174783.43997307424,,
2020-03-26,243.9499969482422,253.5,239.2100067138672,250.2100067138672,1557200,0,0,-1311300.4727091598,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,250.2100067138672,,1.1227037822397927,,,,,0.0,,,,,,,,,,,,84606.88040880482,,
