Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,11.770000457763672,13.579999923706055,11.109999656677246,13.579999923706055,2970700,0,0,2970700.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6666666666666665,,,,,0.0,,,,,,,,,,,,-1032045.9627097322,,
2020-03-16,11.8100004196167,12.300000190734863,11.300000190734863,11.760000228881836,3166900,0,0,2717348.2416152954,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.35254570101332205,,,,,0.0,,,,,,,,,,,,-1470538.569311219,,
2020-03-17,12.149999618530273,12.8100004196167,10.699999809265137,12.630000114440918,3785200,0,0,5856731.219754012,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.616487453971976,,,,,1.0,,,,,,,,,,,,-144402.31938860804,,
2020-03-18,11.520000457763672,12.640000343322754,11.1899995803833,12.609999656677246,2437300,0,0,8193175.171357368,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6211473364072478,,,,,0.0,,,,,,,,,,,,276167.8796562854,,
2020-03-19,12.229999542236328,15.65999984741211,12.199999809265137,15.539999961853027,2165000,0,0,10208001.905824948,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.1909754180559646,,,,,2.0,,,,,,,,,,,,499189.60434018186,,
2020-03-20,15.779999732971191,16.790000915527344,14.039999961853027,14.170000076293945,3026000,0,0,7468096.603917774,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7574269473493852,,,,,0.0,,,,,,,,,,,,236278.34127755807,,
2020-03-23,14.15999984741211,14.9399995803833,13.210000038146973,13.770000457763672,1546500,0,0,6922799.93119463,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6407259751775026,,,,,0.0,,,,,,,,,,,,-310426.4607177768,,
2020-03-24,14.6899995803833,17.860000610351562,14.6899995803833,17.559999465942383,2318900,0,0,8802789.88214811,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,1.3710030328309954,,,,,0.0,,,,,,,,,,,,594589.0507338074,,
2020-03-25,17.610000610351562,19.100000381469727,17.1200008392334,18.040000915527344,4546300,0,0,8481335.653709343,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.3795560615063611,,,,,0.0,,,,,,,,,,,,762517.4357461695,,
2020-03-26,16.6200008392334,18.110000610351562,16.010000228881836,16.600000381469727,2600700,0,0,7341981.480476705,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,16.600000381469727,,0.9978997779710308,,,,,0.0,,,,,,,,,,,,-83321.92851212449,,
2020-03-27,16.010000228881836,17.93000030517578,15.649999618530273,17.530000686645508,2448100,0,0,8931100.102216959,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,16.65083821619342,,1.151428594820929,,,,,0.0,,,,,,,,,,,,-70442.11273243147,,
2020-03-30,17.489999771118164,17.899999618530273,15.130000114440918,15.34000015258789,2023800,0,0,7214157.974627707,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,16.590801583884645,,0.6292018012726918,,,,,0.0,,,,,,,,,,,,-115678.10978202074,,
2020-03-31,15.069999694824219,15.5600004196167,13.520000457763672,13.859999656677246,1516100,0,0,6203423.460031581,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,16.555440294390785,,0.30950748112027665,,,,,1.0,,2.0618537153480188,,,,,,,,,,-399103.801289195,,
2020-04-01,13.5,13.729999542236328,12.720000267028809,12.869999885559082,2198600,0,0,4657871.772829427,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-1290606.482498245,,16.53509426450741,,0.0997141430675543,,62.83661231723847,,,0.0,,9.438772407088525,43.25779521386542,,,,,,12.366236532145608,,-712173.8095238095,-303315.8840170329,,-74.16666751816153
2020-04-02,13.470000267028809,13.739999771118164,12.319999694824219,12.829999923706055,2813200,0,0,3865421.8669208107,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,13.855601209539598,-1122309.541096344,,16.40276122902332,0.0,0.10670026760868298,,58.57011650380208,,,0.0,,1.5835297502211458,43.10888346403753,,,,,,14.577387785428561,,-437790.4761904762,-165786.25080838945,0.04335442492641395,-74.64285750778352
2020-04-03,12.720000267028809,14.380000114440918,12.699999809265137,14.0600004196167,1853500,0,0,5012827.43047411,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,18.386696464383053,-636293.0467725263,,16.391405013343043,5.401182323295188,0.40769009380830956,,64.73793927801387,,,0.0,,11.49881683122528,48.93065630869411,,30.396826505120305,,,,15.311349000361906,,-231509.5238095238,168949.94357638952,0.11225804284261631,-59.99999545869404
2020-04-06,14.880000114440918,16.25,14.520000457763672,16.1200008392334,1922200,0,0,6646143.669843119,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,30.426722087776284,20282.075136008672,,16.384349054868625,22.483418721019632,0.8880513588085457,,63.66168247876377,,,0.0,,3.732309387413991,56.88780756457103,,42.56110868063702,,,,15.460685964935799,,-190571.42857142864,459324.42857882124,0.22458170351328033,-37.67382099161141
2020-04-07,17.690000534057617,17.799999237060547,15.359999656677246,15.880000114440918,2514300,0,0,5203513.650007471,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,38.03028192795095,-68820.19593281166,,16.372104020685114,24.953565226022533,0.802385377224642,,64.46324374454409,,,2.0,,12.067748969230847,55.79702470182611,,51.886505627675966,,,,15.672544531028535,,-295704.7619047619,244197.20092150065,0.28219514716262395,-46.666666666666664
2020-04-08,16.010000228881836,16.219999313354492,15.5,15.899999618530273,1070300,0,0,5322435.872229693,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,11.568663802764373,-55930.81519571898,,16.35579682005155,27.431351064257456,0.8017487704464099,,60.106128490248324,,,0.0,,15.46840297718135,55.872955036113595,,56.15395525029407,,,,15.989998769735752,,-478578.57142857136,-36085.906545205304,0.1220592940930425,-47.19764659083972
2020-04-09,16.25,17.06999969482422,15.869999885559082,16.15999984741211,1616700,0,0,4487140.893643659,0.0,,,0.6811615153217455,65.0135382011776,0.09244155667854666,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3.199500799179077,0.6499999602635729,5.163087428154902,12108.211265564321,,16.35411854272138,28.637737101556212,0.8524845419760989,,58.558205615539514,,,0.0,,-7.9726632181599575,56.90925853158862,,54.2576171329027,,,,16.058827227387514,,-479747.61904761917,27784.579133312724,0.06587466377227513,-43.36283534378549
2020-04-13,16.239999771118164,17.1200008392334,16.06999969482422,16.5,1570800,0,0,4202900.404491011,0.0,,,0.7066489812632426,66.4776007279621,0.026138946731275318,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.613500261306763,0.6904761661477657,16.467048884140915,86674.5010397778,,16.356761380830946,39.454272538459435,0.9049181374924382,,63.31898969449598,,,0.0,,-8.536590007608249,58.28876958270024,,57.03047790893845,,,,15.931875657262067,,-795983.3333333333,59485.652725425476,0.17564576861207204,-38.34808433855941
2020-04-14,17.489999771118164,17.809999465942383,16.809999465942383,17.6200008392334,1551800,0,0,5165020.666637007,0.0,,,0.8327059383290573,93.9987967998561,0.05376510259178329,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2.2505005359649655,0.8238095903072182,-1.7237158755630486,322580.615508722,,16.430120531046523,67.15101826888244,1.1250986243739047,,62.425085521256754,,,0.0,,6.144580929662384,62.5427987272476,,65.48672690849482,,,,15.944021710281955,,-580690.476190476,138383.40700397835,0.07360189749827928,-21.828899592170643
2020-04-15,16.56999969482422,17.360000610351562,16.100000381469727,17.190000534057617,1029700,0,0,5916865.0368563365,0.0,,,0.7481790978146168,66.01555140425806,0.0014059878021951053,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.16750001907348633,0.7585335456413893,-12.501555441055595,213244.62554469006,,16.529951383341082,84.85173134690882,0.9589600036931407,,52.382620757237525,,,0.0,,-1.9395330249296876,60.012206588338046,,74.64451755664459,,,,15.957356562149286,,-525171.4285714286,80205.47769386526,-0.12740993123512456,-15.889463399336151
2020-04-16,17.420000076293945,17.489999771118164,16.600000381469727,17.049999237060547,1174600,0,0,5930060.583515688,0.0,,,0.7078598904646393,69.66419165377219,-0.0545235535087173,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.8695004940032955,0.7028984095063354,-4.740659162802851,159288.88997362595,,16.656130750337546,95.4310790075641,0.8610048598563298,,60.695062510779245,,,0.0,,11.147321169903481,59.172718870828014,,82.19844838860818,,,,15.837725491513023,,-555373.8095238097,-34695.25204539181,-0.013686595654065936,-15.686291842668574
2020-04-17,17.309999465942383,17.770000457763672,17.1200008392334,17.700000762939453,1387800,0,0,7018950.94200941,0.0,28.0,,0.7832084665898132,88.34549011184662,-0.07829753973900105,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.967500305175781,0.7935104016600121,-1.6063173325831404,265400.7796366431,,16.934456092304636,104.95596101788817,1.0376441280321804,,58.87057304642471,,,0.0,,27.705636373607224,61.841615372862634,,88.28001194247777,,,,15.819692652596958,,-534304.7619047619,43341.11016571264,0.048838346409162736,-3.5842089305619123
2020-04-20,17.579999923706055,18.399999618530273,17.510000228881836,17.940000534057617,1523800,0,0,6967588.951850479,0.0,28.0,,0.7885697789608812,101.67430593705106,-0.012759036396915857,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3.1960002899169915,0.8289085944051675,3.2098902472214235,279730.9041499596,1.9799995422363281,17.17520351956287,104.44522458217756,1.0977821107412682,,67.12240306671032,,,0.0,,39.393944783071696,62.80835125707981,,91.05457490538761,,,,15.305633956571166,,-333890.4761904762,73569.13226616435,0.13534615053141652,-7.565774510606647
2020-04-21,17.489999771118164,17.8799991607666,16.81999969482422,17.049999237060547,1420900,0,0,6163305.016412463,0.0,20.000000000000004,,0.6354207227166682,60.853126994514206,-0.019423379173552538,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.129999732971193,0.6976399798237419,18.9680459315941,59111.79742808867,2.049999713897705,17.170498809829414,92.98584537942179,0.7743030909416052,,66.61527260601045,,,0.0,,32.891655015189656,57.03746434487823,,88.88202087920479,0.7070536639451843,,,14.059573143962183,,-244990.4761904762,-49829.00601750111,0.2919626737398816,-22.20395392121709
2020-04-22,17.450000762939453,17.860000610351562,17.170000076293945,17.219999313354492,799700,0,0,5479501.708961923,33.303558544665634,20.0,,0.6662273210295633,66.93650489363098,-0.0884255385610527,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.05299930572509837,0.7227137348498722,24.299871394993207,70088.54936868572,2.234999656677246,17.173690489779542,83.71184555802941,0.8444211089052202,,73.29394037080243,,,0.0,,22.475098146717837,57.83440604702763,,83.60745718948621,0.7475086503702932,,,11.838791114711038,,-341102.38095238106,-62517.12801530542,0.4621380451919448,-19.407899999717664
2020-04-23,16.940000534057617,17.510000228881836,16.5,16.56999969482422,1282900,0,0,4374428.616168489,32.59237438524048,-24.0,,0.5774298080831133,40.55840302161707,-0.11966686686988022,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.21949996948242045,0.6990131666661961,22.134988947275044,-59050.459200053345,2.0899996757507324,17.160641910488543,73.0913329672487,0.6453327419116085,,76.47210273124803,,,0.0,,2.7915560307887706,53.73042284311278,,75.42762772844875,0.3458619426547483,,,9.205762413687387,47.87273967867158,-312095.2380952381,-40451.79865697659,0.43703698913697164,-32.105262893719015
2020-04-24,16.649999618530273,17.170000076293945,16.559999465942383,17.020000457763672,1079000,0,0,4922774.758950588,31.9319890943457,-24.0,,0.6470961493243153,43.82115732040226,-0.07376124988645938,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.22050046920776367,0.7730264509731399,18.267785294015162,18749.724001621405,1.5999999046325684,17.15674512213999,70.08386975407157,0.823800689764249,,75.96898051363722,,,0.0,,7.178843420070652,56.05535399660235,,70.97328024465588,0.256108117124222,,,7.201228663076935,45.418446734144275,-370740.4761904762,-19122.343607287556,0.38652900503369825,-35.56699637259572
2020-04-27,17.139999389648438,17.40999984741211,16.68000030517578,16.739999771118164,2016800,0,0,3237500.783040678,31.463556102058355,-24.0,,0.6097015001420222,45.77905626082497,-0.17591025656701476,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.07899980545044016,0.7269737058811904,6.872312358857002,-64601.00583099024,1.5399999618530273,17.15311707777554,59.2289404477623,0.7331991255669117,,76.26141156359888,,,0.0,,5.283019954345989,54.22944041501602,,59.24082730330779,0.05497042377371814,,,6.85292547429458,39.52223849151044,28202.380952381063,-3875.9215139194057,0.22103856005613842,-54.60525882376192
2020-04-28,17.34000015258789,17.700000762939453,16.489999771118164,17.31999969482422,1361200,0,0,3743730.4856364042,31.205901951756328,-24.0,,0.6881316596879329,54.64684061490898,-0.10946374070670502,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.3199999809265144,0.8223684313719954,-1.0936830081359048,57412.83730896288,1.734999656677246,17.15495131421853,44.79622960075481,0.9753827398071961,,74.95214595760412,,,0.0,,7.178216945329203,57.32999470188794,,57.52878774178135,0.3965190839395657,,,6.129890048026488,41.16963112269627,136666.66666666674,13983.311672208532,0.0746919041509857,-37.241381578298316
2020-04-29,17.959999084472656,18.329999923706055,17.280000686645508,17.729999542236328,1152200,0,0,3579128.6916374722,31.33873515930981,-24.000000000000004,,0.733547731606009,86.81750254408392,-0.08373627212489188,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.2465008258819594,0.8898026176478062,6.9875472064362185,116696.97829171567,1.734999656677246,17.16581099409819,45.55233545763646,1.1026156850869644,,80.450148185683,,,0.0,,7.454542680220171,59.422556265396935,,60.557046782856084,0.627029996571289,,,5.255665320972367,40.07695392688932,155216.66666666674,74437.17315120462,0.2754957703677122,-26.482219249371536
