Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,11.691316895634007,11.978808481983728,10.646764649779337,11.796730995178223,863200,0.0,0,627217.8456433914,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6211032293874329,,,,,0.0,,,,,,,,,,,,34141.513686185106,,
2020-03-16,10.20594362131635,11.183414751694619,9.995117267396338,10.368855476379395,624300,0.0,0,395622.142254616,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.2515839925107165,,,,,0.0,,,,,,,,,,,,-42177.64956991018,,
2020-03-17,10.790510086876928,11.212163711551774,10.34968993139798,11.15466594696045,567200,0.0,0,887196.1166834175,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5840415581689234,,,,,1.0,,,,,,,,,,,,-32579.607922869967,,
2020-03-18,10.043032724929732,10.41677188349924,8.634325486905075,9.30513858795166,458500,0.0,0,773803.613231475,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.0037106983723303455,,,,,0.0,,,,,,,,,,,,-33037.12054956918,,
2020-03-19,8.979314459340639,9.860954810307176,8.519328666094028,9.56387996673584,363100,0.0,0,976101.9231838865,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.20471261236063779,,,,,0.0,,,,,,,,,,,,-65926.27847325579,,
2020-03-20,10.56051757852335,10.646764228496057,9.276389213840856,9.420134544372559,1724600,0.0,0,-386694.6370513438,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1875505816764525,,,,,0.0,,,,,,,,,,,,-15824.329491862389,,
2020-03-23,9.305138004663412,9.372219036389957,7.944345355370147,8.030592918395996,641300,0.0,0,-950522.0105806696,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.23498125399528358,,,,,0.0,,,,,,,,,,,,-120517.42991814707,,
2020-03-24,8.576826757226348,9.123061049725177,8.193505248376788,8.423498153686523,447500,0.0,0,-1176578.983756866,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.04151058375824362,,,,,0.0,,,,,,,,,,,,-72702.22679309307,,
2020-03-25,8.509745068172352,9.209306996579464,7.9347619351417285,9.08472728729248,1916400,0.0,0,365186.07849010965,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.26311375598987585,,,,,0.0,,,,,,,,,,,,172328.29000599502,,
2020-03-26,9.822622819380326,11.212164401291043,9.707626369212944,10.541351318359375,755300,0.0,0,446970.2075240931,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.541351318359375,,0.796269151663446,,,,,2.0,,,,,,,,,,,,271536.92439290404,,
