Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,25.920654560239342,29.041833935356436,24.18666580851899,29.031925201416016,1294000,0.0,0,1288718.2460487701,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.665986378934669,,,,,0.0,,,,,,,,,,,,-52675.0433573858,,
2020-03-16,26.75297061740371,28.179796246169975,25.31623625421363,27.86272430419922,930100,0.0,0,2012844.832496835,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.576808079011963,,,,,0.0,,,,,,,,,,,,-90880.37779445385,,
2020-03-17,28.318514070408582,32.82688607083853,27.496108031897293,32.688167572021484,1712000,0.0,0,3635744.866885828,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9797520594460252,,,,,1.0,,,,,,,,,,,,259037.15671564385,,
2020-03-18,30.756008309970802,34.788770576191425,29.131011788351085,29.160737991333008,1304700,0.0,0,2344754.8105171714,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.501942134211167,,,,,2.0,,,,,,,,,,,,155702.86605611237,,
2020-03-19,29.012111143305294,31.994572179295755,25.66303449190429,30.973995208740234,1256800,0.0,0,3196389.05144779,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.6748450385567535,,,,,1.0,,,,,,,,,,,,-62642.49248233515,,
2020-03-20,31.172163837689386,31.22170750936623,24.166849303899447,24.45419692993164,1488800,0.0,0,1828868.0717136338,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.09488534170038206,,,,,0.0,,,,,,,,,,,,-235231.79777173616,,
2020-03-23,24.325385477632775,26.34672194146511,20.322349377540093,20.97631072998047,1283800,0.0,0,823787.7476149414,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.13543010639704248,,,,,0.0,,,,,,,,,,,,-495964.03212679096,,
2020-03-24,21.967161306600193,23.572340360718474,21.570821382712293,23.512887954711914,754300,0.0,0,1533276.8311624571,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.12538074792586906,,,,,0.0,,,,,,,,,,,,-91368.24398214958,,
2020-03-25,23.691241585548646,25.99992378710059,22.61121410298722,25.048707962036133,908500,0.0,0,1931742.2412284622,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3014500404884457,,,,,0.0,,,,,,,,,,,,150555.9370155494,,
2020-03-26,25.24687605452621,27.159218258818655,24.682091442874615,25.514406204223633,715600,0.0,0,1697025.528581977,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,25.514406204223633,,0.35477261452798753,,,,,0.0,,,,,,,,,,,,72645.82922228993,,
