Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,576.3951965293398,614.3593917226234,558.1271170115908,611.6511840820312,1081100,0.0,0,976966.0913046884,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6506129700158305,,,,,0.0,,,,,,,,,,,,-144198.05371593518,,
2020-03-16,573.7362336844428,577.3701580659599,521.9454330415308,534.1865234375,1018900,0.0,0,408134.0708555344,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1827775132179484,,,,,0.0,,,,,,,,,,,,-272502.4834733315,,
2020-03-17,550.1303929598403,589.138407347183,546.2896389907471,566.438720703125,1215500,0.0,0,335780.52573918924,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.47674510975609286,,,,,2.0,,,,,,,,,,,,-55654.70954110555,,
2020-03-18,536.7174487531499,576.1489255512566,526.3179350861997,563.4450073242188,1027900,0.0,0,839574.6460967138,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.48036056210722566,,,,,0.0,,,,,,,,,,,,67954.7679668095,,
2020-03-19,563.1988248017973,581.1419009616972,527.4110686003755,541.6414794921875,985200,0.0,0,376227.7495935942,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2991542332451083,,,,,0.0,,,,,,,,,,,,-43556.70849893305,,
2020-03-20,541.3952651390887,551.4697771686414,485.70468644916315,498.8222351074219,1230300,0.0,0,-363279.3407426828,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.010968273898326579,,,,,1.0,,,,,,,,,,,,-135384.9637028075,,
2020-03-23,497.36474675650385,498.310148900621,470.6076451027366,481.7063903808594,882100,0.0,0,-538569.3512008896,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.11937829206231941,,,,,0.0,,,,,,,,,,,,-127527.92872645688,,
2020-03-24,502.0917795359951,544.5466374110856,489.11208782018736,537.5939331054688,914300,0.0,0,146384.23601002828,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.4626376646381288,,,,,0.0,,,,,,,,,,,,75809.95571054569,,
2020-03-25,527.6572720615974,584.6675145120009,527.2338141155758,545.5018920898438,723800,0.0,0,-116974.080918541,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.5278713961899741,,,,,0.0,,,,,,,,,,,,116724.05763968607,,
2020-03-26,551.026686752603,595.067034898318,542.8823491423223,578.650390625,754700,0.0,0,162887.70731165574,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,578.650390625,,0.8200558465025404,,,,,0.0,,,,,,,,,,,,56507.86791030394,,
2020-03-27,564.8040528645129,595.805622029226,545.482229071114,585.2387084960938,616200,0.0,0,520308.1721346067,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,578.741954679696,,0.8583338146349262,,,,,2.0,,,,,,,,,,,,52876.6792671616,,
2020-03-30,596.7805116230445,639.1368806167213,584.992453477792,635.0696411132812,778600,0.0,0,1181933.892611698,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,583.4534997735935,,1.2807380741067913,,,,,0.0,,,,,,,,,,,,73310.7834500755,,
2020-03-31,630.2736834081651,635.1287531627587,601.7734928822488,615.0781860351562,1135000,0.0,0,952387.8810714234,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,584.4554773265886,,1.0559332967425112,,,,,0.0,,0.5602869809315025,,,,,,,,,,30566.09854138668,,
2020-04-01,598.9372438373907,610.5776178946797,571.8650297192413,586.4105834960938,714800,0.0,0,774734.1856572119,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-11237838.502888493,,584.4805526094632,,0.7537295396642247,,42.45283086252241,,,0.0,,9.77637169176994,50.57224084205673,,,,,,10.622485101435384,,-58038.09523809515,-69044.28294732374,,-31.286142703858822
2020-04-02,585.7507588733389,619.4802503451834,581.7229496103794,616.6342163085938,801500,0.0,0,1455404.770633698,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,22663.75943289586,-6171827.045444602,,586.0236222540166,0.0,1.0374001603725733,,46.351366190207024,,,0.0,,8.861593279350796,56.18695207269369,,,,,,10.650779561807122,,-30433.333333333372,7993.909756712128,0.03915282564036926,-13.352380220261717
2020-04-03,616.7917255308708,626.5412954961437,595.2245241447009,615.1963500976562,557200,0.0,0,1608897.5362513792,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,41006.43486645249,-5404591.6179145705,,589.4742280808674,8.156990551849844,1.0030576065369305,,52.68017343847479,,,0.0,,9.184808118045606,55.86184361708179,,80.38530394140605,,,,10.13319088918003,,-190054.7619047619,40010.075188422,0.18139099635153966,-14.20556525166132
2020-04-06,630.0570956042026,648.9652592184824,620.425696417696,642.3079833984375,698800,0.0,0,1981686.631633093,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,43406.48594607165,-1925991.4795573554,,599.4868289567703,23.978625510182923,1.2624022609410235,,50.958051787562624,,,0.0,,18.58544954877334,60.502546601727396,,89.56983695560696,,,,9.938748329530664,,-158480.9523809523,29496.759014249987,0.20487404648719632,-3.73254366125611
2020-04-07,668.6021485996012,669.3308928892081,612.2714291860801,614.142578125,621200,0.0,0,1401228.610103294,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,53119.21823385096,-4150328.3761719298,,600.495020498092,29.45869881449643,0.9182226499008412,,52.34844701787725,,,0.0,,23.11852497768945,54.1347297523266,,84.76348248141976,,,,9.7834239444495,,-189530.9523809523,3556.22303755127,0.27096254784109075,-27.771443642823353
2020-04-08,614.5365314243661,658.5670167528488,612.1040377712111,654.1649780273438,533700,0.0,0,1833800.0075343326,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,48535.00032587319,-506002.20416438906,,605.694474340678,39.614817043946886,1.3063047110626733,,59.40404675834024,,,0.0,,35.80159846128066,60.49708429736876,,86.95477882246665,,,,9.292869959426021,,-165114.28571428568,7540.310063508801,0.24794764971033778,-7.631676228520679
2020-04-09,656.7550841830138,682.1038959539602,656.0854255628259,676.5003662109375,904300,0.0,0,2348586.568009303,0.0,,,0.9549510156105889,150.4764540664836,0.13658464143909038,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-39.51717529296877,0.9735052998789823,69099.76951717677,2451696.901348213,,611.9042673614224,50.77668679237364,1.5167583673580354,,69.24003666533332,,,0.0,,25.838541797348956,63.53699888673763,,87.31580337218476,,,,7.877301860691195,,-73328.57142857148,65655.96114702734,0.4886495352354805,-2.6494700121017707
2020-04-13,671.2513174090396,671.2513174090396,634.9613639310353,647.2024536132812,541000,0.0,0,2172559.7290859064,0.0,,,0.7916135409186735,103.56914641425548,0.0717858683747354,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-8.146240234375,0.8349784348412386,69094.9082597666,-162855.61532039288,,613.3045528290189,63.49573946276427,1.1825325832960687,,70.06456104550043,,,0.0,,18.64348465113802,57.307261454769595,,90.54481242896622,,,,5.581446999003545,,-75697.61904761905,7446.181681314873,0.5359517026728653,-18.08441647247893
2020-04-14,667.0659118698601,685.2946186285243,661.6002691569063,678.4207153320312,549800,0.0,0,2403357.763073813,0.0,,,0.891125233712097,125.1841419400659,0.12326924620924873,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-8.769631958007835,0.9679817401885011,61337.66508314427,2312380.9430066273,,615.0883021222792,79.59899691163592,1.4916917363566726,,69.53855280675796,,,0.0,,17.241900519460355,61.62492685058347,,91.63907181100573,,,,4.5476672330332,,-44295.238095238106,3090.330658829578,0.5180967170915507,-4.348898082402158
2020-04-15,667.4599459591569,674.7770234473504,655.3862541837266,665.2638549804688,361100,0.0,0,2410144.317672217,0.0,,,0.7976364391361204,98.4793278189846,0.13530077239233132,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36.120043945312545,0.9066978153397393,35955.37033334858,1303334.7692986494,,616.7982740182715,89.56391762463333,1.3056506004895598,,64.69988230910741,,,0.0,,13.673932588980337,58.92041435213169,,87.83378327954244,,,,3.5490185116954813,,-199454.76190476184,19517.042446091535,0.3827875046646628,-14.065335606491596
2020-04-16,649.0145039317663,677.5442071758907,649.0145039317663,672.3641357421875,521700,0.0,0,2742396.6221361947,0.0,,,0.7967243244611835,91.62195954049395,0.12834964392217904,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,10.682632446289062,0.9397705288123426,28818.780441136663,1646317.8698829385,,621.4545663049217,92.3530685670678,1.3452967947842276,,64.19465807155035,,,0.0,,5.872504716731342,59.94212615614503,,90.77910449665275,,,,3.2516426957316886,,-189245.23809523816,-1434.902912960707,0.3450996056200064,-9.248452821148035
2020-04-17,671.4876601130588,686.2006140481857,659.1283989276254,684.3886108398438,502600,0.0,0,3177716.363874579,0.0,72.0,,0.8146198268703825,98.42156736075903,0.19532505136975498,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-25.122326660156205,0.9915952583370173,31455.94556759973,2274486.9147685235,,625.6138462671688,91.38490465901215,1.4450541398824215,,64.10570993859652,,,0.0,,11.268555181816495,61.680325020600264,,91.70046677262059,,,,3.0399418954198127,,-196864.28571428568,14556.475862035551,0.3899237819427548,-1.5848112544986757
2020-04-20,673.6049697312943,676.5593774932737,655.6815506204368,660.5563354492188,519500,0.0,0,2900813.5205592196,0.0,72.0,,0.6944154240326978,75.92916397051842,0.23944518822041702,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.9853988647461165,0.8810523426417693,9002.921354607763,180864.91759735066,70.74819633423726,626.7599721804163,87.30053131618232,1.0834495730469567,,57.22580763530258,,,0.0,,12.643999620722893,56.451863513589664,,88.91259310477336,,,,3.179214581063815,,-125557.14285714284,-9101.97009780254,0.21715811215174796,-22.42895661003327
2020-04-21,648.4039075435326,670.7392852706267,644.9965287319566,661.984375,420700,0.0,0,3035359.9576865053,0.0,72.0,,0.6949822746733568,62.54887782894324,0.2713586658735352,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-13.437164306640625,0.8771301429278965,4055.3436106470117,240852.2492282537,70.74819633423726,627.2784209571008,75.3766218743163,0.9869260573160824,,61.78831859250999,,,0.0,,7.354466796035014,56.68877555432692,,84.93542170655807,0.47178163226730185,,,3.188269199585923,,-108202.380952381,-17180.904498731834,0.16080775586646245,-21.17996701579394
2020-04-22,669.5771537896749,688.1210048094161,662.9691663736467,674.3829956054688,434000,0.0,0,2995255.767669609,18.508380394880508,72.0,,0.7535407005127182,87.75335747318248,0.22449382449918684,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.835015869140648,0.9146109199576361,21906.656188191588,975159.2625918514,82.17685941414925,630.2850603580105,69.0337798600647,1.0744582114006522,,68.97552580251414,,,0.0,,9.62077318866037,58.785242988334105,,81.15972586072697,0.4946160516706822,,,2.4747573035736696,,-111011.90476190479,9038.09305816798,0.35642936206537545,-12.91189879199199
2020-04-23,673.2505267582186,688.3672240367895,670.6604908697535,675.0723876953125,382400,0.0,0,2803417.1016185037,18.58933943776992,72.0,,0.749239946806089,88.47815476815984,0.2364919006330206,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-27.808914184570312,0.9086170548579646,20062.956443402687,873511.3015296228,82.17685941414925,631.2468444493461,61.091726613739155,1.0258533295364274,,67.55800074066286,,,0.0,,5.1010426685838866,58.90435650654405,,83.87817093176085,0.5072846443802871,,,2.377995993293661,55.05834645220563,-126776.19047619047,8519.50338609485,0.3483156242890564,-14.273621396931645
2020-04-24,675.0723198589645,679.0706159822449,662.683486408891,674.688232421875,459800,0.0,0,3017289.9608049486,18.322261899994714,72.0,,0.7285300022652547,69.43245735304536,0.23680321335777577,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,7.411593627929733,0.904265723505813,13736.7990147844,723490.4592073107,87.19444181460995,631.4771536834822,48.140753137619704,0.9715643762040883,,61.06801926311255,,,0.0,,9.858566471929551,58.802373373297705,,84.95930684300498,0.496437993238054,,,2.2580727750314544,57.525020627867384,-106785.71428571432,129.25788814799182,0.273834488013335,-17.936559282061538
2020-04-27,681.3554259683099,696.2752106257229,674.8261793858858,691.3314819335938,349800,0.0,0,3205841.0654893466,18.591879257745745,96.0,,0.8437351282955086,102.92789038385615,0.2278288774850257,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,24.442343139648415,0.9602626677647438,13217.038635142168,1451821.633491869,87.19444181460995,636.4433169199463,40.63571977437117,1.1730788572856918,,59.37782777235798,,,0.0,,5.6815184478886085,61.881534086491506,,87.30546557247806,0.8239292263835178,,,2.2580727750314544,56.39745627193455,-109923.80952380953,8367.234418064945,0.23875902082140865,-5.873422603572744
2020-04-28,702.7650503503888,704.8725425842857,671.9210221333011,673.3687133789062,374300,0.0,0,2864430.038490519,19.085927439228573,92.0,,0.6692807450919593,85.08811028487479,0.14780519940603887,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-6.7705230712890625,0.7631424832569818,11000.798599995762,283923.64727595495,87.19444181460995,636.7648730393305,24.38550513114548,0.8413688331358631,,61.15037506225064,,,0.0,,-0.462919606322102,56.93543684593799,,80.74346693958536,0.06825181268674532,,,2.051255513972057,47.79940116523459,-94988.09523809527,-1096.4969588384065,0.23685997847557438,-33.959617295609775
2020-04-29,675.0822280527213,678.3320648314583,661.8858482753236,668.9961547851562,605800,0.0,0,2782449.443270262,19.076921330437745,88.0,,0.6126166804753469,42.53408231405705,0.16860710910252802,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.75184020996096,0.7302679598592952,10853.31136603623,-135050.58749114568,77.94222045588458,637.0129119818326,17.533086354434744,0.7302820461438265,,52.94393904689842,,,1.0,,3.3673699860379784,55.766945544116844,,69.61662082581951,0.0,,,2.2255811534292977,49.27780364076924,-51471.42857142858,-13659.181452766035,0.18701852815420927,-51.31709762335905
2020-04-30,665.3720973219025,676.126125760302,653.6824943157314,664.9387817382812,752000,0.0,0,2784759.4721675864,18.695392680914807,84.0,57.609247067793945,0.5490514893647063,20.566278881854522,0.1845549881106191,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.66856994628904,0.6757296562525719,2805.811707781634,-551635.4365995534,58.881357308190445,637.3643842465076,10.290157613219932,0.597593870538308,-2.749145648654924,40.810628231519715,,3.2976260614359365,0.0,-18.798549015639225,-1.9872526426543005,54.64622589804941,,52.53419206085758,0.0,,,2.448315816818174,47.3959093620033,93473.80952380947,-8494.577626050226,-0.022874579127558414,-57.12070889845855
2020-05-01,660.1526473207882,670.5423034530663,655.130117646346,660.6548461914062,346700,0.0,0,2686619.0743671902,18.341116077786364,80.0,53.74834493325102,0.47284157136343496,-0.760323163854281,0.11797308494629305,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,9.56781921386721,0.5967305472351688,9809.752154079508,-685007.5819569833,51.0570897948171,638.6028099346404,2.011188087236974,0.4700474745523874,-3.690350780210437,41.94510228528132,,3.1462680211460596,0.0,-18.185043596954205,-0.6928091394951579,53.42540866382229,,39.23780969775925,0.0,,,2.4619025596207136,47.06586007063596,98152.38095238089,-6794.430287536421,0.057192578570216646,-73.84876438490474
2020-05-04,654.4112215331054,666.7113970701101,650.8757535562534,665.697021484375,515200,0.0,0,3135815.2771342653,17.803077019142002,68.0,45.18704511944895,0.5057225508086685,-22.0873698458408,0.14689811253010146,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,19.0672607421875,0.5777066669464161,2660.577567818163,-216045.25440062862,52.69676224256955,638.9338585019256,0.1427024557644927,0.5188973521617317,-3.9491402022384037,33.770721469546515,,2.9859440940204265,0.0,-17.458800931223642,-0.9915927848312465,54.707952241599195,,34.53426311054417,0.15167035890204011,,,2.6538737726794785,50.983138500793395,70423.80952380947,1698.4013294986048,-0.09216476343825297,-65.42773738500432
2020-05-05,678.9032906925812,682.0743265375457,662.2896739385338,675.958740234375,321600,0.0,0,3258597.2746187258,17.88305090535445,68.0,38.871501134443065,0.6428234105380699,47.3631881900246,0.1274718127805807,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-6.4475524902343295,0.6883230746450959,11752.614697176567,286271.03194231825,39.50536191850597,640.0689884354977,-0.43470493140569033,0.6834155220782661,-3.4245385500196193,38.92073508138297,,2.846179054369145,0.0,-17.26891563031499,-1.2317374181788445,57.285939612925986,,37.478013527709045,0.4565366235881944,,,2.669753930862999,51.75860532285792,-70221.42857142858,8889.514841727589,0.04511846270510678,-48.2894576469639
2020-05-06,670.0695314623763,690.4943885120957,669.9119894888111,673.7921142578125,388300,0.0,0,3016699.2995817824,18.252434033666066,68.0,37.09711942733418,0.5954357785805624,73.6819065686557,0.16510845839543853,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-8.001989746093727,0.6649678855005885,15493.574329676338,125189.33213638442,39.50536191850597,640.2338456211207,-0.12275011308250328,0.6038483720284769,-3.2217657442437364,37.7162577907593,,2.7148409923981185,0.0,-17.200035808385927,2.003732020765891,56.55400761005611,,44.79160886200902,0.36998019658585724,,-20.371495208393494,2.7441598784301076,45.23582964385225,-46826.19047619047,3712.8597221281434,0.11032638708207188,-51.90797838200481
2020-05-07,651.9492237636247,668.8287559164726,646.030550112605,665.07666015625,663100,0.0,0,3461535.220381171,17.41157031660521,52.0,32.56827130988847,0.35443458105886644,-88.56276917174424,0.1641904851717158,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.851046752929733,0.4307651051712677,6289.949202570611,-718297.3745611125,37.082760196681875,640.7632073917774,-3.1836766436902053,0.3973206648675296,-3.6419265659559734,29.099457298352192,,2.56859504307112,0.0,-16.2868701388308,0.46712358675384147,53.58794343288396,,44.446250017839816,0.019220950605338488,,-20.24350262679615,2.925850937954866,52.63096484398876,-8990.476190476154,-9821.756221725973,-0.09204751614067808,-66.46381391751194
2020-05-08,669.5575092770815,676.5495842698383,661.1472559116556,667.853759765625,439400,0.0,0,3404783.5739164464,16.92998935470299,52.0,29.35126650392465,0.4395159238578796,-9.788664832389632,0.11178107335398609,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.97276916503904,0.4704883606344465,11027.49984274032,-441360.9541439001,32.1538002511129,641.1433951755105,-4.8336685549653,0.46085073987525926,-3.688775976130117,36.24147797318982,,2.421471571974697,0.0,-15.565012014197581,-0.9681791922973573,54.40846034550969,,39.93415914466806,0.11625320493142526,,-19.947076924807853,2.918599840498666,53.097868910410234,35997.61904761905,-6742.390069324825,0.025910563758693717,-61.82573026647917
2020-05-11,662.2502402656856,676.4511384224315,660.2609796925093,667.6962280273438,558900,0.0,0,3359227.558204726,16.439275035438918,52.0,25.855023192317958,0.3886105320179317,-23.49734034344711,0.1253517940907412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.5639251708984148,0.3791117316421719,14532.597877959905,-390887.17334125587,18.213935947857067,643.573468239256,-6.192672455972442,0.435225881865613,-3.6780589524610736,35.453362013264325,21.719645054366925,2.275610648553692,0.0,-14.588532489544379,-1.0926472186413747,54.349763376841516,,36.176850491105604,0.10931184990955939,,-19.69721600140985,2.9304657550423827,52.499894419956185,82992.85714285716,1702.9302909666958,0.08130890090135667,-63.17990434269217
2020-05-12,658.3504577153984,666.0220490528155,649.969777183291,653.5643310546875,1527300,0.0,0,2515938.167096382,15.477123080694147,52.00000000000001,18.865848400602317,0.013844026926421225,-126.62493193720394,0.01077922713300868,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,21.44999389648433,0.1430923966291661,6437.293153838212,-3418424.183769346,9.774179134601923,644.3433508664208,-6.7332529802698105,0.11682501810062906,-4.515250509640966,24.832485186629626,21.754328246824528,2.0991545111517342,0.0,-10.805609876993676,-3.130912968699736,49.219886673290496,,29.26592478685033,0.0,,-20.17282699167761,3.250641100925445,50.69638573800944,292966.6666666666,-32457.379654769622,-0.11922440389916156,-87.19659103027777
2020-05-13,653.3968850422501,675.8996631076499,653.1703996525996,668.4840698242188,1572000,0.0,0,3062184.50247743,15.016430589911863,40.0,12.538559021644346,0.453236508269359,-36.19099520895378,0.055944623796038935,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3.3262145996093295,0.3922696181844864,5799.986351861143,420469.1775838635,9.774179134601923,644.4587919636357,-6.3547831993704875,0.4746456582066584,-3.9757090813564915,34.83868958805847,21.7536071881734,1.9437912744396832,0.0,-5.82881652202117,-3.3048418459799898,54.14116294671244,,29.260837030795827,0.3886758265193068,,-19.44578602093555,3.3487986192706467,50.09047402511194,585528.5714285715,3560.4825692189115,-0.0988165725942598,-61.84099353464268
2020-05-14,669.2916589960623,671.8028940577699,636.0841381824617,649.2410888671875,800500,0.0,0,2851410.4750107387,14.110424998117443,40.0,9.342248581001058,-0.019311397986478324,-147.70602337943754,0.009134805292028963,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.10980834960935226,0.1912669845904565,4622.9419902390155,-1840170.170085762,4.800973169530266,644.6141060936163,-7.455489057206236,0.04046085844108948,-4.772665260160812,33.62685779170501,21.867092295317814,1.7591457105286195,0.0,-2.074707426467322,-3.5831222972401564,47.71782808661227,,23.36303796470843,0.0,0.2184244737083741,-19.840996942812165,3.7038673625222303,46.032802018523626,641726.1904761904,12842.839005065121,-0.10546767322959516,-80.87330154095436
2020-05-15,646.8971071221433,652.2839482462322,636.7536528273919,648.6500244140625,564600,0.0,0,3151789.6935883844,13.269134091451196,40.0,2.3035342294303973,0.026054000654516483,-176.46607908974164,-0.0021612942994018065,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-2.1606353759765398,0.18267448330677608,-3655.6387893211845,-1624962.2872498496,-6.627689910381719,644.7138213031443,-7.31409107967859,0.05039292905371192,-5.1643348804861535,29.112919331956817,21.968266545275274,1.5603305408068704,0.0,0.2394972777414981,-3.041292573292559,47.53129331947007,,25.184384418360224,0.0,0.19588565202461064,-20.206109787866424,3.8580384309589295,49.61102328228761,305483.3333333334,-23557.199041374195,-0.2712843278901018,-81.7325516693224
2020-05-18,670.4044189073161,670.4044189073161,649.3690482609951,652.3135986328125,586600,0.0,0,2729415.2997970567,12.985057817388705,-56.0,-0.7968622339649301,0.14649307583853988,-75.92574748166972,-0.014208589966191051,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-6.032434082031273,0.23593308481974934,-1508.9540238517732,-1085817.2981114783,-6.627689910381719,644.9326412850953,-11.682701658860736,0.14707822349495184,-4.998155104704042,34.56244073114168,22.06381907374776,1.3683126610172585,0.0,1.565236961817816,-1.898698564770734,48.86557443300481,,22.40736448597042,0.13678416145441005,0.17289020988511244,-20.208306049320456,3.9084840896011377,45.91601367321328,-38147.61904761905,2799.1079779416987,-0.19361156710938154,-70.1720533318121
2020-05-19,655.5567462750182,662.4583651063258,641.9116857981049,642.8312377929688,455600,2.66,0,2314595.4066527984,12.347086944528696,-64.0,-2.9512133680063926,-0.0025423168442401407,-129.6319655908314,-0.05957765819139738,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.03260192871096024,0.09808483957694623,-443.63629009990734,-1547866.769614526,-14.161479157223766,644.7072370818582,-18.96198261945287,-0.076181489505341,-5.318588610857708,35.168627513848946,22.197902298920727,1.1644883813002236,0.0,1.8927909044759677,-2.6978699242408357,45.63109748164658,,20.165271694825442,0.0,0.14741265827930244,-20.758137866497744,4.030664672708129,41.48185568265164,-142385.71428571432,-3309.7165548207495,-0.11718593765848573,-87.59957991438927
2020-05-20,646.2029320169931,648.8430003893719,639.845126435643,648.1211547851562,590200,0.0,0,2810098.9755183007,11.649867842860688,-64.0,-8.551840479340058,0.15544588612385035,-136.1096140755382,-0.01510978302374777,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,11.542208862304733,0.17498612894668822,-187.9585677768208,-880727.3726997278,-14.161479157223766,644.9384700739571,-23.422539759030748,0.07196271715989505,-4.9723698411893045,35.84863491507585,22.283504339459054,0.9740743800142163,0.0,1.8692894797431574,-2.6402201199620787,47.710472548413215,,21.45035567834451,0.17841297576961465,0.12268654314008251,-20.74545086155412,4.051745150774435,43.11524229137576,-122295.2380952381,-1766.0226153380363,-0.14218217308427494,-77.87729971876517
2020-05-21,642.7026951510014,646.4303900948573,632.2513533124765,637.1655883789062,512300,0.0,0,2652909.5042758468,11.020343295215563,-72.0,-12.611759707508782,0.010442825373050022,-160.21289490825254,-0.012153391258289412,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.270922851562545,0.0676694380208594,-520.3814881111258,-1556700.1294457489,-14.210702080927035,644.3656616650204,-27.137449420533464,-0.1620020801338985,-5.251871461643872,35.2888665570749,22.338256730270118,0.7730649741831621,0.0,1.4300086246391797,-5.738982210958321,43.96059974834086,,14.320194754011373,0.0,0.09601834173572847,-21.40765921574002,4.166867547330482,43.98740457004846,-158890.47619047615,-3802.89321314477,-0.16333552412526908,-91.56253610481151
2020-05-22,635.8900593253543,663.8723350269828,634.7134165421616,662.4979858398438,503000,0.0,0,3108493.6413390376,10.879923860569155,-72.0,-12.786649539255222,0.5115921282110538,-55.58677513209911,0.007339036994181284,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,3.164981079101608,0.4164987220762673,4488.017523647253,485999.3065967241,-14.486439738317927,644.5313628390804,-27.881103859545654,0.5100601528706934,-3.5811274075009347,40.625475026480906,22.500147741249332,0.6359835757399175,2.0,0.7150815206976207,-1.6762037101620466,53.13323168434915,,27.49730764146777,0.6883600740560827,0.07658528515509298,-19.532879858823396,4.082150618913563,48.48941289997795,-142219.0476190477,11338.545796131366,-0.058504691678539555,-48.068241252020094
2020-05-26,673.4535470302005,677.3097874784479,649.2187613867824,650.622802734375,573200,0.0,0,2592592.829899392,11.318185656727703,-72.0,-12.951400093520078,0.28778842740178473,-12.200736103993048,-0.04847582214202913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7.977514648437477,0.25297643299584655,3495.539733324966,-555837.0166391919,-13.781377552918912,644.6749637207286,-33.567491917199234,0.25485516169989575,-3.1419290654559333,42.12075092996558,22.74479025123054,0.5157289848667916,0.0,0.03437664597713752,-2.17326186405027,49.077824238268306,,30.637321030300996,0.4063415197949817,0.05912518557094225,-18.765354507457456,4.1419029164801575,43.348421759094485,-165857.14285714284,9723.719452747655,-0.05292504643560991,-68.45725955226551
