Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,7.110000133514404,9.529999732971191,6.889999866485596,9.529999732971191,21564100,0,0,21564100.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6666666666666667,,,,,0.0,,,,,,,,,,,,-7200535.85787018,,
2020-03-16,8.470000267028809,10.3100004196167,7.880000114440918,8.6899995803833,18020200,0,0,15557357.23709204,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.47731749042712607,,,,,0.0,,,,,,,,,,,,-8800765.278292324,,
2020-03-17,8.789999961853027,9.579999923706055,8.510000228881836,9.40999984741211,14730900,0,0,25607407.072382636,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6183496002890432,,,,,1.0,,,,,,,,,,,,-367837.1817491809,,
2020-03-18,9.050000190734863,9.640000343322754,8.210000038146973,8.6899995803833,12140900,0,0,21617031.825761177,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.44297656571136096,,,,,2.0,,,,,,,,,,,,291558.97601458256,,
2020-03-19,8.930000305175781,9.119999885559082,7.03000020980835,8.079999923706055,11988100,0,0,21674389.742548287,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3291925340133972,,,,,1.0,,,,,,,,,,,,-1770465.1532198167,,
2020-03-20,8.069999694824219,8.229999542236328,7.239999771118164,7.449999809265137,9512000,0,0,16197785.347938957,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.18826286858916666,,,,,0.0,,,,,,,,,,,,-1583165.3720120587,,
2020-03-23,7.449999809265137,7.519999980926514,6.010000228881836,6.059999942779541,8974700,0,0,7817433.038009911,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.13527963683933786,,,,,0.0,,,,,,,,,,,,-2416127.7172911265,,
2020-03-24,6.449999809265137,7.300000190734863,5.630000114440918,7.25,11355700,0,0,18493148.439221248,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.2615087997146284,,,,,0.0,,,,,,,,,,,,555440.7045297294,,
2020-03-25,7.25,8.109999656677246,6.849999904632568,7.730000019073486,11077500,0,0,22888986.829804696,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4141815939246116,,,,,0.0,,,,,,,,,,,,2963321.740443065,,
2020-03-26,7.739999771118164,8.260000228881836,6.679999828338623,6.960000038146973,6892400,0,0,18439463.99036689,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,6.960000038146973,,0.20425916566424523,,,,,0.0,,,,,,,,,,,,46841.87324415066,,
