Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,4.46999979019165,4.46999979019165,3.309999942779541,3.5299999713897705,114900,0,0,-71317.22997859165,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.39655174067509186,,,,,0.0,,,,,,,,,,,,-45217.766706026574,,
2020-03-16,3.380000114440918,3.380000114440918,3.009999990463257,3.2100000381469727,35300,0,0,-68455.07150503709,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3202614761019133,,,,,0.0,,,,,,,,,,,,-57852.169582537404,,
2020-03-17,3.2799999713897705,3.628000020980835,3.187000036239624,3.549999952316284,74200,0,0,-20502.714567002142,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5570776026485145,,,,,1.0,,,,,,,,,,,,4659.188595393009,,
2020-03-18,3.5,3.7060000896453857,3.255000114440918,3.4700000286102295,50700,0,0,-22863.485087256886,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.49545831625421466,,,,,0.0,,,,,,,,,,,,6716.653816748926,,
2020-03-19,3.4200000762939453,4.550000190734863,3.4100000858306885,4.550000190734863,64000,0,0,41136.514912743114,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,1.156653666540139,,,,,2.0,,,,,,,,,,,,18776.777046300827,,
2020-03-20,4.650000095367432,4.75,3.4100000858306885,3.4200000762939453,80500,0,0,-38161.99361881719,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.35597717296909764,,,,,0.0,,,,,,,,,,,,-72.99769565052702,,
2020-03-23,3.5899999141693115,4.099999904632568,3.424999952316284,3.559999942779541,37700,0,0,-60781.99361881719,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.43661461486392705,,,,,0.0,,,,,,,,,,,,-18449.035531367055,,
2020-03-24,3.7899999618530273,4.349999904632568,3.7100000381469727,4.010000228881836,50800,0,0,-63956.95340430003,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6954052081198944,,,,,0.0,,,,,,,,,,,,7964.625847993466,,
2020-03-25,3.9700000286102295,4.170000076293945,3.755000114440918,3.9000000953674316,51100,0,0,-79348.52108415958,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6136912389880442,,,,,0.0,,,,,,,,,,,,5019.6052431068365,,
2020-03-26,3.940000057220459,4.590000152587891,3.9149999618530273,4.590000152587891,35200,0,0,-44148.52108415958,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,4.590000152587891,,1.0435199942764743,,,,,0.0,,,,,,,,,,,,4825.945414562036,,
