Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,3.309999942779541,3.4140000343322754,3.009999990463257,3.059999942779541,30600,0,0,-23025.75062009479,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.374587414923231,,,,,0.0,,,,,,,,,,,,10607572.701355668,,
2020-03-16,3.0,3.059999942779541,2.75,2.75,26100,0,0,-49125.75062009479,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.13958918318705946,,,,,0.0,,,,,,,,,,,,26467.731564291083,,
2020-03-17,2.6700000762939453,3.0199999809265137,2.549999952316284,3.0,38700,0,0,-13719.364299841844,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.5543356069014657,,,,,1.0,,,,,,,,,,,,874.064609736191,,
2020-03-18,3.0,3.0,2.549999952316284,2.618000030517578,29800,0,0,-34513.13267462733,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.15667081491632545,,,,,0.0,,,,,,,,,,,,-276.35121201023867,,
2020-03-19,2.4800000190734863,2.9800000190734863,2.3399999141693115,2.880000114440918,27300,0,0,-15744.37314021404,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,0.5159778530055552,,,,,0.0,,,,,,,,,,,,-1062.446625405763,,
2020-03-20,3.069999933242798,3.069999933242798,2.4100000858306885,2.5399999618530273,55300,0,0,-49259.54039449835,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.19995452657253876,,,,,0.0,,,,,,,,,,,,-3796.388487917071,,
2020-03-23,2.799999952316284,2.799999952316284,1.809999942779541,2.180000066757202,86600,0,0,-71128.20619691774,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.01019360937351983,,,,,0.0,,,,,,,,,,,,-18802.487248417885,,
2020-03-24,2.1500000953674316,2.5,2.0,2.4200000762939453,54600,0,0,-34000.18953432009,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2501507675948267,,,,,0.0,,,,,,,,,,,,-6263.003126619097,,
2020-03-25,2.799999952316284,2.799999952316284,2.390000104904175,2.7899999618530273,59600,0,0,22692.495083140064,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,,,,,,,,0.5909529419220906,,,,,0.0,,,,,,,,,,,,15123.402817566839,,
2020-03-26,3.0999999046325684,3.0999999046325684,2.430000066757202,2.7300000190734863,62200,0,0,16193.992245424513,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,2.7300000190734863,,0.5287064171334255,,,,,2.0,,,,,,,,,,,,7774.7604372477235,,
2020-03-27,2.5199999809265137,2.549999952316284,2.049999952316284,2.3389999866485596,38600,0,0,22215.597546327834,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,2.712601996916749,,0.2028647359684861,,,,,0.0,,,,,,,,,,,,-6866.058479485902,,
2020-03-30,2.259999990463257,2.5309998989105225,1.0,1.1399999856948853,1131100,0,0,-902020.9220155985,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,2.5555054385319576,,-0.6396151928152484,,,,,1.0,,,,,,,,,,,,-585344.1195651479,,
2020-03-31,0.8199999928474426,1.0099999904632568,0.8199999928474426,0.9950000047683716,771900,0,0,-251999.75468057545,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,2.322331101395656,,-0.7207551750189086,,,,,0.0,,-67.48365936685062,,,,,,,,,,-677995.9457120221,,
2020-04-01,0.9480000138282776,0.9900000095367432,0.8799999952316284,0.9599999785423279,148400,0,0,-184545.28232791543,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,-159641.59276156223,,2.1477483645346798,,-0.7315890949263875,,20.24304892066843,,,0.0,,-65.09090987118807,22.35566538053,,,,,,33.65053083214627,,500885.7142857143,-103400.35586413502,,-94.60293047587047
2020-04-02,0.9319999814033508,1.0199999809265137,0.8700000047683716,0.949999988079071,126500,0,0,-176111.95569679432,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-108.55271503329723,-137016.36505185365,,1.9227137635982592,0.0,-0.7170111271638498,,22.644419587762997,,,0.0,,-68.33333373069763,22.273720472255903,,,,,,38.286942620115354,,159169.0476190476,-6537.811495120269,-0.5742148255826922,-94.29824560256912
2020-04-03,0.8399999737739563,0.8600000143051147,0.8199999928474426,0.8399999737739563,219600,0,0,-176112.2829261186,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-82.64389877682451,-120893.4562075036,,1.7361685635022002,-55.035169857622265,-0.8137487823568936,,22.03505353501619,,,0.0,,-67.91443987844842,21.346794847218234,,3.9920053671331117,,,,42.764995988164934,,-38752.38095238095,-26745.079152986094,-0.5326594264220681,-99.12280782016107
2020-04-06,0.75,0.8500000238418579,0.7099999785423279,0.8050000071525574,242800,0,0,-89398.00459550793,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-72.48126949451874,-104836.9613058139,,1.5991661299774713,-97.71622457084842,-0.8244948340680234,,18.955342325275538,,,0.0,,-72.0486119734468,21.046674677468147,,3.5179477649207036,,,,46.89729368182696,,-21864.28571428571,-35544.029381382825,-0.5402112270558422,-96.0251032825077
2020-04-07,0.8450000286102295,0.8899999856948853,0.800000011920929,0.8159999847412109,98500,0,0,-152875.83166119026,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-70.97843073124305,-89705.46714891444,,1.4241442569423333,-152.27058715138534,-0.7998991166372243,,20.923585019754654,,,0.0,,-67.87401586628735,21.42059588002779,,3.095745245789484,,,,50.51057570567309,,-36104.76190476192,-8770.697355816257,-0.5465414445345113,-95.56485315996278
2020-04-08,0.8539999723434448,1.0,0.8149999976158142,0.9290000200271606,368400,0,0,-67247.64014663624,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-51.49730870343941,-70943.36998487754,,1.2483443067218565,-207.63555597163526,-0.6500592606023257,,25.604655111567098,,,0.0,,-57.38532148721131,25.33271001600569,,5.857741830994059,,,,53.54109112726852,,-10869.047619047633,52362.15333383609,-0.5303607089054608,-90.83681806454734
