Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,9.350041098038151,9.540275731887853,8.788848247848815,9.483205795288086,686300,0.0,0,582052.8216085712,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6413504350887779,,,,,0.0,,,,,,,,,,,,16786.549084391507,,
2020-03-16,8.322772969125557,8.750801111829961,8.237167159162622,8.332284927368164,540600,0.0,0,241675.82176222018,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.08646627506241095,,,,,0.0,,,,,,,,,,,,-51008.10013602701,,
2020-03-17,8.48447281312792,9.159806441990467,7.970838849423329,9.074200630187988,695800,0.0,0,837280.4518891743,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6582687591783493,,,,,1.0,,,,,,,,,,,,-3654.6519790557504,,
2020-03-18,8.579590617837061,8.979082896002707,8.046932735099055,8.227655410766602,669400,0.0,0,427443.2651907957,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.211610309703768,,,,,0.0,,,,,,,,,,,,-494.50017450797895,,
2020-03-19,8.0469327651263,8.88396606563212,7.809139244770452,8.627148628234863,742400,0.0,0,815067.478388465,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.4811655169737251,,,,,0.0,,,,,,,,,,,,-26402.10947687219,,
2020-03-20,8.570078360413246,8.90298873179053,8.075467421758644,8.360819816589355,1056700,0.0,0,487126.65827229107,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.35011980152853045,,,,,0.0,,,,,,,,,,,,3425.779947092924,,
2020-03-23,8.379844587931416,8.522520346349527,7.47622888113739,7.799627780914307,559700,0.0,0,273422.7219378608,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.09859879265294716,,,,,0.0,,,,,,,,,,,,-70189.38718329504,,
2020-03-24,8.256192585228414,8.484474182128906,8.018399028346124,8.484474182128906,470500,0.0,0,743922.7219378608,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.48997744808385524,,,,,0.0,,,,,,,,,,,,3744.2691040272985,,
2020-03-25,7.923280360327362,8.341797481811467,7.609392972769448,8.065956115722656,675800,0.0,0,910677.2616726144,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2727271402244467,,,,,0.0,,,,,,,,,,,,7976.719824776192,,
2020-03-26,8.113515713438092,8.646173667286513,7.98986295795345,8.570079803466797,529400,0.0,0,1317318.0534704681,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,8.570079803466797,,0.5782043193191992,,,,,0.0,,,,,,,,,,,,-247.94384702597017,,
