Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,25.036196453501546,25.964560859139414,23.268353696155916,25.89542579650879,1222800,0.12,0,1160090.9057246312,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6581194670325802,,,,,0.0,,,,,,,,,,,,-235341.01185918553,,
2020-03-16,22.102961916098742,24.868302442491736,21.65853350053167,23.82142448425293,1087400,0.0,0,1538171.8784841704,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.42809391063429103,,,,,0.0,,,,,,,,,,,,-322888.0115104738,,
2020-03-17,24.285605259209515,26.122581278916165,23.446126869357663,26.033695220947266,1276400,0.0,0,2729792.4299822114,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7568086203917466,,,,,1.0,,,,,,,,,,,,31446.52541759293,,
2020-03-18,24.39424465337675,26.102828895481867,23.258478754286624,23.426374435424805,1477000,0.0,0,1427160.4991235768,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.31403054525189716,,,,,2.0,,,,,,,,,,,,-29386.2407850468,,
2020-03-19,23.209097460762642,26.399113383059735,22.31036234808746,25.76703643798828,1171700,0.0,0,2236596.056898743,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.6950985688544593,,,,,1.0,,,,,,,,,,,,-30852.975837735823,,
2020-03-20,25.89542549672295,26.250969708327318,23.535011585486412,24.117708206176758,1832500,0.0,0,1190405.3511658746,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4256950449050724,,,,,2.0,,,,,,,,,,,,-225.7231561056542,,
2020-03-23,24.19672163917798,24.364617334064658,22.01407948938928,23.228853225708008,878500,0.0,0,1219934.7451817663,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3052627871000033,,,,,1.0,,,,,,,,,,,,-149673.9215160507,,
2020-03-24,24.58189054904309,26.646018964400376,24.05845252962632,26.547256469726562,1101100,0.0,0,2236980.9551620083,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8454814469717356,,,,,2.0,,,,,,,,,,,,124922.7907821966,,
2020-03-25,26.87317223576549,27.416365031828846,25.026321626868796,25.213970184326172,937300,0.0,0,1446860.7030609702,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5913834831668172,,,,,0.0,,,,,,,,,,,,110225.65456175845,,
2020-03-26,25.480626005874193,26.774411123978442,24.789292301560415,26.231218338012695,716700,0.0,0,1771336.051009718,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,26.231218338012695,,0.7564239155928356,,,,,0.0,,,,,,,,,,,,-18159.146559544337,,
