Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-06-19,40.0,47.4900016784668,37.5,39.0,1572500,0,0,-1100277.8571180368,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.38338337497424096,,,,,0.0,,,,,,,,,,,,-73225.49447522257,,
2020-06-22,39.22999954223633,42.900001525878906,38.02000045776367,39.95000076293945,486700,0,0,-1202006.159195092,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,,,,,,,,0.4421654461518939,,,,,0.0,,,,,,,,,,,,-61732.37327550766,,
2020-06-23,40.900001525878906,42.0,39.95000076293945,41.20000076293945,376900,0,0,-1119271.8417935532,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5274822752998156,,,,,1.0,,,,,,,,,,,,23648.388198996618,,
2020-06-24,41.0,44.20399856567383,39.18000030517578,43.720001220703125,354700,0,0,-832913.3695408537,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7242527059595778,,,,,0.0,,,,,,,,,,,,33488.112115075506,,
2020-06-25,43.790000915527344,50.0,41.112998962402344,46.0,452500,0,0,-787749.8810012555,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8123100807267496,,,,,2.0,,,,,,,,,,,,45293.12866449698,,
2020-06-26,45.150001525878906,46.89799880981445,40.880001068115234,45.0,161300,0,0,-728193.7570089685,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.7035107072540778,,,,,0.0,,,,,,,,,,,,20091.360667681714,,
2020-06-29,44.290000915527344,46.97999954223633,43.220001220703125,45.459999084472656,37900,0,0,-720936.3331076475,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.7216051432519477,,,,,0.0,,,,,,,,,,,,-3119.100287985686,,
2020-06-30,45.400001525878906,46.849998474121094,45.400001525878906,46.4900016784668,35700,0,0,-702963.1091818159,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.802571166832177,,,,,0.0,,,,,,,,,,,,1196.288440720874,,
2020-07-01,46.25,46.5,45.11000061035156,46.369998931884766,88100,0,0,-631342.3885055988,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.7861783395741007,,,,,0.0,,,,,,,,,,,,581.45805018747,,
2020-07-02,46.2599983215332,48.4900016784668,45.17499923706055,48.349998474121094,112000,0,0,-528802.6282272123,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,48.349998474121094,,0.9672396136217,,,,,0.0,,,,,,,,,,,,4554.992480465228,,
2020-07-06,48.36000061035156,48.5,43.119998931884766,43.13999938964844,61600,0,0,-589944.6252704681,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,48.113840871608325,,0.40238561979616144,,,,,0.0,,,,,,,,,,,,-1855.3639106929977,,
2020-07-07,42.61000061035156,44.125,42.599998474121094,43.79999923706055,37500,0,0,-568428.2533566176,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,47.93267060734394,,0.47551339684788907,,,,,0.0,,,,,,,,,,,,-6064.051964109214,,
2020-07-08,44.209999084472656,45.18000030517578,43.31999969482422,44.650001525878906,155400,0,0,-501589.310642687,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,47.809800377272566,,0.5705789074010039,,,,,0.0,,14.487183399689505,,,,,,,,,,3589.4749642279994,,
2020-07-09,43.97999954223633,44.75,43.5,44.34000015258789,230200,0,0,-422400.45444151515,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,141527.12138794042,,47.780829922559,,0.5347986740905203,,59.531011505979976,,,0.0,,10.988734182255442,58.044940264917614,,,,,,4.914910617299662,,-156323.8095238095,1417.5014926875235,,-45.279998779296875
2020-07-10,44.349998474121094,46.7400016784668,43.130001068115234,43.540000915527344,571200,0,0,-863854.2642773036,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,140.01295585632903,56029.0234455226,,47.63759155661141,0.0,0.4322863282498082,,67.006079337432,,,0.0,,5.679611915669637,54.21524573462611,,,,,,5.587980100329867,,93097.61904761902,-11904.068915126325,0.0968273425374826,-53.92319976054654
2020-07-13,43.58000183105469,45.75,38.150001525878906,38.529998779296875,74000,0,0,-930454.316277661,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-1904.00997199758,-4938.002486845573,,46.808932663841425,-4.862325390710993,-0.12957505774777672,,76.19800689661456,,,1.0,,-11.871002507997602,37.519925468626326,,34.66784325000651,,,,7.790392729440766,,95442.85714285713,-18820.74106278882,0.0561004496573243,-96.79327171013705
2020-07-14,38.439998626708984,40.97999954223633,37.0,40.029998779296875,78800,0,0,-889272.4412674773,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-2991.893596957044,12653.140725560937,,46.37955087463649,-8.852555871453859,0.07679678568013014,,70.62998741582234,,,0.0,,-12.978263523267664,43.163315790652725,,24.19707048232823,,,,9.046599538682202,,66269.04761904763,-5447.192731747935,-0.07211759543708152,-76.69231708233173
