Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,7.869999885559082,7.999000072479248,7.0,7.849999904632568,381700,0,0,267839.4195379119,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6169502312190689,,,,,0.0,,,,,,,,,,,,-163668.0594670859,,
2020-03-16,7.5,7.5,6.150000095367432,6.179999828338623,394400,0,0,-109031.84635886876,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.10273868416761238,,,,,0.0,,,,,,,,,,,,-248188.6126495777,,
2020-03-17,6.210000038146973,6.735000133514404,5.190000057220459,5.210000038146973,660700,0,0,-752626.3618985126,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.05315868897131407,,,,,1.0,,,,,,,,,,,,-187606.29268406148,,
2020-03-18,5.019999980926514,5.2220001220703125,3.5,3.549999952316284,740900,0,0,-1450500.8542968095,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.3750593499222167,,,,,0.0,,,,,,,,,,,,-339766.20197283593,,
2020-03-19,3.609999895095825,3.9100000858306885,3.450000047683716,3.759999990463257,1028600,0,0,-1092727.3121226395,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,-0.2352973318152398,,,,,0.0,,,,,,,,,,,,-175217.34552929527,,
2020-03-20,3.9100000858306885,4.860000133514404,3.9100000858306885,4.25,894200,0,0,-1346868.5584594638,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.0320713584360103,,,,,0.0,,,,,,,,,,,,177378.15797593712,,
2020-03-23,4.349999904632568,4.539999961853027,3.809999942779541,3.9200000762939453,653900,0,0,-1803702.570991789,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.06248921222059336,,,,,0.0,,,,,,,,,,,,65757.98551610079,,
2020-03-24,4.5,5.360000133514404,4.329999923706055,5.309999942779541,553900,0,0,-1303579.4642085272,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5748159548966129,,,,,0.0,,,,,,,,,,,,145634.9956527704,,
2020-03-25,5.690000057220459,6.179999828338623,5.070000171661377,5.789999961853027,580500,0,0,-1130998.3696478233,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7659997009809606,,,,,0.0,,,,,,,,,,,,248882.97460078343,,
2020-03-26,5.909999847412109,6.71999979019165,5.800000190734863,6.03000020980835,553200,0,0,-1407598.2262856327,0.0,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,6.03000020980835,,0.836137914893838,,,,,2.0,,,,,,,,,,,,75405.17271172041,,
2020-03-27,5.670000076293945,5.670000076293945,4.889999866485596,5.0,609200,0,0,-1844972.4229222198,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,5.956501691315093,,0.36136022967409825,,,,,0.0,,,,,,,,,,,,-81128.46192862203,,
2020-03-30,5.019999980926514,5.28000020980835,4.75,4.940000057220459,410500,0,0,-1961151.6960787277,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,5.925952192111175,,0.3381439514315579,,,,,0.0,,,,,,,,,,,,-108985.05102073893,,
2020-03-31,4.840000152587891,6.099999904632568,4.840000152587891,5.980000019073486,1079700,0,0,-1087108.6832771613,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,5.926885688541115,,0.8322376604952068,,,,,0.0,,-23.82165488251188,,,,,,,,,,222379.25688529012,,
2020-04-01,5.809999942779541,6.110000133514404,5.260000228881836,5.71999979019165,486300,0,0,-1047060.8908932053,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-9854.699153253274,,5.9081661451611485,,0.694506770106881,,51.29375269203768,,,0.0,,-7.44336651981162,45.86991992163889,,,,,,36.03308961796198,,13997.619047619053,206161.7553811432,,-50.098928772594014
2020-04-02,5.710000038146973,5.951000213623047,5.005000114440918,5.130000114440918,513100,0,0,-1424563.6535240961,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-36.54447892328329,-51693.86122103149,,5.875749928512253,0.0,0.4027137788398029,,48.2316130054342,,,0.0,,-1.5355071616181417,41.46744843360559,,,,,,36.31807845739147,,38811.90476190485,-74068.12001119493,-0.2446484835457492,-58.51851638179963
2020-04-03,5.170000076293945,5.420000076293945,4.860000133514404,5.389999866485596,504500,0,0,-974117.6085055547,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,-22.733217762060804,-25570.470345664155,,5.85905851730097,7.442504725397157,0.535340617261799,,48.20213097391817,,,0.0,,51.83098419392256,44.0173749947716,,50.14628812573934,,,,35.982247467418816,,-160785.71428571432,-27355.447380212197,-0.21713325524319027,-40.94369046838835
2020-04-06,5.53000020980835,5.760000228881836,5.045000076293945,5.579999923706055,806300,0,0,-573787.4409256729,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,-6.664137034339354,-32.25370530412329,,5.84231569646188,22.436599981774634,0.6297623526802104,,56.97338220093996,,,0.0,,48.404253666462424,45.87308030390327,,55.22513638884184,,,,34.89861463371301,,-64519.04761904769,53991.6340679868,-0.06373672567524913,-34.86238398328649
2020-04-07,5.789999961853027,6.199999809265137,5.590000152587891,5.659999847412109,863800,0,0,-1239339.0133166295,0.0,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,22.407301755771737,9844.344552209328,,5.839932188594237,33.67270107387526,0.6603776332253647,,64.9519505223282,,,0.0,,33.17646699793199,46.674593089042204,,63.926007534987896,,,,31.721904599789003,,43602.38095238095,40806.67599283715,0.2685820401868936,-32.41590294336144
2020-04-08,5.809999942779541,6.369999885559082,5.699999809265137,6.119999885559082,394800,0,0,-1139165.8454386543,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,26.279718536243728,34382.01176766868,,5.843427536430183,57.44715762836006,0.8893273270902172,,71.95842524462384,,,0.0,,56.12244302160997,51.15360896501712,,70.7010528561347,,,,28.502255770601362,,52307.14285714284,44470.44035662254,0.393165080092026,-20.618554504947966
2020-04-09,6.360000133514404,7.239999771118164,6.326000213623047,6.880000114440918,597600,0,0,-1012322.7359997781,0.0,,,0.8622128051001798,125.25707183269776,-0.07966152567712571,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3774999856948851,0.754011881306018,29.101400836457678,94352.60105511389,,5.87435256092032,83.51139128700936,1.2590925300140867,,72.07175503839777,,,0.0,,29.566858541990005,57.50446494445446,,78.82330840455606,,,,25.732375828025088,,3926.1904761905316,106298.01105038024,0.399336551943408,-10.495617338022372
2020-04-13,7.03000020980835,7.03000020980835,6.159999847412109,6.559999942779541,379600,0,0,-1042865.3269125811,0.0,,,0.8407903503459995,116.08242137014983,-0.10315879852747138,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6820002317428591,0.7679012177067182,27.698293674104324,63520.5058811464,,5.935317018916709,113.59908114351276,1.1194975046220892,,72.33884099878476,,,0.0,,13.29879077719516,54.303027661622664,,81.83937841208098,,,,22.0153069033925,,-137880.95238095237,56555.96531212288,0.39840640062150856,-23.36769292078669
2020-04-14,7.489999771118164,7.489999771118164,6.775000095367432,6.829999923706055,668200,0,0,-1608265.6011440894,0.0,,,0.8897035278725505,154.0958768827822,-0.1155078203925591,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.38049998283386266,0.8366336899520784,22.90723935582574,80219.57464885354,,6.03486272271418,153.24927796634933,1.2806507252377435,,73.42197214537474,,,0.0,,13.266993135363942,56.503403718626274,,80.68303401903172,,,,20.246702109067527,,-54911.90476190485,9846.309312291098,0.3933772745638934,-24.087587684095705
2020-04-15,6.46999979019165,6.553999900817871,5.900000095367432,6.110000133514404,614300,0,0,-1828060.8249696223,0.0,,,0.681617322355477,68.32650988128543,-0.08315364940123482,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.4854999303817751,0.6584159079024374,5.3680164612560946,5574.510968341492,,6.035399686168841,168.92151142902333,0.8839335622381869,,66.05323246668902,,,0.0,,22.200002670288086,49.63923592011845,,67.39325497014876,,,,19.227247091729232,,-51759.52380952379,-37255.68249880787,0.15737764053841075,-50.36495448467125
2020-04-16,6.150000095367432,6.28000020980835,5.699999809265137,5.710000038146973,411400,0,0,-2225274.3031736575,0.0,,,0.5525781308912598,35.40568519989622,-0.061472392719290385,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4465000271797184,0.5594059765286336,-4.5617314555929855,-18730.4247748732,,6.033982121435532,172.88909124078873,0.6023296070666461,,60.38715545545816,,,0.0,,15.587043967763877,46.27582550597128,,53.52798616684845,,,,18.760302692068773,,-31030.95238095231,-91690.71766533433,0.013774393963560616,-64.96349933068764
2020-04-17,6.050000190734863,6.949999809265137,5.949999809265137,6.829999923706055,924100,0,0,-1522958.091663953,0.0,-12.0,,0.8666110691669826,99.38821172101717,-0.03442094067103341,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.03299980163574201,0.8206522070110873,7.956426487326801,131801.33508512977,,6.100017002137898,190.68571620536704,1.1946036927462769,,68.7357551666467,,,0.0,,14.214045182633017,55.39021307934595,,53.52798616684845,,,,16.05728007006302,,31776.19047619053,154326.62220344317,0.2345502108198334,-24.087587684095705
2020-04-20,6.800000190734863,7.050000190734863,6.099999904632568,6.900000095367432,580000,0,0,-1126116.0476895415,0.0,88.0,,0.860878012134264,101.36717634268811,0.018116891461556674,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.6894998788833622,0.8396739936759469,11.86275164237431,118772.58715348248,0.8154999017715454,6.159043771210484,200.20555108076155,1.1658330984390104,,73.63094180964114,,,0.0,,20.629376721292587,55.89385589524431,,62.89492369089995,,,,12.636449246708795,,8235.714285714319,187203.90267430583,0.29004154668406945,-22.26414191251674
2020-04-21,6.599999904632568,6.691999912261963,6.034999847412109,6.159999847412109,567600,0,0,-1477734.333848419,0.0,88.0,,0.5935177971003369,48.775108372730635,0.026942641061227724,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5415001153945926,0.5791139278708315,6.321371493843141,41801.626025922,1.1199997663497925,6.159061250971809,194.0674052730934,0.6478360296014758,,65.3238946297111,,,0.0,,20.077967056408998,49.52794900718519,,67.6926413769075,0.5026184619892833,,,11.285466570060885,,96880.95238095231,-54928.68528618438,0.18753154743398148,-50.57034627266495
2020-04-22,6.380000114440918,6.625,6.050000190734863,6.210000038146973,383700,0,0,-1647897.0753561535,7.403331990866668,88.0,,0.5978817416874724,42.55049115728026,-0.028865364269107907,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.39650006294250506,0.5328467737612849,3.3588039712436837,38570.689905785584,1.1249998807907104,6.159948362157358,171.18036026194312,0.6427791354851129,,60.31200184106933,,,0.0,,15.21336163215967,49.94279536714065,,59.498771246935156,0.5284865129247435,,,9.050744545323065,,-75923.80952380953,-57758.603024160286,0.15046078171639443,-48.669198074012755
2020-04-23,6.269999980926514,6.690000057220459,6.21999979019165,6.510000228881836,398700,0,0,-1554583.844654351,7.51581627847151,84.0,,0.7053420637239337,60.82304880299987,-0.03606026211895598,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.3525001525878908,0.6423359036134514,7.0742148118892,50147.74506867193,1.1249998807907104,6.164494116477098,139.62641463670226,0.8197602080504067,,65.62842986437727,,,0.0,,16.666672363645933,52.46722932603834,,54.499370169945614,0.6265142712617138,,,7.973621093669772,48.45726089897637,-128185.71428571432,22375.341702404217,0.21498428084659238,-37.2623451434854
