Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-06-17,12.829279728478923,13.622362831256298,12.596020097052033,13.342451095581055,4293600,0.0,0,1951635.6868273297,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5757575494855647,,,,,0.0,,,,,,,,,,,,-537158.7753594965,,
2020-06-18,12.717314761739658,13.034547991614584,11.765615072114876,12.260126113891602,4870200,0.0,0,877330.0775419085,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.27777785185102494,,,,,0.0,,,,,,,,,,,,-929947.6296209383,,
2020-06-19,12.129500342174174,13.062538830033725,11.989544924921177,12.78262710571289,2010200,0.0,0,1838729.0628320975,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.5290856515971317,,,,,1.0,,,,,,,,,,,,-309394.7467680675,,
2020-06-22,12.288117003834065,12.568028729237783,11.989544971304683,12.129500389099121,2077300,0.0,0,766571.8534374917,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.26398729816261757,,,,,0.0,,,,,,,,,,,,-20468.851665391718,,
2020-06-23,11.896241673043953,12.502716382802582,11.812268060040315,12.19481372833252,2049100,0.0,0,988096.0350171379,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.32998006248349604,,,,,0.0,,,,,,,,,,,,-95105.65667042471,,
2020-06-24,12.036196184026267,12.32543850790024,12.036196184026267,12.129500389099121,1685500,0.0,0,390018.06609457254,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.3033458331053588,,,,,0.0,,,,,,,,,,,,2006.4742332130954,,
2020-06-25,12.01753626168436,12.222804985528134,11.998875064146347,12.157491683959961,1377100,0.0,0,963804.7166812662,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.33121976866179087,,,,,0.0,,,,,,,,,,,,-5849.311101187748,,
2020-06-26,12.12949997699919,12.25079508354696,11.970883367653245,12.166821479797363,1147000,0.0,0,1422603.9874387647,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.34936956928752677,,,,,0.0,,,,,,,,,,,,4058.1596835990294,,
2020-06-29,12.026866912841797,12.157491736917388,11.896241198951328,12.026866912841797,1085400,0.0,0,1422607.6842926578,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2579239866214012,,,,,0.0,,,,,,,,,,,,-11605.101554511459,,
2020-06-30,11.942893303184702,12.166822335727039,11.858919693527605,12.026866912841797,1178700,0.0,0,1529764.707094145,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.026866912841797,,0.27112541202644286,,,,,0.0,,,,,,,,,,,,-12485.32225329419,,
