Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-08-26,9.930000305175781,9.949999809265137,9.899999618530273,9.930000305175781,18682500,0,0,3736927.6068587997,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5333371480160412,,,,,0.0,,,,,,,,,,,,-1929733.0280494215,,
2020-08-27,9.90999984741211,9.9399995803833,9.90999984741211,9.9399995803833,1625500,0,0,5362427.606858799,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6458308498040918,,,,,0.0,,,,,,,,,,,,-1922360.977394702,,
2020-08-28,9.9399995803833,9.949999809265137,9.920000076293945,9.949999809265137,1102100,0,0,6464527.606858799,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.7424247678662711,,,,,1.0,,,,,,,,,,,,2745.617954364542,,
2020-08-31,9.9399995803833,10.0,9.920000076293945,9.960000038146973,1314900,0,0,6464527.606858799,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7193004030537723,,,,,2.0,,,,,,,,,,,,2430.3157491572683,,
2020-09-01,9.960000038146973,9.970000267028809,9.9399995803833,9.960000038146973,243300,0,0,6545627.606858799,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6969710762490587,,,,,0.0,,,,,,,,,,,,1321.5378099285838,,
2020-09-02,9.960000038146973,9.970000267028809,9.930000305175781,9.958000183105469,387300,0,0,6700545.760066724,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6576948000342481,,,,,0.0,,,,,,,,,,,,-77.76544724979382,,
2020-09-03,9.949999809265137,10.010000228881836,9.949999809265137,10.0,471000,0,0,7014543.2646363815,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,1.0427076348428337,,,,,0.0,,,,,,,,,,,,1908.7693382070083,,
2020-09-04,9.970000267028809,10.043000221252441,9.970000267028809,10.010000228881836,646100,0,0,7076497.827905527,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.0339285902062205,,,,,0.0,,,,,,,,,,,,2632.649573512222,,
2020-09-08,10.0,10.029999732971191,9.989999771118164,10.0,2013500,0,0,6069771.830718869,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.8845262689578413,,,,,0.0,,,,,,,,,,,,-1365.4197167570626,,
2020-09-09,10.0,10.020000457763672,9.970000267028809,10.0,1296100,0,0,6328972.053877808,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.0,,0.8481705475029861,,,,,0.0,,,,,,,,,,,,-2011.5345048124825,,
2020-09-10,10.024999618530273,10.024999618530273,9.979999542236328,9.979999542236328,1256200,0,0,5072772.053877808,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.997840227461216,,0.6148943945833336,,,,,0.0,,,,,,,,,,,,-2512.457504272461,,
2020-09-11,10.0,10.0,9.979999542236328,10.0,169000,0,0,5241772.053877808,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,9.998113760509636,,0.8175179814173286,,,,,0.0,,,,,,,,,,,,-2173.7723823187243,,
2020-09-14,10.029999732971191,10.029999732971191,10.0,10.020000457763672,106200,0,0,5277176.555260648,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,10.00125876939379,,1.0115386688402301,,,,,0.0,,0.906345919657023,,,,,,,,,,551.0899834039319,,
2020-09-15,10.050000190734863,10.050000190734863,10.020000457763672,10.039999961853027,39000,0,0,5290175.72873555,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,1676.7343589299248,,10.007427690484118,,1.2028497781821186,,49.61977555702817,,,0.0,,1.0060400974973724,80.71270001810822,,,,,,0.09264717910763959,,-1991888.0952380954,290.2472390800806,,-6.666793822757126
2020-09-16,10.050000190734863,10.050000190734863,10.036999702453613,10.039999961853027,37700,0,0,5269876.579674518,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.22238788425235947,1437.2008790827929,,10.012614308630138,0.0,1.1862571352664093,,49.7983306310973,,,0.0,,0.904524163951091,80.71270001810822,,,,,,0.09264717910763959,,-703883.3333333334,77.84237762988529,0.4150613456971163,-7.143003113057813
2020-09-17,10.039999961853027,10.039999961853027,10.0,10.020000457763672,1083900,0,0,5269902.421888951,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.2161933372444882,-1864.8938868508048,,10.013256952699942,1.8209966230417507,0.9178062164255119,,36.4919520967471,,,0.0,,0.6024138492660298,68.04162284530916,,87.70450190293165,,,,0.1068540190504169,,-339297.619047619,-2159.1098172127386,0.32702257297808357,-23.07669735539009
2020-09-18,10.039999961853027,10.050000190734863,10.029999732971191,10.050000190734863,847500,0,0,6117402.421888951,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.2176203039780709,2033.6300531399836,,10.015841785519141,3.595084532941371,1.2628493646388101,,34.92625048969997,,,0.0,,0.9036159863773943,74.50678134756173,,89.92676651051737,,,,0.1068540190504169,,-51611.90476190485,378.2926310461494,0.3614450514096622,-0.0
