Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,5.416281180895637,5.861862199999866,5.38162505253301,5.644022464752197,455000,0.0,0,42216.10745645275,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5154637756250746,,,,,0.0,,,,,,,,,,,,-86528.79803315301,,
2020-03-16,5.198442468927224,5.198442468927224,4.535022116395619,4.594432830810547,468300,0.0,0,-342209.355217877,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.03174575846353866,,,,,0.0,,,,,,,,,,,,-176456.68587875811,,
2020-03-17,4.574628810835902,5.030111382181919,4.480561973606641,4.792468547821045,393400,0.0,0,-289046.97381504695,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.26510725549299285,,,,,1.0,,,,,,,,,,,,-70130.4451542088,,
2020-03-18,4.455807664834457,4.752861698018502,4.228066365301188,4.465709686279297,382300,0.0,0,-325112.79090218595,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.09598248285614572,,,,,0.0,,,,,,,,,,,,-9108.999497850346,,
2020-03-19,4.505316745696029,5.6143176309843446,4.475611154056895,5.317263603210449,301000,0.0,0,-181156.35598526977,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7674531972366467,,,,,0.0,,,,,,,,,,,,31330.982870754124,,
2020-03-20,5.337067448011353,5.465790898142486,4.7231562626766355,4.802370548248291,459100,0.0,0,-542315.1160560707,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3812400440974854,,,,,0.0,,,,,,,,,,,,12940.274636341426,,
2020-03-23,4.772665196579232,4.970700900937556,4.624138182233308,4.901388168334961,177500,0.0,0,-435815.3095157704,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4651075024504605,,,,,0.0,,,,,,,,,,,,-40796.807156067654,,
2020-03-24,5.1687369345908225,5.257853243306759,4.6340400266039925,4.772665500640869,194500,0.0,0,-543870.6687860128,0.0,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3691409831708139,,,,,0.0,,,,,,,,,,,,-1448.2730584073256,,
2020-03-25,4.67364695260077,5.0598172909705585,4.6142362402718105,4.663745403289795,200700,0.0,0,-699970.5270065214,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.29024545282891345,,,,,0.0,,,,,,,,,,,,-9688.359674699066,,
2020-03-26,4.703352496225867,5.7232375610501345,4.703352496225867,5.703433990478516,255200,0.0,0,-454681.1951478338,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,5.703433990478516,,1.063888970679985,,,,,2.0,,,,,,,,,,,,52311.42141762754,,
2020-03-27,5.475692158292196,5.6935314133145924,5.099423882008282,5.525200843811035,177800,0.0,0,-377634.5897123662,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,5.702280945061004,,0.897916174187472,,,,,0.0,,,,,,,,,,,,51335.4503792164,,
2020-03-30,5.317263879757904,6.069800537441724,5.317263879757904,5.802452087402344,246000,0.0,0,-306423.9984093709,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,5.709047035859193,,1.0579985438040564,,,,,0.0,,,,,,,,,,,,6787.855512199686,,
2020-03-31,5.842058891571275,6.792631208200367,5.842058891571275,6.35695219039917,463000,0.0,0,-267840.70340513426,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,5.765598520883576,,1.376120959229588,,,,,0.0,,12.63158908560925,,,,,,,,,,56589.83038231792,,
2020-04-01,5.901469413068648,6.188621408658033,5.515299569371603,5.8222551345825195,256300,0.0,0,-290455.3934293482,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-45156.368223492245,,5.769283623185062,,0.9473956847831654,,44.52296916036405,,,0.0,,26.72413220491812,55.289074964815526,,,,,,12.126931519579884,,5330.952380952425,22687.749181525996,,-37.83784513402518
2020-04-02,5.574710939167724,6.040095116526327,5.574710939167724,5.733139514923096,160000,0.0,0,-341519.2784770468,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,22.833022000598476,-40742.38692663733,,5.768619455308993,0.0,0.8614699560754276,,42.61016784869405,,,0.0,,19.62810934940279,53.93315987991475,,,,,,12.407287756259876,,-2264.2857142857392,-24006.914691960257,0.07201549418736286,-41.31272781855426
2020-04-03,5.525201623848434,5.614317931379663,5.158835316237985,5.198442459106445,210800,0.0,0,-515658.44691457576,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,23.978009149514147,-51024.0658465677,,5.758715446229432,4.36663210483573,0.4550492214479903,,44.935224075042875,,,0.0,,16.407980462286627,46.55573199634468,,52.89575765620427,,,,12.367777362179677,,-67938.09523809524,-22109.072550335542,0.1070882373629033,-62.16215407880775
