Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-06-15,16.149999618530273,17.709999084472656,15.609999656677246,16.0,12288000,0,0,-7723880.452804688,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.3952381666014989,,,,,0.0,,,,,,,,,,,,519604.1708193113,,
2020-06-16,16.0,16.0,16.0,16.0,0,0,0,-7723880.452804688,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3952381666014989,,,,,0.0,,,,,,,,,,,,513640.27923160966,,
2020-06-17,16.0,16.0,16.0,16.0,0,0,0,-7723880.452804688,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3952381666014989,,,,,1.0,,,,,,,,,,,,0.0,,
2020-06-18,16.0,16.0,16.0,16.0,0,0,0,-7723880.452804688,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3952381666014989,,,,,0.0,,,,,,,,,,,,0.0,,
2020-06-19,16.149999618530273,17.709999084472656,15.609999656677246,16.0,12288000,0,0,-15447760.905609377,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.39523816660149885,,,,,2.0,,,,,,,,,,,,0.0,,
2020-06-22,16.5,16.549999237060547,15.149999618530273,15.640000343322754,2119000,0,0,-16083458.307391113,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.24821449980449686,,,,,1.0,,,,,,,,,,,,-47677.45453119278,,
2020-06-23,15.640000343322754,15.850000381469727,14.210000038146973,14.359999656677246,1494900,0,0,-17304901.743002117,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.2559854818429288,,,,,0.0,,,,,,,,,,,,-170022.27450962045,,
2020-06-24,14.380000114440918,14.649999618530273,11.699999809265137,12.479999542236328,1925700,0,0,-18212265.75459621,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.705593991620143,,,,,0.0,,,,,,,,,,,,-374455.9834139691,,
2020-06-25,12.479999542236328,13.708999633789062,12.479999542236328,13.4399995803833,484700,0,0,-17939745.27643993,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,-0.22947151565443547,,,,,0.0,,,,,,,,,,,,-214826.54520177687,,
2020-06-26,13.600000381469727,13.961999893188477,12.529999732971191,12.8100004196167,1265100,0,0,-18710112.274983447,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.8100004196167,,-0.3800999645102409,,,,,0.0,,,,,,,,,,,,-22016.867121125433,,
2020-06-29,12.84000015258789,13.039999961853027,11.09000015258789,11.289999961853027,804000,0,0,-19349189.339211706,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.441631807779832,,-0.7950814816762125,,,,,0.0,,,,,,,,,,,,-154701.97934476912,,
2020-06-30,11.300000190734863,12.199999809265137,11.270000457763672,12.069999694824219,680000,0,0,-18859297.166012023,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,12.386867993251675,,-0.4387093064402519,,,,,0.0,,,,,,,,,,,,-48420.88192499517,,
2020-07-01,11.75,12.039999961853027,11.520000457763672,11.84000015258789,239900,0,0,-18803935.627550483,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.302667363286883,,-0.49235948368835764,,,,,0.0,,-25.999999046325684,,,,,,,,,,42408.20431197776,,
2020-07-02,11.90999984741211,13.376999855041504,11.90999984741211,13.010000228881836,574500,0,0,-18516881.141023163,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-325478.3877211695,,12.353804346963312,,0.025924742968194203,,67.16870725773435,,,0.0,,-18.687498569488525,38.130388681700374,,,,,,16.35047950201915,,-1942138.0952380954,52199.287784961256,,-70.99697301994419
2020-07-06,13.359999656677246,14.020000457763672,13.274999618530273,13.8100004196167,653300,0,0,-18231884.148742154,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-204318.60024570444,,12.413069381842599,0.0,0.3512973864769079,,68.02763003589303,,,0.0,,-13.68749737739563,45.30260331479469,,,,,,16.75470531714149,,-1119988.0952380954,96942.87965872858,-0.36017452561566243,-58.9123760439278
2020-07-07,13.5,13.869999885559082,13.199999809265137,13.8100004196167,260500,0,0,-18018040.44455766,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-175130.22878203238,,12.460181192919668,-5.91780636902925,0.36129569490421176,,67.32910770341832,,,0.0,,-13.68749737739563,45.30260331479469,,37.05942496406674,,,,17.14940583759537,,-1131728.5714285714,40172.1841208611,-0.28336595658539376,-58.9123760439278
2020-07-08,13.59000015258789,14.010000228881836,13.270000457763672,13.899999618530273,319000,0,0,-17793878.837951016,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-146010.23260553775,,12.474259247620434,-7.638975662021437,0.40705130558407854,,67.73775436970945,,,0.0,,-13.125002384185791,46.117572084504495,,41.54079220095968,,,,17.504479785269226,,-1239680.9523809524,2078.9097451907987,-0.26022714361044685,-57.55287130926539
2020-07-09,13.75,13.989999771118164,12.8100004196167,13.039999961853027,846300,0,0,-18310265.753936302,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-31.749554471855298,-229125.58643988284,,12.481408526317212,-6.985527449886149,0.059342258635163556,,65.63077096929777,,,0.0,,-16.624042994856804,39.98655389129321,,37.66364929058337,,,,18.189371670138414,,-1235797.619047619,-50282.07798287287,-0.26917903626253603,-70.54380477505671
2020-07-10,12.729999542236328,13.859999656677246,12.670000076293945,13.779999732971191,481700,0,0,-17893332.101562735,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,-34.93740882916332,-145470.8041273825,,12.49301395729345,-7.1611421119470435,0.39005520318522063,,25.090741907370088,,,0.0,,-4.03899677975522,46.56886709289956,,40.39024125296601,,,,18.46498424517795,,-318757.14285714284,-25025.25990671437,-0.3688613682265178,-50.732600156779895
2020-07-13,14.0,14.279999732971191,13.850000381469727,14.050000190734863,884000,0,0,-17955006.064218566,0.0,,,0.5139779860544983,1.0818448503199405,-0.4774175604574104,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5265004158020012,0.4471299872708948,-28.335282491940337,-90592.06001445843,,12.543515929342309,-3.847543191098339,0.5050501745017182,,37.317320246513766,,,2.0,,12.580133862867129,48.77645110502798,,46.96948894300892,,,,18.464206309702444,,-42209.52380952379,44656.51223994396,-0.2039067425350245,-37.81512823913663
2020-07-14,13.5,15.0,13.244000434875488,14.800000190734863,330800,0,0,-17699559.086188383,0.0,,,0.6558336342024431,23.073807566436123,-0.3888941201409551,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.096499586105347,0.5604230569098757,-19.748370875689,-42207.48001239295,,12.97239741116849,9.142673488708624,0.887858998205463,,46.137418143828334,,,0.0,,10.119052476285688,54.41106025003038,,68.7790622561767,,,,18.259858904699254,,-130892.85714285716,34979.14716819854,-0.10304132553395273,-5.11508483555337
2020-07-15,14.800000190734863,15.84000015258789,14.04800033569336,15.6899995803833,511800,0,0,-17273440.225360986,0.0,,,0.8184706405178159,75.4491460517029,-0.3649996855337381,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.601000022888183,0.6948640740166636,21.10747606818338,28893.829649673222,,13.499341529607378,25.272744887512616,1.2447521019703,,60.36917979823898,,,0.0,,22.482428309340968,60.02985291517578,,84.63729338068515,,,,17.287307761948043,,-19866.666666666628,48435.50340850906,0.2148671055793434,-3.157906783254523
2020-07-16,14.649999618530273,15.645000457763672,14.35099983215332,15.390000343322754,404100,0,0,-17028606.8349841,0.0,,,0.778624980816319,77.80612070211971,-0.3502322924113257,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.7905003070831302,0.6495469614087415,23.8005661503079,7447.6123145531965,,13.84677952274233,45.24168474654212,1.1059350294616543,,54.70428001342835,,,0.0,,36.31532679648294,57.45911630726179,,94.08444272871219,,,,16.75787651129124,,-174076.19047619047,23050.582664108508,0.22966951863830753,-9.47368019505551
2020-07-17,15.020000457763672,16.0,15.020000457763672,15.8100004196167,520400,0,0,-16709994.238692144,0.0,,,0.8606128402848819,110.64513599950145,-0.3317414836212545,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-2.0109998703002923,0.7129910919313377,29.462666105020013,37607.67337009833,,14.151259594999516,57.48632358088955,1.2499465865235693,,67.2629682347667,,,0.0,,30.98592228130912,60.03922558934687,,94.49958922659243,,,,15.888149561126086,,-57683.333333333314,6475.393585938613,0.2808237420252335,-3.8696453419126473
2020-07-20,15.65999984741211,15.65999984741211,14.5600004196167,14.84000015258789,253900,0,0,-16834636.112905905,0.0,-40.0,,0.7032136708023021,85.14018289496977,-0.09212913902963596,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.7829998016357429,0.6868133019773549,37.54409148423843,-2948.1467968606376,,14.174013073946325,59.84148274666527,0.9254710026388681,,71.24974360492065,,,0.0,,25.33783751129669,52.169565388475036,,87.37745413971744,,,,13.900519926443398,,-104357.14285714284,-1375.724653417874,0.39483932463220717,-24.524312043879508
