Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,27.1200008392334,28.170000076293945,23.459999084472656,24.040000915527344,1491400,0,0,-1124090.2128738312,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3743808711195486,,,,,0.0,,,,,,,,,,,,-1029237.3543661686,,
2020-03-16,22.010000228881836,24.530000686645508,21.3700008392334,23.579999923706055,1286700,0,0,-611039.6057212735,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.42227866174746853,,,,,0.0,,,,,,,,,,,,-1057465.2196378026,,
2020-03-17,23.950000762939453,26.440000534057617,22.799999237060547,25.31999969482422,1425500,0,0,-62770.71970155754,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.6183028489033269,,,,,1.0,,,,,,,,,,,,80568.78631149161,,
2020-03-18,23.530000686645508,24.639999389648438,16.360000610351562,16.579999923706055,1230400,0,0,-1227787.3392527131,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.15967658924829878,,,,,0.0,,,,,,,,,,,,-319521.972448528,,
2020-03-19,16.459999084472656,19.309999465942383,15.75,16.469999313354492,1309700,0,0,-2007721.4728689343,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,-0.08365459427999673,,,,,0.0,,,,,,,,,,,,-433400.7784955397,,
2020-03-20,16.989999771118164,19.850000381469727,16.479999542236328,16.639999389648438,1333400,0,0,-3214507.975296134,0.0,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,,,,,,,,-0.013161216541927824,,,,,0.0,,,,,,,,,,,,5073.839032957378,,
2020-03-23,16.540000915527344,17.34000015258789,15.0,17.1299991607666,912100,0,0,-2466118.9942277907,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,,,,,,,,0.0897567528955354,,,,,0.0,,,,,,,,,,,,40621.79352798814,,
2020-03-24,18.440000534057617,24.299999237060547,18.139999389648438,23.1200008392334,1575000,0,0,-1494527.2807908289,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7747492917934985,,,,,0.0,,,,,,,,,,,,577603.1919197604,,
2020-03-25,23.90999984741211,25.700000762939453,21.43000030517578,25.010000228881836,977300,0,0,-833076.2033399754,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9486790013369637,,,,,2.0,,,,,,,,,,,,630636.1995924512,,
2020-03-26,25.610000610351562,30.68000030517578,25.610000610351562,29.469999313354492,1110100,0,0,-252846.88652445783,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,29.469999313354492,,1.3579442437838032,,,,,0.0,,,,,,,,,,,,277854.32254383527,,
