Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,137.03558007298037,137.0551481874231,128.5252712743423,136.79103088378906,1905000,0.0,0,1787027.9662766864,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,,,,,,,,0.6563454038737261,,,,,0.0,,,,,,,,,,,,-49818.22653936334,,
2020-03-16,125.65917040208157,133.60212382545694,112.69805503923118,123.184326171875,1974600,0.0,0,1793495.9765544117,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3145565289057892,,,,,0.0,,,,,,,,,,,,-246112.71398651676,,
2020-03-17,125.6395886128354,141.43745960851493,125.02331990529821,136.06716918945312,2678800,0.0,0,2719425.069556647,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6825616714372493,,,,,2.0,,,,,,,,,,,,83738.90464102346,,
2020-03-18,129.32741319298637,133.97384826953984,109.14720723151903,113.57843780517578,3028600,0.0,0,771956.0123067428,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.10348356430979466,,,,,1.0,,,,,,,,,,,,-220403.16157662,,
2020-03-19,113.53931048381888,124.96465023213618,112.50242418905108,119.13459777832031,1806400,0.0,0,888223.4924562408,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2981922199675209,,,,,0.0,,,,,,,,,,,,-412189.44226900564,,
2020-03-20,117.52057472785005,123.53648714311778,114.03819615917055,115.16312408447266,1763100,0.0,0,-457251.8151749626,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.19866284654392571,,,,,0.0,,,,,,,,,,,,29592.79983746433,,
2020-03-23,115.18267668710233,119.78998285902048,107.48426495133872,109.00047302246094,1917300,0.0,0,-1902084.340043269,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.04309600914510739,,,,,0.0,,,,,,,,,,,,-161373.9984575227,,
2020-03-24,112.1502619821201,120.52362400554671,111.7296370694639,119.26174926757812,1522800,0.0,0,-816306.3335816194,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4033855663096318,,,,,0.0,,,,,,,,,,,,40756.740565604705,,
2020-03-25,120.78774793091767,127.93835691165579,118.72375202122761,123.3897476196289,2003600,0.0,0,-790782.1568807727,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5450845084536317,,,,,0.0,,,,,,,,,,,,212706.459573032,,
2020-03-26,123.37019871001219,130.17844840374417,123.37019871001219,129.5621795654297,1440400,0.0,0,388853.71881708317,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,129.5621795654297,,0.7639405762022979,,,,,0.0,,,,,,,,,,,,141404.83634480296,,
