Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,13.979999542236328,13.979999542236328,13.100000381469727,13.670000076293945,37800,0,0,11168.202300524737,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5492425145525779,,,,,0.0,,,,,,,,,,,,-21740.534219089917,,
2020-03-16,12.569999694824219,12.75,11.5,11.5,42000,0,0,-30831.79769947526,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.08685469131833662,,,,,0.0,,,,,,,,,,,,-29580.29561968962,,
2020-03-17,12.470000267028809,12.470000267028809,11.5,11.5,31200,0,0,-62031.79769947526,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.04462355750323927,,,,,1.0,,,,,,,,,,,,-6667.154549793868,,
2020-03-18,11.260000228881836,12.09000015258789,11.1899995803833,11.199999809265137,13900,0,0,-75622.90193707141,0.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,-0.002083420753479004,,,,,0.0,,,,,,,,,,,,-362.6089261925739,,
2020-03-19,11.0600004196167,11.800000190734863,11.050000190734863,11.380000114440918,21400,0,0,-78190.90629091255,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.1498246109276484,,,,,0.0,,,,,,,,,,,,-18.679765803198904,,
2020-03-20,11.529999732971191,11.989999771118164,11.102999687194824,11.25,18000,0,0,-90224.71603129168,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1297380528340408,,,,,0.0,,,,,,,,,,,,138.30507986171992,,
2020-03-23,11.15999984741211,11.34000015258789,11.100000381469727,11.25,3700,0,0,-89299.72338253821,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1465600191438042,,,,,0.0,,,,,,,,,,,,-205.62408052765508,,
2020-03-24,11.489999771118164,11.720000267028809,11.276000022888184,11.460000038146973,4900,0,0,-90138.4640176334,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.28566156244972396,,,,,0.0,,,,,,,,,,,,91.46668328179254,,
2020-03-25,12.100000381469727,13.0,11.649999618530273,13.0,31300,0,0,-58838.46401763341,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.155738014704063,,,,,0.0,,,,,,,,,,,,4297.574767535673,,
2020-03-26,13.0,13.149999618530273,12.010000228881836,12.010000228881836,4600,0,0,-63438.46401763341,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.010000228881836,,0.543714420989653,,,,,2.0,,,,,,,,,,,,3855.8004729351455,,
2020-03-27,11.279999732971191,13.0,11.279999732971191,13.0,8900,0,0,-54538.46401763341,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,12.025839601567366,,1.0338366015688039,,,,,0.0,,,,,,,,,,,,383.3308395584628,,
2020-03-30,13.399999618530273,13.489999771118164,12.5,12.5,27400,0,0,-81938.4640176334,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,12.042764074154588,,0.7349477809295599,,,,,0.0,,,,,,,,,,,,-320.207702968956,,
2020-03-31,12.880000114440918,13.390000343322754,12.149999618530273,13.0,30800,0,0,-70512.66329699445,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,12.095026071170063,,0.9532168128366852,,,,,0.0,,-4.901244129879976,,,,,,,,,,178.1538461538462,,
2020-04-01,13.0,13.5,12.680000305175781,13.5,11100,0,0,-59412.66329699445,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-9494.463552497305,,12.23399809107594,,1.1752202658046111,,54.7485631670083,,,0.0,,17.391304347826086,57.267255697974505,,,,,,12.799486570163783,,2600.0,1658.923076923077,,-16.382240562283897
2020-04-02,13.5,14.5,12.593000411987305,14.5,59600,0,0,187.3367030055524,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,54.08211100699176,376.17409785945165,,12.527526322868685,0.0,1.5645661160523374,,64.44070225338787,,,0.0,,26.08695652173913,64.46037544713265,,,,,,12.799486570163783,,11776.190476190477,4841.737891737892,0.04528717171788754,-0.0
2020-04-03,14.949999809265137,15.800000190734863,14.100000381469727,14.5,316600,0,0,-167424.5533731145,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,408.7196766920576,322.43494102238714,,12.810315863890109,13.913247634525078,1.4505468979395344,,89.16636946160361,,,0.0,,29.464287919049397,64.46037544713265,,85.41644478987125,,,,12.075910137694203,,87428.57142857142,4414.814814814815,0.3699096837839777,-27.368425068102386
2020-04-06,14.949999809265137,14.956000328063965,13.779999732971191,13.789999961853027,33700,0,0,-200551.4112935541,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,294.7410128170796,-3141.770234202665,,12.889834741487,29.589945521460322,1.0698830670533837,,87.97608569117108,,,0.0,,21.177502839862747,56.61338112955485,,76.77192687988283,,,,11.381605426642672,,94783.33333333334,-1650.1380196933087,0.3078811137806735,-42.31579429224918
2020-04-07,13.960000038146973,13.960000038146973,13.0,13.0,36300,0,0,-236851.4112935541,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,286.5543144724527,-6789.66000292584,,12.8937213373373,42.090748641396544,0.6857965782056916,,84.61554355876098,,,0.0,,15.555555555555555,49.406491030514225,,57.122802734375,,,,10.670748928864528,,85416.66666666667,-3729.688323869773,0.23680825702762542,-58.94737243652344
2020-04-08,12.949999809265137,13.899999618530273,12.949999809265137,13.100000381469727,36000,0,0,-261482.9445913505,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,330.00887671787547,-5305.4208978064125,,12.89486377880716,52.69662309917891,0.7161390662922947,,82.33062856690567,,,0.0,,16.444447835286457,50.269491390637334,,47.09667549582597,,,,10.023902781827955,,-9159.52380952381,-1802.6261708756829,0.2541295492052936,-57.44680678374947
2020-04-09,13.239999771118164,13.850000381469727,13.010000228881836,13.600000381469727,79200,0,0,-229425.7931706031,0.0,,,0.7218472515776827,62.167362777132524,-0.2704217269809089,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3644999504089359,0.5368421454178659,287.6217964526722,1109.6392304516457,,12.934067114678,67.18471390538156,0.935193237611786,,83.92181882476709,,,1.0,,18.67365040313544,54.45289692263192,,45.59910410001341,,,,8.991385204329974,,1635.7142857142826,3299.8248086332164,0.24004340728335416,-46.808508479686836
2020-04-13,13.300000190734863,13.699999809265137,13.300000190734863,13.300000190734863,5300,0,0,-234725.7931706031,0.0,,,0.6592549307660556,59.14363551635669,-0.3013776142555802,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,-0.6069998264312737,0.47368421052631576,476.6311828073421,723.9763388307285,,12.937828325909155,88.7884476907758,0.8035605303391561,,83.66273299088448,,,0.0,,2.307693774883564,51.645672017546424,,46.82795188797235,,,,7.959378037202421,,-8811.904761904763,2905.9888395753433,0.28764268945426763,-55.26082907264662
