Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,9.699999809265137,9.699999809265137,9.675000190734863,9.699999809265137,11500,0,0,11500.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6666666666666666,,,,,0.0,,,,,,,,,,,,10428.979675149825,,
2020-03-16,9.600000381469727,9.739999771118164,9.600000381469727,9.739999771118164,1800,0,0,13300.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7878794008962737,,,,,0.0,,,,,,,,,,,,-1753.6419279868082,,
2020-03-17,9.609999656677246,9.729999542236328,9.609999656677246,9.729999542236328,600,0,0,13900.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7017536521406476,,,,,1.0,,,,,,,,,,,,6.80664293842837,,
2020-03-18,9.649999618530273,9.649999618530273,9.279999732971191,9.279999732971191,16500,0,0,-2600.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.5368978008666077,,,,,0.0,,,,,,,,,,,,-763.7195456691173,,
2020-03-19,9.600000381469727,9.600000381469727,9.479999542236328,9.479999542236328,500,0,0,-3100.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.11397746784372366,,,,,0.0,,,,,,,,,,,,-752.3276630256653,,
2020-03-20,9.399999618530273,9.420000076293945,9.300000190734863,9.420000076293945,1100,0,0,-2000.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.020484651517973552,,,,,0.0,,,,,,,,,,,,3.8138884184547432,,
2020-03-23,9.3100004196167,9.3100004196167,9.149999618530273,9.199999809265137,13500,0,0,-7062.510058233446,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.5418640304886457,,,,,0.0,,,,,,,,,,,,-322.2489680187841,,
2020-03-24,9.229999542236328,9.449999809265137,9.229999542236328,9.449999809265137,51000,0,0,43937.48994176655,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.35294111780552967,,,,,0.0,,,,,,,,,,,,1070.5825896144447,,
2020-03-25,9.449999809265137,9.449999809265137,9.449999809265137,9.449999809265137,0,0,0,43937.48994176655,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3529411178055296,,,,,0.0,,,,,,,,,,,,1385.8695939493095,,
2020-03-26,9.449999809265137,9.449999809265137,9.449999809265137,9.449999809265137,0,0,0,43937.48994176655,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.449999809265137,,0.35294111780552967,,,,,0.0,,,,,,,,,,,,0.0,,
2020-03-27,9.369999885559082,9.369999885559082,9.369999885559082,9.369999885559082,8600,0,0,43937.48994176655,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.446260316191106,,0.03921606759740772,,,,,0.0,,,,,,,,,,,,-72.80416484215479,,
2020-03-30,9.369999885559082,9.369999885559082,9.369999885559082,9.369999885559082,0,0,0,43937.48994176655,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.441869698148853,,0.03921606759740159,,,,,0.0,,,,,,,,,,,,-72.80416484215479,,
2020-03-31,9.369999885559082,9.369999885559082,9.369999885559082,9.369999885559082,0,0,0,43937.48994176655,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,9.437847849363369,,0.039216067597405715,,,,,0.0,,-3.4020611360306328,,,,,,,,,,0.0,,
2020-04-01,9.479999542236328,9.5649995803833,9.420000076293945,9.420000076293945,712400,0,0,-668462.5100582334,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,5389.729588977929,,9.437376319249216,,0.29812316456881643,,95.06246244349998,,,2.0,,-3.285417888541515,42.41927354425462,,,,,,3.291259060631025,,179073.80952380953,3801.5086781819364,,-54.2372223838619
2020-04-02,9.489999771118164,9.520000457763672,9.489999771118164,9.520000457763672,57500,0,0,-610962.5100582334,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,5441.199924053836,,9.438141102117257,0.0,0.7885085813104566,,95.39298364259012,,,0.0,,-2.158264073508789,49.433099176160816,,,,,,3.346162220232044,,194954.76190476192,4411.914398769943,-0.08747110794872981,-37.288009569068635
2020-04-03,9.510000228881836,9.550000190734863,9.510000228881836,9.550000190734863,425700,0,0,-185262.5100582334,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,6488.297981451315,,9.441440668491266,2.5737225148908465,0.9362429559878513,,96.91806671703523,,,0.0,,2.909487775138388,51.347714317162534,,59.14679767207982,,,,3.382491769486543,,306576.1904761905,1951.885312158968,-0.04962844570990976,-31.03437503082999
2020-04-06,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,0,0,0,-185262.5100582334,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,5561.398269815413,,9.466219565284975,5.961361371943951,0.9362429559878493,,96.96423360411143,,,0.0,,0.7384035008299382,51.347714317162534,,70.55924328033977,,,,3.3823804645689246,,69152.38095238095,1341.479591570962,-0.0318304574701781,-19.99988555908203
2020-04-07,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,0,0,0,-185262.5100582334,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,4766.912802698926,,9.473565702620727,8.091689449223566,0.9362429559878523,,98.21272153495826,,,0.0,,1.3800436665395777,51.347714317162534,,79.28486825050094,,,,3.13804069598681,,51164.28571428571,0.0,0.24390196895475325,-11.111134658585174
2020-04-08,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,0,0,0,-185262.5100582334,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,4085.925259456222,,9.480267708530317,11.935039696662301,0.9362429559878542,,98.21201525355424,,,0.0,,3.804352051369046,51.347714317162534,,88.42488956381474,,,,3.0558662365184937,,-90700.0,0.0,0.17937120775392967,-3.614311090888618
2020-04-09,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,0,0,0,-185262.5100582334,0.0,,,0.6196832623288655,43.697594376137204,-0.14243292846792757,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.03500013351440501,0.6779668961950021,,3502.2216509624764,,9.486382062395386,14.88525315528608,0.9362429559878516,,98.29621502810483,,,0.0,,1.0582051162761126,51.347714317162534,,93.88674771987921,,,,2.9269985562318084,,-90621.42857142857,0.0,0.47058757531218787,-3.614311090888618
2020-04-13,9.550000190734863,9.550000190734863,9.550000190734863,9.550000190734863,0,0,0,-185262.5100582334,0.0,,,0.6420590019859006,52.187128006307866,-0.15262372793843731,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.027500152587890625,0.6779668961950021,,3001.9042722535514,,9.51465678610182,21.111135479578678,0.9920375306906091,,99.32344393973723,,,0.0,,1.0582051162761126,51.347714317162534,,96.09798286075748,,,,2.524238431929482,,-89657.14285714286,0.0,1.0526313525110318,-4.477429235950386
2020-04-14,9.706000328063965,9.706000328063965,9.706000328063965,9.706000328063965,600,0,0,-185262.5100582334,0.0,,,0.9631329812529982,163.54487743452643,-0.15416343948620606,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.10580010414123464,0.958622039087498,,2586.432245131253,,9.599698360307219,28.98023827725102,2.2166041081117402,,99.29550291534139,,,0.0,,2.709000253606731,62.77947931302683,,97.30275322438702,,,,2.395530519858711,,-85857.14285714286,9.801055552676225,0.8406311953328423,-0.0
2020-04-15,9.75,9.75,9.550000190734863,9.600000381469727,2400,0,0,-186462.50433618203,0.0,,,0.7872503495441884,116.90455728107564,-0.15534385512186544,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.09930014610290527,0.7500007947280918,,2180.5990855659065,,9.599741480691423,34.63013512084167,1.384580427910789,,99.09520260061176,,,0.0,,2.4546477985033723,53.56887881166536,,85.34966627605557,,,,2.2782769882439546,,-85228.57142857143,-16.409521742545905,0.19195821149554948,-39.47357193588299
2020-04-16,9.600000381469727,9.600000381469727,9.600000381469727,9.600000381469727,0,0,0,-186462.50433618203,0.0,,,0.7645844595806016,83.39263567833412,-0.1443984169765036,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.11530017852783203,0.7500007947280918,,1869.0849304850628,,9.599771588432008,37.31167489654173,1.6057983914413296,,99.09520260061176,,,0.0,,2.4546477985033723,53.56887881166536,,73.68428537607802,,,,2.1546520829937585,,-85228.57142857143,-26.21057729522213,0.062257252131233565,-39.47357193588299
2020-04-17,9.59000015258789,9.59000015258789,9.59000015258789,9.59000015258789,12000,0,0,-186462.50433618203,0.0,-20.000000000000004,,0.7239586332553773,71.10775681848753,-0.14271676863027866,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.07080001831054616,0.7333337571883156,,1584.9295480469066,,9.59936459417069,38.339550268842146,1.6032784823495712,,98.79782684482223,,,0.0,,2.3479217685783547,52.72254774023752,,59.64921526848855,,,,1.9271200812339726,,-81671.42857142857,-12.5002856055782,0.06847406714082815,-42.105210322768464
2020-04-20,9.739999771118164,9.739999771118164,9.739999771118164,9.739999771118164,500,0,0,-186462.50433618203,0.0,-20.0,,0.9782444954066818,158.24288093616752,-0.14364001272090174,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.013200378417968395,0.9833329624602238,,1369.225299649511,0.20000028610229492,9.615206417790487,37.76630876003385,3.4301813338388243,,98.79833590721056,,,0.0,,3.39702433367829,62.33493656335182,,71.92985978482106,,,,1.6379965001988128,,-82340.47619047618,-4.679659112168,0.056404635911504464,-2.6316383868854762
