Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,127.93000030517578,134.1300048828125,121.18000030517578,134.1300048828125,884400,0,0,884400.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6666666666666665,,,,,0.0,,,,,,,,,,,,110191.85130596328,,
2020-03-16,119.0,119.3499984741211,107.37000274658203,112.47000122070312,1083900,0,0,723353.1414902926,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.14025936268696684,,,,,0.0,,,,,,,,,,,,-66358.1430991454,,
2020-03-17,115.66000366210938,117.08000183105469,104.58999633789062,105.5999984741211,858200,0,0,3949.5309374213684,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.030108647155508778,,,,,1.0,,,,,,,,,,,,-227455.16445397984,,
2020-03-18,99.56999969482422,101.9800033569336,86.18000030517578,92.69999694824219,832900,0,0,-141544.87980785445,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.20261809181161963,,,,,0.0,,,,,,,,,,,,-154167.73308353315,,
2020-03-19,91.80000305175781,103.04000091552734,90.16000366210938,99.80000305175781,1104100,0,0,407076.4859962205,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.16525476712073706,,,,,0.0,,,,,,,,,,,,-17181.951424195562,,
2020-03-20,100.2699966430664,102.4000015258789,88.8499984741211,89.45999908447266,759900,0,0,-284404.42036438454,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.12814395993723776,,,,,0.0,,,,,,,,,,,,5833.218854456383,,
2020-03-23,89.1500015258789,89.37999725341797,78.29000091552734,81.4800033569336,664400,0,0,-566579.2946753998,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.32385555865903104,,,,,0.0,,,,,,,,,,,,-137996.84662021705,,
2020-03-24,85.73999786376953,88.16000366210938,83.5999984741211,87.23999786376953,943300,0,0,-3911.0851216017036,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,-0.06813576926343844,,,,,0.0,,,,,,,,,,,,7418.184063333902,,
2020-03-25,86.81999969482422,100.69000244140625,85.08000183105469,91.20999908447266,1049500,0,0,-229140.5065290661,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.14997141470945158,,,,,0.0,,,,,,,,,,,,114443.12391193071,,
2020-03-26,93.3499984741211,102.68000030517578,91.68000030517578,102.16999816894531,678600,0,0,386534.5026262073,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,102.16999816894531,,0.5997592734642557,,,,,0.0,,,,,,,,,,,,129301.34889074002,,
2020-03-27,97.81999969482422,102.41999816894531,96.0199966430664,99.7300033569336,466400,0,0,460867.852251473,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,101.95805677074009,,0.5010262806085993,,,,,0.0,,,,,,,,,,,,70403.67358547743,,
2020-03-30,99.38999938964844,107.80000305175781,96.61000061035156,107.44000244140625,799100,0,0,1208551.1543127047,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,102.01775297379254,,0.8174313433869237,,,,,0.0,,,,,,,,,,,,50638.96755700788,,
2020-03-31,106.80000305175781,108.16000366210938,99.70999908447266,100.9800033569336,829500,0,0,628392.6864568162,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,102.00710297360327,,0.5306636214411315,,,,,0.0,,-24.714829135242034,,,,,,,,,,11902.407790826197,,
2020-04-01,95.83000183105469,95.95999908447266,90.91000366210938,94.36000061035156,607000,0,0,850759.0412496666,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,-4009363.622536225,,101.9594599566612,,0.25042485251583974,,46.17072032135769,,,0.0,,-16.102072031468893,36.5783857311846,,,,,,27.163175917600572,,-80600.0,-89668.43142582252,,-71.22134929603675
2020-04-02,93.7699966430664,97.51000213623047,89.4800033569336,92.12000274658203,464400,0,0,691717.9211821707,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-3661.2478975303698,-3585205.249021703,,101.77683636680202,0.0,0.1626509655512864,,44.33821748212399,,,0.0,,-12.765147653711892,35.32523668149091,,,,,,27.59026250168921,,-162166.66666666663,-50817.76138684556,-0.29821442307203727,-66.31757756118009
2020-04-03,91.36000061035156,91.83999633789062,83.25,86.44999694824219,564700,0,0,547748.7819629805,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-3179.1844889922477,-3530440.53835039,,101.63903531326993,-5.656894189443278,-0.07312438215266938,,47.5401134787235,,,0.0,,-6.74217929423407,32.308003359812716,,27.83247066443843,,,,27.74632035647157,,-213347.61904761905,-45781.727087749794,-0.24897629527609288,-78.96366114946788
