Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,24.37887970802362,24.546398359950334,20.77230344137348,22.664278030395508,3003800,0.0,0,7842.999507478833,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5004351709782873,,,,,0.0,,,,,,,,,,,,-942571.0744236402,,
2020-03-16,19.550404292004984,20.289456867924,15.372293955017097,15.81572437286377,3042200,0.0,0,-2485664.9839509544,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.02891151724606601,,,,,0.0,,,,,,,,,,,,-1868096.9429902702,,
2020-03-17,16.209887379000428,16.367551779421046,13.14528207174735,13.549297332763672,4348800,0.0,0,-5743940.771825813,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.0676867477356897,,,,,1.0,,,,,,,,,,,,-1542465.805521349,,
2020-03-18,12.760974326613049,12.928492986154435,9.8638886340957,10.89856243133545,3966800,0.0,0,-7032193.365774243,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.22807011317376905,,,,,0.0,,,,,,,,,,,,-1399242.5389772342,,
2020-03-19,10.79016680080297,12.583601587738066,9.676660870928234,12.169732093811035,6093700,0.0,0,-2673648.4864544244,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.05179062392353536,,,,,0.0,,,,,,,,,,,,-65302.66993951239,,
2020-03-20,12.741265553007493,13.086156159944053,11.23359775836476,11.923380851745605,4167000,0.0,0,-3737560.186870846,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.05866196042205229,,,,,0.0,,,,,,,,,,,,626395.1921050301,,
2020-03-23,11.883964475347593,12.002212761202564,10.553669614909948,11.184328079223633,4188700,0.0,0,-4278955.491485402,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.017286886354513614,,,,,0.0,,,,,,,,,,,,-343982.60998523544,,
2020-03-24,12.810244330506887,15.549665547284185,12.347104464657463,15.392001152038574,5001700,0.0,0,230269.90125235356,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.6742087497548722,,,,,0.0,,,,,,,,,,,,1622066.9125073303,,
2020-03-25,16.929229775929965,19.68835839144844,16.200031525821622,19.185802459716797,6153400,0.0,0,4610655.049467925,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.2116175082449545,,,,,0.0,,,,,,,,,,,,3398379.543962727,,
2020-03-26,18.91974573889003,20.447120233440277,18.259525395931163,18.801496505737305,4868500,0.0,0,2154472.269136996,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,18.801496505737305,,1.096197941344797,,,,,2.0,,,,,,,,,,,,1419162.6902224983,,
2020-03-27,19.225220900986727,19.806609067672984,17.244559806268644,17.687992095947266,6588300,0.0,0,-2153258.814332244,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,18.760487318220594,,0.8701803977614813,,,,,0.0,,,,,,,,,,,,-487706.77584622626,,
2020-03-30,17.0179178392049,18.1314228980685,16.64346347993544,17.934343338012695,4012800,0.0,0,796554.0518059991,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,18.744314196767405,,0.8990951900893804,,,,,0.0,,,,,,,,,,,,-334298.41938621167,,
2020-03-31,17.983612213690904,18.850766386600494,17.550034187482186,17.83580207824707,3641800,0.0,0,-1245055.6779862023,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,18.692206167686486,,0.8643109907032503,,,,,0.0,,-21.304344862310963,,,,,,,,,,35878.58971192181,,
2020-04-01,16.70258960803829,16.968647117145185,15.766455557508062,16.278865814208984,3959800,0.0,0,-1829283.5934562257,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-2663112.98366379,,18.472497559933867,,0.575170735031763,,50.155786959977156,,,0.0,,2.928360601300447,42.15330577435872,,,,,,33.702526440398074,,-631197.6190476189,-365671.91828639,,-55.599720922074326
2020-04-02,16.446382823149825,17.47120135382035,15.194920088242476,15.98324203491211,4403100,0.0,0,-3182619.563087272,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-64.80057992103839,-2468619.8520864015,,18.32236887268419,0.0,0.5145678076157977,,46.56618854134614,,,0.0,,17.963623074850492,41.25756792757121,,,,,,33.99651078240497,,-601047.6190476189,-425622.0243796203,-0.2949953164374375,-41.445569295449594
2020-04-03,16.081782253245912,16.249300896696713,15.145649265567469,15.89455509185791,3428400,0.0,0,-1958194.9535190137,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,-10.516665025824327,-2159396.204012204,,18.16395272527079,7.353142675203173,0.4991784413351214,,46.48042553063504,,,0.0,,45.84084086317685,40.97625701804096,,53.56190427086538,,,,33.34009589968116,,-699766.6666666665,-98983.500577067,-0.13407046230489716,-42.26899696987995
2020-04-06,17.382514252554753,19.698212468983133,17.205141351282528,18.97886848449707,4567500,0.0,0,-26483.099162006984,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,16.493050401166737,161603.45668659126,,18.28172339008335,31.86586608872136,1.0840675634855876,,53.77362265444916,,,0.0,,55.95140746071845,52.982915205713915,,67.55107423567881,,,,31.561270271206194,,-512821.4285714282,867292.865114747,0.14385265238710898,-13.63221102763401
2020-04-07,20.348579901370194,21.058071554600758,18.840913897270905,19.21536636352539,3614800,0.0,0,-2420286.6846383465,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,41.597916409288686,260644.7533187314,,18.352720323132438,50.09871585317137,1.0945926581821752,,59.19685016752373,,,0.0,,61.157029222229575,53.75964505183128,,75.9694368344656,,,,28.348128269078728,,-750445.2380952383,931360.6259466078,0.4240837953149881,-16.190481499089252
2020-04-08,19.70806762678813,21.994203170774306,19.34346754870912,21.747852325439453,3202500,0.0,0,186953.21049294993,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,46.75739479799255,1382022.1161345963,,18.523983851068515,76.01836750997609,1.5501802319173017,,59.095782276066274,,,0.0,,94.44934171628032,61.15921920731241,,89.34133047421932,,,,25.504252756120778,,-619230.952380952,467117.38778397895,0.48408757093806065,-2.1533160506187605
2020-04-09,23.265373269651683,24.467564658052854,21.590186853470982,22.24055290222168,3577800,0.0,0,-1773485.5618538896,0.0,,,0.8959089512309866,139.99133850012393,-0.020662433117179607,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.4167002677917466,0.8449303184114048,57.044644617671786,1436416.6886312899,,18.809160502553436,98.82746304188498,1.5779714507862483,,60.27695421427797,,,0.0,,44.49422581595933,62.419223499242605,,88.55017836724892,,,,22.136913112412714,,-907045.2380952383,503128.49581716536,0.5463303977435523,-16.00566734854521
2020-04-13,21.678875732421872,21.915372333052797,18.92959922601003,19.70806884765625,3844700,0.0,0,-3613356.6300884783,0.0,,,0.736919541304792,85.43787394067678,-0.04178035692598393,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2.1802047729492173,0.6782146730925454,44.76524608534852,-159734.47325713816,,18.836209236480045,120.75463607371461,1.108044581864446,,58.61785939859527,,,0.0,,2.722150345475632,52.91695587504531,,80.85758006501436,,,,17.777628158572888,,-805840.4761904762,-356732.1927562028,0.4244218310845611,-39.26827640579291
2020-04-14,21.65916594806077,21.65916594806077,20.043104998338848,20.368288040161133,3033100,0.0,0,-5425818.653134839,0.0,,,0.7625857427232762,88.3499278272427,-0.03392620707732791,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8390721797943108,0.7228515121935879,34.18322890724816,149157.71332053302,,18.89215707180595,154.13613011913614,1.256352772452217,,58.26308817973665,,,0.0,,8.333334178721993,54.84680556985584,,66.91714631873748,,,,15.73420079228012,,-721692.8571428573,-336179.0638203531,0.3435071172343226,-43.974617289449384
2020-04-15,19.284345066710372,20.220479088777207,18.870475545729274,19.70806884765625,2389200,0.0,0,-4850318.40879944,0.0,,,0.6923342419651357,57.854298611744504,0.01054999271608732,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7774848461151116,0.6782146730925454,12.733542592842145,-97492.77354420969,,18.912366028001145,175.84185699614218,1.0799765060392403,,51.052970067238256,,,0.0,,11.420610891000067,52.52815255536728,,55.23334921413336,,,,15.49196553658051,,-849021.4285714286,24164.97335469222,0.0780810297733534,-51.05705866235758
2020-04-16,19.629237795066636,20.36829042006236,19.39274118060897,19.92485809326172,1584300,0.0,0,-4706293.910923531,0.0,,,0.6907635124212061,60.77925829495263,0.028253989011938773,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.22762880325317525,0.6928716033738567,9.684477122781121,-34499.63420750201,,18.984977067041548,183.93535910966563,1.0573857059618044,,47.93581883404819,,,0.0,,11.098899567903512,53.22736719483074,,52.07895077055833,,,,15.066387129200223,,-1367902.3809523806,-60016.36596365078,0.01011103293148008,-48.73147173651799
2020-04-17,20.920112406526883,21.422668334252474,20.25989209514319,20.88069725036621,2446900,0.0,0,-4540398.631448542,0.0,-12.0,,0.7494393506455835,82.75931899933681,-0.023727572345659465,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.7648557186126723,0.7422096834448715,15.244825079071278,304549.28975342424,,19.181339027455234,190.19883747521186,1.201835478211073,,57.276807925829296,,,0.0,,17.071815210557652,56.284679558876974,,53.91122517852011,,,,13.972525156421403,,-1267488.0952380951,134810.50065643882,0.13319799046931768,-38.47779406556405
2020-04-20,20.043104489345097,20.880697721103914,19.83616880643633,20.10222816467285,1973300,0.0,0,-5508432.191744072,0.0,64.0,,0.6648725355273574,61.248814297393714,-0.023154525525077276,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-2.469421863555908,0.6862606423403098,16.433686795036397,41591.81310311993,4.542709662222595,19.249995559085573,190.81072636232747,0.9163763483557815,,59.28282580104723,,,0.0,,23.486662978244166,53.232792344374204,,55.32066125977277,,,,13.06615356740372,,-1260442.8571428573,43815.06986119301,0.1809131107087828,-46.828750418599626
2020-04-21,19.146389209283203,20.28945705346358,18.99857906864931,20.062814712524414,2326100,0.0,0,-3999129.3723613303,0.0,64.0,,0.6547969839871609,37.0456878777039,0.003750115509985164,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-3.002033138275145,0.6365855854278,11.527764074661041,22553.035368034165,4.59690733740052,19.265073923938782,176.1040395448567,0.7999255255991466,,52.92689873188696,,,0.0,,25.52406244428581,53.07587777999295,,55.81396695734756,0.5642699097888035,,,12.047952770745392,,-919197.6190476194,-78128.76164849676,0.07451937084767868,-47.25155464379362
2020-04-22,20.693471440468503,21.048217266604755,20.181061220384546,20.2598934173584,2299900,0.0,0,-5880866.642341866,6.3304398620053615,64.0,,0.6625397098346517,61.38715363749256,-0.08497579882688766,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.16111435890197612,0.5486258924763082,18.11644242022484,84082.7893508408,4.59690733740052,19.282908760591855,150.69609656616015,0.7901741280923351,,59.69771123453466,,,0.0,,27.4643631122249,53.8090746089429,,53.59409472841252,0.5984627920839244,,,9.70156645350444,,-849633.3333333335,18031.43971281013,0.23840122252857043,-45.13741075236918
2020-04-23,20.58507689587915,21.067924347393625,19.86573284849073,19.98398208618164,2720200,0.0,0,-8065941.287254328,6.056158601955619,52.0,,0.6160413115431631,48.09070391189473,-0.18510573918669232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.035474538803100586,0.5190277552309116,17.777198356054665,-35148.18099456739,3.3208111749004914,19.31699520697484,110.92829968297843,0.7021019280058783,,60.878588862353254,,,0.0,,5.295961677091547,52.570614577487966,,53.17127004230944,0.5407067893153404,,,9.031676185046669,46.923413563449216,-480459.5238095238,-14453.198743188463,0.2395100276053822,-48.09722447690884
2020-04-24,20.30916573741465,22.03362177758695,20.16135371607925,21.85624885559082,2999300,0.0,0,-5634930.215405557,5.846641838810529,52.0,,0.8458040844583864,87.89070374724656,-0.11693376574437356,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.4152228832244873,0.7198734710071412,22.05065367899764,772085.8050745068,3.3799358971675666,19.338851403348684,86.14087146392447,1.2144558779721075,,67.88377064378699,,,0.0,,13.743596880246598,59.399377566883736,,56.93627647863875,0.6946896903788973,,,7.795154104351897,53.392267219761905,-225409.5238095238,243954.22883170075,0.32341371080405246,-35.95653533480566
2020-04-27,21.97449543496288,23.34420746188942,21.875956596924475,23.117563247680664,2527900,0.0,0,-3887460.7573102564,6.164955640503834,96.0,,0.9484724308026539,139.56353787690878,-0.027723544091576326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.6364449024200454,0.8551798258692137,17.587947195010496,1117284.4974587082,3.5967243673279476,19.83212375829453,80.71472576986697,1.5471908679869881,,66.7795888982628,,,0.0,,6.298143383284784,63.23926932995873,,63.98441876733202,1.0,,,7.789822358033084,55.73023250564042,-3723.8095238092355,426883.5210918037,0.3304623530558004,-23.99298388628935
2020-04-28,24.339465846150286,24.970123449581525,23.905887804037352,24.82231330871582,2714700,0.0,0,-1926842.226180721,7.037792406827668,96.0,,1.0482375009953409,195.63897369512813,-0.04445976557108884,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.24043765068054057,0.9849549056674998,16.144388050326704,1618798.8536349125,4.222454726869682,20.6360054708512,73.79755554652742,1.970954306009318,,66.58996629976755,,,0.0,,11.608346329538598,67.68742435959062,,79.20907461449823,1.0,,,7.789822358033084,60.95850481282208,58735.714285714086,346073.11873466143,0.3166468888683971,-2.4232569354102345
2020-04-29,25.906255469076896,27.29567406878655,25.89640120984752,27.07888412475586,2829700,0.0,0,26044.505120875547,8.558739219456546,68.0,,1.1280808738570838,239.5080363847835,0.021029663934190774,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.042372560501100054,0.9821572426771299,19.513891557116246,2299744.508565425,3.3257373019959218,22.438000462031663,92.29617950471905,2.5169090501896676,,66.93796716850372,,,0.0,,37.399987457300625,72.44110980144372,,90.33688180006037,1.0,,,7.789822358033084,66.15204590183507,28830.952380952425,457434.2337796872,0.36242987240536273,-2.5731137781192985
