Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,12.816757516802571,12.969224377478197,11.882897540777279,12.597586631774902,9039200,0.0,0,2854490.5783619396,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5526316963588584,,,,,0.0,,,,,,,,,,,,-138097.97608771693,,
2020-03-16,11.730430952309762,11.825722288056204,10.072351532050678,10.100939750671387,10840500,0.0,0,-7632506.794887496,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.01901557167525771,,,,,0.0,,,,,,,,,,,,-2311862.684535237,,
2020-03-17,10.339169165186238,10.548810643253061,9.529187835646608,10.348697662353516,10354800,0.0,0,-1342209.627033635,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,0.20905329600111391,,,,,1.0,,,,,,,,,,,,-1894434.831829146,,
2020-03-18,9.672125261190967,9.767417502776503,8.862144842810586,9.300487518310547,7871800,0.0,0,-1590790.6222080595,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.06666671918199288,,,,,0.0,,,,,,,,,,,,-543342.792063191,,
2020-03-19,9.176608348203533,10.386814777377323,8.585798788692223,9.767417907714844,5697100,0.0,0,187670.20043469872,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.24528306236355765,,,,,0.0,,,,,,,,,,,,-511304.89348752436,,
2020-03-20,9.977060227292759,10.787040673137177,9.595892156800504,10.12952709197998,13813700,0.0,0,-1248945.3252305903,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3984439948816267,,,,,0.0,,,,,,,,,,,,798140.2508544292,,
2020-03-23,10.024706114678429,10.129526854499892,8.690619262393623,8.966965675354004,9990700,0.0,0,-7402158.994476177,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.01899814247262088,,,,,0.0,,,,,,,,,,,,-634510.5870967368,,
2020-03-24,9.57683373658183,10.062822523141534,9.290957926324703,9.99611759185791,8134000,0.0,0,-674047.8337844927,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.4282980628704873,,,,,0.0,,,,,,,,,,,,-213077.0780539004,,
2020-03-25,10.177172456300477,11.501728926186432,9.586362945259225,10.66316032409668,6815800,0.0,0,173685.55645300273,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6677355905269573,,,,,0.0,,,,,,,,,,,,1388370.7785916987,,
2020-03-26,10.853744685989605,11.2349118153274,10.100938923966872,10.787039756774902,7089000,0.0,0,1662966.1147133135,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,10.787039756774902,,0.6989992255734461,,,,,0.0,,,,,,,,,,,,537176.1338887193,,
2020-03-27,10.329639372230721,10.367756085794246,9.805533879151653,9.910354614257812,7074700,0.0,0,-2773719.072303795,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.729894610590922,,0.3636254506768051,,,,,0.0,,,,,,,,,,,,-492619.0052405961,,
2020-03-30,9.872237466707558,9.977059105979858,9.109903228949518,9.624479293823242,9413000,0.0,0,-1015245.4607909429,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.716452766235571,,0.2648415295903501,,,,,0.0,,,,,,,,,,,,-846504.1416136937,,
2020-03-31,9.472012134989907,9.634008397925701,8.833557397787493,9.21472454071045,11178700,0.0,0,-1547564.5084099835,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.672708494680169,,0.11552077077315442,,,,,0.0,,-26.853255230107788,,,,,,,,,,-747453.0635922125,,
2020-04-01,8.557231315839564,8.83200452799959,8.09600415066629,8.145071029663086,9015300,0.28,0,-9360819.92299128,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-6638841.174284746,,10.597651438551145,,-0.3084428197345597,,36.797791851861284,,,0.0,,-19.363235196787492,27.6232621770085,,,,,,22.307448846027878,,845550.0,-1522428.6271790457,,-98.99313232907402
2020-04-02,8.145070423134506,8.302083675533844,7.310936349922017,7.605336666107178,8732800,0.0,0,-12905815.82011534,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-2.68827253946365,-6363777.042252787,,10.389104559395795,0.0,-0.4877723890983172,,34.75299484154026,,,0.0,,-26.50923899560941,25.316085729653167,,,,,,23.659342458865712,,640702.3809523806,-1625184.4436859905,-0.4966415243308875,-93.47919657278752
