Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,130.74960036707375,143.48787818354958,125.89644171848187,143.1039581298828,2804300,0.0,0,2681896.464775842,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6593919138927031,,,,,0.0,,,,,,,,,,,,-936888.5027377052,,
2020-03-16,126.68399760796613,138.29020984608027,124.22296731803264,127.48136901855469,2752300,0.0,0,1204629.4333858583,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.30208370817036073,,,,,0.0,,,,,,,,,,,,-1237149.4833502134,,
2020-03-17,129.8144230799982,148.09496358690083,123.68153970161754,147.29759216308594,3213600,0.0,0,4208309.446774213,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8094866682260617,,,,,1.0,,,,,,,,,,,,199067.8260483449,,
2020-03-18,130.1885077582075,140.89891683265265,125.37473291150145,129.96209716796875,2664600,0.0,0,3118477.0300323125,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.3644075385134587,,,,,0.0,,,,,,,,,,,,185937.5483495599,,
2020-03-19,129.82427222847832,133.30908444450964,124.7840795853747,125.37472534179688,1954800,0.0,0,1434549.444472492,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.249047822109176,,,,,0.0,,,,,,,,,,,,-382597.59739606455,,
2020-03-20,127.68810443957224,130.4838312935576,111.31732585352702,112.24266815185547,2632600,0.0,0,-943851.2553784477,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.0622314864845656,,,,,0.0,,,,,,,,,,,,-344745.07590233104,,
2020-03-23,112.53799433854817,118.80870230692688,108.47237494767957,114.54619598388672,2124900,0.0,0,-571488.5679133306,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.05657336638882295,,,,,0.0,,,,,,,,,,,,-232136.2167764462,,
2020-03-24,119.8029372668747,134.42146145951548,118.1294398728628,134.2344207763672,2776100,0.0,0,2140869.355914443,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.682276229541748,,,,,0.0,,,,,,,,,,,,520765.4490170925,,
2020-03-25,133.60439693165583,143.66508870480428,132.29512717806145,135.32711791992188,1703000,0.0,0,1346136.3225604587,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.6925757775071824,,,,,2.0,,,,,,,,,,,,491019.4522341946,,
2020-03-26,138.57569710173217,148.12449157633958,136.89234578234073,147.42555236816406,1870400,0.0,0,2983758.735989253,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,147.42555236816406,,1.0556217947400706,,,,,0.0,,,,,,,,,,,,181079.17490822266,,
