Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,29.9079676194012,30.338860359600915,27.665358870978764,30.074447631835938,16518300,0.0,0,13250937.868631829,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6336995722787439,,,,,0.0,,,,,,,,,,,,-1335220.2506738296,,
2020-03-16,28.723009033273225,32.522710745979865,28.399838531594245,30.456378936767578,24770300,0.0,0,13192110.914301345,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5804516910343007,,,,,0.0,,,,,,,,,,,,-1022223.6696704256,,
2020-03-17,31.151681645204064,34.21690450100296,30.270307798364563,32.317054748535156,25167900,0.0,0,14128891.198841821,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.726374861284292,,,,,1.0,,,,,,,,,,,,1852157.1604150927,,
2020-03-18,32.953607648798794,36.07758858127898,31.837197051150227,33.20822525024414,25779400,0.0,0,5019784.073730407,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.7348586172460184,,,,,2.0,,,,,,,,,,,,2248475.094460079,,
2020-03-19,35.01014136924193,35.74461985950575,32.71856833018879,33.472633361816406,16699300,0.0,0,-3356882.910498417,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7107120804029813,,,,,0.0,,,,,,,,,,,,843851.0147057646,,
2020-03-20,33.54118382589996,33.54118382589996,30.387823566381865,31.11250877380371,21979200,0.0,0,-15233842.88708897,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.38708905408596017,,,,,0.0,,,,,,,,,,,,-1416771.2243195784,,
2020-03-23,31.12230646423928,32.04285347699574,30.133208415999743,30.436792373657227,13199900,0.0,0,-24236860.47733584,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.29916550721500657,,,,,1.0,,,,,,,,,,,,-1836414.9384902206,,
2020-03-24,30.848098974377823,31.02437412452007,28.811145212054562,29.526037216186523,13695000,0.0,0,-29084654.531810045,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.18551508662424573,,,,,0.0,,,,,,,,,,,,-696475.0083314155,,
2020-03-25,29.369348376715074,29.56521006818579,27.244257056122542,27.361774444580078,20521000,0.0,0,-47527564.78505272,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.1142248018739226,,,,,0.0,,,,,,,,,,,,-1913985.4933296763,,
2020-03-26,27.42053275272764,28.57611264616697,26.764398501429493,28.399837493896484,18238900,0.0,0,-32837861.421933882,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,28.399837493896484,,0.09065700344455084,,,,,0.0,,,,,,,,,,,,-812236.828581924,,
