Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,10.0,19.0,7.199999809265137,14.800000190734863,717240,0,0.0,206662.4043212114,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5480226061758062,,,,,0.0,,,,,,,,,,,,-80358.01526476075,,
2020-03-16,8.0,11.600000381469727,7.800000190734863,8.800000190734863,476975,0,0.0,-19273.13459509844,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.3247863331463887,,,,,0.0,,,,,,,,,,,,-282896.5828767769,,
2020-03-17,9.199999809265137,9.600000381469727,8.399999618530273,9.0,404145,0,0.0,-19273.13459509844,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3492063519095075,,,,,1.0,,,,,,,,,,,,-184183.13607353694,,
2020-03-18,8.399999618530273,8.800000190734863,7.199999809265137,7.800000190734863,270955,0,0.0,-87011.80384423507,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2608695971417415,,,,,0.0,,,,,,,,,,,,-26942.222913373465,,
2020-03-19,7.800000190734863,8.800000190734863,7.800000190734863,8.199999809265137,293150,0,0.0,-145642.02749993576,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.31271475695202305,,,,,0.0,,,,,,,,,,,,-21094.008962231466,,
2020-03-20,8.800000190734863,9.0,7.400000095367432,8.199999809265137,343125,0,0.0,-145642.12975916054,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3269841031963337,,,,,0.0,,,,,,,,,,,,15033.318628816884,,
2020-03-23,8.199999809265137,8.800000190734863,7.599999904632568,8.0,234265,0,0.0,-223730.46309249388,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.30630631269199937,,,,,0.0,,,,,,,,,,,,-5713.7751716235825,,
2020-03-24,8.800000190734863,8.800000190734863,7.199999809265137,8.0,458685,0,0.0,-223730.46309249388,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3193277390054884,,,,,0.0,,,,,,,,,,,,-5713.7751716235825,,
2020-03-25,8.0,8.800000190734863,7.400000095367432,8.600000381469727,315915,0,0.0,1923.2005646493344,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.4312169933395125,,,,,0.0,,,,,,,,,,,,23693.640064001083,,
2020-03-26,8.399999618530273,8.800000190734863,7.599999904632568,8.0,253375,0,0.0,-82535.132768684,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,8.0,,0.3295454585136237,,,,,0.0,,,,,,,,,,,,6016.304027777431,,
