Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,50.543243343859025,50.736260883493784,46.241690569648796,48.980712890625,1651600,0.0,0,361392.9890692181,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5364689784723112,,,,,0.0,,,,,,,,,,,,-465077.1264417634,,
2020-03-16,45.48800459053438,50.55243822244497,44.94571465844469,47.7950325012207,1277000,0.0,0,382327.1011012788,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4590538474812512,,,,,0.0,,,,,,,,,,,,-495760.909420844,,
2020-03-17,48.272982161933975,52.8227022009332,47.01376789262096,52.592918395996094,993000,0.0,0,1296766.9707255429,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.8316003912510161,,,,,1.0,,,,,,,,,,,,68769.47143772489,,
2020-03-18,49.734406797224885,52.1517333823914,46.149778074068806,49.0450553894043,773700,0.0,0,1269515.7341039956,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4962947524257162,,,,,2.0,,,,,,,,,,,,47488.93288645749,,
2020-03-19,48.43842650436401,50.414565111763416,46.21411746208558,46.43471145629883,751100,0.0,0,597306.444272126,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.27296729789128577,,,,,1.0,,,,,,,,,,,,-92169.0744520213,,
2020-03-20,46.351986643808296,46.82993735027621,43.061481070663866,44.16444396972656,1254800,0.0,0,77023.57439323794,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.10294243971411401,,,,,0.0,,,,,,,,,,,,-101325.26918898986,,
2020-03-23,43.92547200928495,43.92547200928495,41.296744778695626,42.923614501953125,652500,0.0,0,232163.47104964106,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.02374901129246294,,,,,0.0,,,,,,,,,,,,-79681.60575629974,,
2020-03-24,44.86299272728661,47.30789234727174,43.76921953793621,46.710453033447266,798700,0.0,0,761172.089188763,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.4490057897756473,,,,,0.0,,,,,,,,,,,,52131.073836087126,,
2020-03-25,46.967801739186314,48.56709833997717,44.79864587004199,45.708587646484375,666300,0.0,0,416645.6609562694,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.345028593550744,,,,,0.0,,,,,,,,,,,,56172.4140694142,,
2020-03-26,45.929185665303834,47.57443495840008,44.210400369240844,47.23435592651367,676700,0.0,0,956526.9245383122,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,47.23435592651367,,0.5264649615941285,,,,,0.0,,,,,,,,,,,,8297.395468413917,,
2020-03-27,46.067057752254165,48.77850744123394,45.239838130916034,47.73069381713867,467400,0.0,0,1147129.04095301,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,47.23912504543994,,0.5827270710716194,,,,,0.0,,,,,,,,,,,,27499.909374741714,,
2020-03-30,48.95313533251109,50.05609818640853,46.563385404251825,49.65167999267578,425400,0.0,0,1474015.6444362313,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,47.26977145762971,,0.7962959119349946,,,,,2.0,,,,,,,,,,,,22032.22905180382,,
