Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,12.029999732971191,13.670000076293945,11.119999885559082,13.670000076293945,278000,0,0,278000.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6666666666666665,,,,,0.0,,,,,,,,,,,,31283.67116737626,,
2020-03-16,11.529999732971191,12.640000343322754,11.0600004196167,11.3100004196167,445100,0,0,-26245.562818771694,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.27360780679775015,,,,,0.0,,,,,,,,,,,,-45021.57223070799,,
2020-03-17,11.710000038146973,11.949999809265137,10.510000228881836,11.90999984741211,352300,0,0,306482.2279211804,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.48055049326252736,,,,,1.0,,,,,,,,,,,,-58152.78041319812,,
2020-03-18,11.09000015258789,12.050000190734863,9.859999656677246,11.369999885559082,323400,0,0,429049.310052986,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.399484491527333,,,,,0.0,,,,,,,,,,,,4026.6652109381503,,
2020-03-19,11.399999618530273,12.869999885559082,10.430000305175781,12.65999984741211,292500,0,0,671200.9315927404,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7094770763648485,,,,,0.0,,,,,,,,,,,,18523.04373958368,,
2020-03-20,12.84000015258789,13.949999809265137,12.220000267028809,13.029999732971191,705400,0,0,626348.6477350881,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.755099126843034,,,,,2.0,,,,,,,,,,,,53801.96482196494,,
2020-03-23,13.399999618530273,13.460000038146973,11.520000457763672,12.329999923706055,225300,0,0,589185.6777861589,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.564167239879752,,,,,0.0,,,,,,,,,,,,8512.345627459257,,
2020-03-24,13.119999885559082,13.300000190734863,12.600000381469727,13.289999961853027,188000,0,0,771814.1248088549,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,0.7994738012595352,,,,,0.0,,,,,,,,,,,,2533.866247885344,,
2020-03-25,13.010000228881836,13.890000343322754,13.010000228881836,13.430000305175781,135300,0,0,765664.1314737371,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8182309375098634,,,,,0.0,,,,,,,,,,,,16062.755924948378,,
2020-03-26,13.569999694824219,14.779999732971191,13.5,14.420000076293945,176100,0,0,842707.9552764099,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,14.420000076293945,,1.0657501967820373,,,,,0.0,,,,,,,,,,,,14406.592869066091,,
