Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,0.2199999988079071,0.23000000417232513,0.18000000715255737,0.18000000715255737,2001600,0,0,-2001600.0,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3333333333333333,,,,,0.0,,,,,,,,,,,,461775.5150831817,,
2020-03-16,0.18000000715255737,0.18000000715255737,0.15000000596046448,0.17000000178813934,1171400,0,0,-1611133.7212271006,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3541666162200261,,,,,0.0,,,,,,,,,,,,-1967681.3979309658,,
2020-03-17,0.18000000715255737,0.1899999976158142,0.1599999964237213,0.17000000178813934,1020400,0,0,-1951266.716668339,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3787878582628633,,,,,1.0,,,,,,,,,,,,-65077.81010225839,,
2020-03-18,0.18000000715255737,0.18000000715255737,0.1599999964237213,0.17000000178813934,924900,0,0,-1951266.716668339,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.397435888618643,,,,,0.0,,,,,,,,,,,,0.0,,
2020-03-19,0.1599999964237213,0.18000000715255737,0.1599999964237213,0.18000000715255737,1066300,0,0,-884966.716668339,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,0.5666667262713034,,,,,0.0,,,,,,,,,,,,62723.56239953221,,
2020-03-20,0.18000000715255737,0.20999999344348907,0.17000000178813934,0.18000000715255737,913600,0,0,-1341766.3763257463,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.5350877880939994,,,,,0.0,,,,,,,,,,,,62723.56239953221,,
2020-03-23,0.18000000715255737,0.1899999976158142,0.1599999964237213,0.17000000178813934,886100,0,0,-1637132.749572004,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3863636389292629,,,,,0.0,,,,,,,,,,,,-49227.80222947853,,
2020-03-24,0.1899999976158142,0.1899999976158142,0.17000000178813934,0.1899999976158142,714600,0,0,-922532.749572004,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.7013888130033487,,,,,0.0,,,,,,,,,,,,34842.76758303067,,
2020-03-25,0.1899999976158142,0.20000000298023224,0.18000000715255737,0.1899999976158142,1033100,0,0,-922533.519291646,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6858973598486119,,,,,0.0,,,,,,,,,,,,84070.5698125092,,
2020-03-26,0.20000000298023224,0.20000000298023224,0.18000000715255737,0.20000000298023224,839800,0,0,-82733.51929164596,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,0.20000000298023224,,0.8452381104433617,,,,,0.0,,,,,,,,,,,,44200.024265364904,,
2020-03-27,0.1899999976158142,0.20000000298023224,0.18000000715255737,0.1899999976158142,586900,0,0,-82733.95656631242,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,0.19977338739572498,,0.655555474978905,,,,,0.0,,,,,,,,,,,,14855.008960754996,,
2020-03-30,0.1899999976158142,0.1899999976158142,0.17000000178813934,0.18000000715255737,1225900,0,0,-82733.0431994465,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,0.1993252911518358,,0.4739584274357202,,,,,0.0,,,,,,,,,,,,-93866.00721374984,,
2020-03-31,0.1899999976158142,0.1899999976158142,0.17000000178813934,0.17000000178813934,935800,0,0,-1018533.0431994465,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,0.19920322959361023,,0.2892156757474488,,,,,0.0,,-5.555558315029741,,,,,,,,,,-116509.90662118825,,
2020-04-01,0.17000000178813934,0.5699999928474426,0.17000000178813934,0.20000000298023224,50885400,0,0,-44271122.56929222,0.0,,,,,,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,,,,214684.92664122715,,0.19924491799202093,,0.5900901039680894,,94.41524568784754,,,2.0,,17.64705933914052,60.62303536716238,,,,,,5.815354707988989,,13096238.095238097,8927787.81824696,,-88.09523843313292
