Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,5.241811296099027,5.671767701193268,4.345306033785383,4.445934295654297,1396100,0.0,0,-1184277.6460683944,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3586207236744748,,,,,0.0,,,,,,,,,,,,-678733.4218562979,,
2020-03-16,4.116606334528047,4.509970782791324,3.7689816949216324,4.2172346115112305,764500,0.0,0,-1023826.4953896085,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3665193962046393,,,,,0.0,,,,,,,,,,,,-725154.2408293807,,
2020-03-17,4.45508235564973,4.45508235564973,3.622613288068999,3.759833574295044,843500,0.0,0,-1589249.3488884408,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.21503682445902708,,,,,1.0,,,,,,,,,,,,-130811.98593389356,,
2020-03-18,3.6592052502342938,3.6683534727412836,1.655790323385667,2.881624221801758,1381700,0.0,0,-1287787.5579316567,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.07852265461798259,,,,,0.0,,,,,,,,,,,,-414218.82950931496,,
2020-03-19,2.74440394290995,3.457948941893861,2.3876313343651794,2.863328218460083,1958100,0.0,0,-1505353.6039085374,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.14449543310237586,,,,,0.0,,,,,,,,,,,,-335165.23027055233,,
2020-03-20,2.826735717919287,3.924497235884994,2.6346276431176965,3.8787569999694824,2539700,0.0,0,854225.1221177117,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5840668599690249,,,,,0.0,,,,,,,,,,,,888227.3846396934,,
2020-03-23,3.6775013135863,3.823869386179183,2.5248516513891857,2.680367946624756,1273500,0.0,0,-114352.17101175291,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.1326930191801091,,,,,0.0,,,,,,,,,,,,507196.46761073556,,
2020-03-24,2.8450317624170416,3.064584068894334,2.6849415889265513,2.735255718231201,703300,0.0,0,-631235.0601396337,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.16453746589045964,,,,,0.0,,,,,,,,,,,,-379061.31538996723,,
2020-03-25,2.936512231826782,3.659205229819167,2.698663900612761,2.9365122318267822,1544500,0.0,0,-1410839.8153643487,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.2701123026382498,,,,,0.0,,,,,,,,,,,,128044.24264277353,,
2020-03-26,3.2018047733333868,3.52015569330508,2.9840821255199024,3.156064748764038,880900,0.0,0,-1726520.7785754653,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,3.156064748764038,,0.3734058174318921,,,,,0.0,,,,,,,,,,,,179504.0183961118,,
