Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,13.329999923706055,13.600000381469727,9.869999885559082,11.100000381469727,43494100,0,0,-14808975.358414026,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4432529340821934,,,,,0.0,,,,,,,,,,,,-17157919.324918732,,
2020-03-16,10.460000038146973,13.40999984741211,10.100000381469727,10.9399995803833,35890800,0,0,-32483311.241986223,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.4199809897306164,,,,,0.0,,,,,,,,,,,,-17993954.280733023,,
2020-03-17,11.510000228881836,11.619999885559082,9.829999923706055,10.029999732971191,25250500,0,0,-52091246.67050833,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3069082202406629,,,,,1.0,,,,,,,,,,,,-2617708.6830653395,,
2020-03-18,9.729999542236328,9.989999771118164,7.03000020980835,7.769999980926514,24363500,0,0,-64272998.632911004,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.046932406125663136,,,,,0.0,,,,,,,,,,,,-7590042.74373318,,
2020-03-19,8.029999732971191,8.850000381469727,7.25,8.229999542236328,16537300,0,0,-60552120.425556034,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.17425931026934763,,,,,0.0,,,,,,,,,,,,-4510640.2156322785,,
2020-03-20,9.09000015258789,10.979999542236328,8.229999542236328,8.720000267028809,27443900,0,0,-78215997.95927796,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.2873813031715412,,,,,0.0,,,,,,,,,,,,2613006.2445819452,,
2020-03-23,8.949999809265137,10.59000015258789,8.4399995803833,9.670000076293945,27174100,0,0,-74297867.65195982,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4710224406061617,,,,,0.0,,,,,,,,,,,,4594445.355161701,,
2020-03-24,12.0,15.760000228881836,11.300000190734863,13.75,46798300,0,0,-69680999.44870146,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.1076190387959384,,,,,2.0,,,,,,,,,,,,22705781.212289073,,
2020-03-25,17.149999618530273,18.0,14.329999923706055,16.959999084472656,47730700,0,0,-49002054.58048262,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,1.519240306737317,,,,,0.0,,,,,,,,,,,,30888246.513986766,,
2020-03-26,16.799999237060547,20.280000686645508,15.0,15.710000038146973,51130200,0,0,-86381330.62993062,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,15.710000038146973,,1.151735000512412,,,,,0.0,,,,,,,,,,,,7374507.918188082,,
2020-03-27,14.3100004196167,14.3100004196167,12.010000228881836,12.020000457763672,44214100,0,0,-130210951.42720228,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,15.675819507527867,,0.5538235997012437,,,,,0.0,,,,,,,,,,,,-14153543.44486664,,
2020-03-30,11.109999656677246,11.84000015258789,9.819999694824219,10.680000305175781,32858300,0,0,-135090883.45554435,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,15.649258601683563,,0.3448084966075791,,,,,0.0,,,,,,,,,,,,-14048177.659846563,,
2020-03-31,10.539999961853027,12.399999618530273,10.40999984741211,10.960000038146973,35119800,0,0,-150797719.7166422,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,15.606392830658864,,0.3932298631453162,,,,,0.0,,-1.2612643109136252,,,,,,,,,,-2742329.075602198,,
2020-04-01,10.5,10.59000015258789,9.449999809265137,9.550000190734863,31934400,0,0,-177129573.7161754,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-9615958.089967135,,15.508744679261781,,0.1582375989916629,,58.755202917088546,,,1.0,,-12.705662184310034,43.534849993525874,,,,,,23.487857801482473,,-1691547.6190476157,-3187605.5303861266,,-80.98113290386802
2020-04-02,9.15999984741211,9.899999618530273,8.079999923706055,8.399999618530273,33277200,0,0,-198704910.38632143,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.37137882794470245,-13709221.0830242,,15.473661680061602,0.0,-0.027865963163708502,,55.759986524657684,,,0.0,,-16.251247834859736,40.0331569304513,,,,,,27.08571680138724,,-822135.7142857164,-8115552.454279717,-0.12524134558701994,-89.66038219306579
2020-04-03,9.0600004196167,9.25,8.119999885559082,8.460000038146973,24203800,0,0,-208343586.7406865,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.25649329382329894,-11543298.33454665,,15.435768559758497,3.3165443440252034,-0.004790149959767781,,57.812096746779694,,,0.0,,8.880309638535953,40.302952485605694,,13.38364534976724,,,,30.214274130793214,,-3626016.666666668,-3834318.505417283,-0.1487519322318962,-89.20754885376448
2020-04-06,9.199999809265137,10.180000305175781,8.800000190734863,10.010000228881836,40974200,0,0,-177464483.1876971,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,0.971697469147079,-821396.0274387822,,15.404530296306689,10.365023618340445,0.30040637096089035,,63.462419949869826,,,0.0,,21.628199096616598,46.94377805283507,,14.540878108490825,,,,32.03454587481131,,-1735871.4285714254,7679979.773199035,-0.05537126735170361,-77.50943462769726
2020-04-07,12.270000457763672,13.0,10.359999656677246,11.010000228881836,56733100,0,0,-206260808.43976152,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,3.621813055004996,7400674.8336239,,15.270023630267133,11.306362844164823,0.4912908812841822,,69.43447479939553,,,0.0,,26.261466648249375,50.75027887481608,,20.713167262997214,,,,32.401228407460906,,3770647.6190476194,13174736.49859785,0.1602858564362425,-71.14351472954661
2020-04-08,11.460000038146973,11.949999809265137,10.90999984741211,11.720000267028809,28293100,0,0,-190481939.7611782,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,3.8740696491363615,9213164.440148503,,14.910680901840177,14.535564693505023,0.629028886627182,,72.49101185112524,,,0.0,,21.19958815471418,53.311474886467465,,27.061039054939556,,,,32.71500887994395,,4294047.619047619,7492174.622390858,0.17348522781517695,-70.16393347793745
2020-04-09,12.720000267028809,14.180000305175781,12.25,13.109999656677246,53320000,0,0,-196283624.2758816,0.0,,,0.7275948622314244,72.3334825910668,-0.2700873024102956,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.01999909877777,0.4588678662689545,3.222591496950227,18484822.013849385,,14.84638124411489,26.79210382738887,0.8922386559913301,,74.31234537494981,,,0.0,,-4.65454795143821,57.92472427371978,,33.30735174071581,,,,32.77562375813018,,6561021.428571425,8148317.869376932,0.1711453446364345,-58.77049657036849
2020-04-13,12.050000190734863,12.050000190734863,11.0,11.359999656677246,34352100,0,0,-207080025.30503222,0.0,,,0.5426594599831639,10.46071804523294,-0.2679364697721573,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,4.757000088691711,0.3267923993239349,2.9044806790503195,7256108.154728046,,14.810203023167293,45.923691475263524,0.5383896430111165,,69.09288459000393,,,0.0,,-33.01886633309057,51.08139204785237,,32.6502706610922,,,,33.767755098403384,,-1412026.190476194,1738264.7599853706,0.09819796654423907,-73.11475796841744
