Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,277.4100036621094,288.5,264.8399963378906,287.6700134277344,3038300,0,0,2825134.5044634854,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6549734228825047,,,,,0.0,,,,,,,,,,,,-1097985.1699276387,,
2020-03-16,251.00999450683594,283.8399963378906,250.0,265.42999267578125,3389100,0,0,2526684.258401958,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3617390065953352,,,,,0.0,,,,,,,,,,,,-1361403.3736530852,,
2020-03-17,271.4100036621094,302.9800109863281,270.0199890136719,287.4200134277344,3908100,0,0,2744857.9283049423,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6585969631767246,,,,,2.0,,,,,,,,,,,,61759.21889055363,,
2020-03-18,266.0,279.94000244140625,238.92999267578125,278.1600036621094,4428200,0,0,6788654.674585683,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.550949549018379,,,,,1.0,,,,,,,,,,,,181107.12060659612,,
2020-03-19,276.4599914550781,290.0,258.010009765625,277.6600036621094,2792000,0,0,7426651.530291585,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5423141491690653,,,,,0.0,,,,,,,,,,,,-147685.08252197283,,
2020-03-20,276.05999755859375,284.67999267578125,252.25,254.6999969482422,3502300,0,0,4453529.837398428,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.21886429096216115,,,,,0.0,,,,,,,,,,,,-294627.67805198074,,
2020-03-23,254.89999389648438,260.3900146484375,240.16000366210938,255.32000732421875,2825100,0,0,5862587.334867869,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,,,,,,,,0.261567763903286,,,,,0.0,,,,,,,,,,,,-282731.9075392252,,
2020-03-24,275.5799865722656,283.6000061035156,268.5400085449219,272.0,3371000,0,0,4040542.591957229,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5237621062750328,,,,,0.0,,,,,,,,,,,,227103.66919370496,,
2020-03-25,272.3500061035156,278.95001220703125,257.32000732421875,264.6700134277344,3088500,0,0,3051024.443666947,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.4011842173402739,,,,,0.0,,,,,,,,,,,,136996.21227227777,,
2020-03-26,269.69000244140625,295.0,267.989990234375,294.7300109863281,3731000,0,0,6707435.132611476,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,294.7300109863281,,0.9099064565430667,,,,,0.0,,,,,,,,,,,,340519.36510602315,,
