Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,45.29999923706055,45.45000076293945,39.70000076293945,43.43000030517578,2458000,0,0,730987.4347189198,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5495651908542799,,,,,0.0,,,,,,,,,,,,-481267.4377838797,,
2020-03-16,36.16999816894531,39.16999816894531,36.06999969482422,36.27000045776367,2723400,0,0,-1641004.6001892686,0.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.07683613408311131,,,,,0.0,,,,,,,,,,,,-929237.8523261963,,
2020-03-17,37.0,39.9900016784668,35.029998779296875,39.0,1751600,0,0,-588632.7963230445,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.46246680785556865,,,,,1.0,,,,,,,,,,,,-317147.0393887316,,
2020-03-18,37.7400016784668,38.41999816894531,28.549999237060547,32.81999969482422,1813600,0,0,-833018.2738810659,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.07728040118758225,,,,,0.0,,,,,,,,,,,,-155545.02390115557,,
2020-03-19,32.88999938964844,41.20000076293945,32.060001373291016,39.939998626708984,1665100,0,0,372994.2650380309,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6625024437541364,,,,,0.0,,,,,,,,,,,,73842.36426528345,,
2020-03-20,40.61000061035156,41.790000915527344,37.810001373291016,39.36000061035156,2227600,0,0,-119541.06280073198,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6015399007148996,,,,,0.0,,,,,,,,,,,,328879.61104869674,,
2020-03-23,39.459999084472656,41.310001373291016,38.790000915527344,40.18000030517578,1201500,0,0,4422.4001263210375,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.6586978752627615,,,,,0.0,,,,,,,,,,,,-7317.373265815942,,
2020-03-24,41.97999954223633,47.369998931884766,40.900001525878906,47.11000061035156,1508600,0,0,1391775.529918647,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.1876320214545004,,,,,2.0,,,,,,,,,,,,285225.3264330381,,
2020-03-25,47.470001220703125,51.72999954223633,45.65999984741211,50.88999938964844,1549000,0,0,2512057.1438310435,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.4128101210167294,,,,,0.0,,,,,,,,,,,,384482.30590498337,,
2020-03-26,50.88999938964844,52.63999938964844,48.060001373291016,50.130001068115234,1659100,0,0,2352668.052620593,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,50.130001068115234,,1.2768428141365857,,,,,0.0,,,,,,,,,,,,99510.98985293577,,
2020-03-27,47.650001525878906,49.0,45.02000045776367,46.93000030517578,1284900,0,0,2301013.8245840985,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,50.08529504706489,,0.9604160301734458,,,,,0.0,,,,,,,,,,,,-106797.59482020343,,
2020-03-30,44.79999923706055,49.939998626708984,44.79999923706055,49.849998474121094,546000,0,0,2827893.1673280094,0.0,,,,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,50.06439736896851,,1.181894366274628,,,,,0.0,,,,,,,,,,,,-48048.087260189466,,
2020-03-31,49.65999984741211,51.380001068115234,47.93000030517578,50.65999984741211,1069200,0,0,3450817.726785858,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,50.10997641350995,,1.2230836446744187,,,,,0.0,,16.647477530352887,,,,,,,,,,51345.46710996912,,
2020-04-01,48.86000061035156,48.86000061035156,44.38999938964844,44.86000061035156,1648800,0,0,2148746.0494118715,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-3447626.572428745,,49.68027932138866,,0.6580249163220392,,65.82779230447953,,,0.0,,23.68348509559829,50.87180896723704,,,,,,9.959337896728218,,-562457.142857143,-171395.83483163203,,-32.2955530511323
