Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,6.077431225668476,6.244880781464174,5.17123396113868,5.181084156036377,2571100,0.0,0,-2523922.7800389864,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.33639150687520347,,,,,0.0,,,,,,,,,,,,-1327746.1303003803,,
2020-03-16,4.767385829384645,6.14638131122496,4.580236335207302,5.88043212890625,2347500,0.0,0,-973687.0372479989,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,0.6312189407221968,,,,,0.0,,,,,,,,,,,,-1011059.9475130034,,
2020-03-17,5.811482213108977,7.4958270682742585,5.811482213108977,7.4761271476745605,2234300,0.0,0,1208348.68627569,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.0125284844007267,,,,,1.0,,,,,,,,,,,,923160.3334813181,,
2020-03-18,7.0722787893770995,7.5844772466901595,6.609330373408512,6.786629676818848,1561300,0.0,0,214793.73063600773,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7035317193226751,,,,,2.0,,,,,,,,,,,,462299.0878889234,,
2020-03-19,6.8260292586176625,7.712526680827495,5.772082735601212,6.855579376220703,1610400,0.0,0,402810.0099067317,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.6732426964475928,,,,,1.0,,,,,,,,,,,,-127632.24363492566,,
2020-03-20,7.0525788193522665,7.141228705302927,6.287236150403405,6.4123311042785645,2373300,0.0,0,-1275196.2142199033,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5056186097284237,,,,,0.0,,,,,,,,,,,,-137084.90336297613,,
2020-03-23,6.500980241159265,7.190478437297527,6.166081573584342,6.697979927062988,1458200,0.0,0,-1219111.6502645768,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.5996903827915016,,,,,0.0,,,,,,,,,,,,-88487.84223867685,,
2020-03-24,7.574627262742503,7.604176910798126,6.7964796419243605,7.042728900909424,1544300,0.0,0,-1821764.9583526654,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7078496346536512,,,,,0.0,,,,,,,,,,,,144444.17286658444,,
2020-03-25,7.042729040232719,8.086825862622323,6.924529506305563,7.870126247406006,1445700,0.0,0,-915140.2673573358,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9954991276223079,,,,,2.0,,,,,,,,,,,,249330.4706853939,,
2020-03-26,7.968625852102801,8.470974545773235,7.554927038417306,7.978476047515869,1243800,0.0,0,-1008759.1833273746,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,7.978476047515869,,0.9973469688597634,,,,,0.0,,,,,,,,,,,,186968.11431468875,,
2020-03-27,7.751926265179315,7.961730918934217,7.042728632946599,7.220027923583984,1242400,0.0,0,-1771777.0489267735,0.0,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,7.92094237395448,,0.6612549602601419,,,,,0.0,,,,,,,,,,,,-100981.07912736712,,
2020-03-30,7.2754601131510155,7.780288190847864,6.988401176735628,7.315054416656494,1126000,0.036,0,-1968827.4851730634,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,7.888862710502133,,0.6883677538572173,,,,,0.0,,,,,,,,,,,,-103284.88988271591,,
2020-03-31,7.285358648648198,7.780287895692208,7.0081980626229745,7.364547252655029,1322400,0.0,0,-2070550.4377234995,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,7.885266400536979,,0.6981434335757347,,,,,0.0,,42.14297685311178,,,,,,,,,,23767.073669704718,,
2020-04-01,7.364547401789855,7.557569981966269,7.12203217910758,7.354648590087891,1133600,0.0,0,-1993261.4551529745,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,351606.4127119246,,7.868291048575017,,0.6883803654284784,,63.42441561713095,,,0.0,,25.06986610618091,64.87844425178727,,,,,,7.455682526200057,,-464164.2857142857,7423.541916211934,,-28.691880441962898
2020-04-02,7.414040071892247,7.889172179324687,7.354648617463357,7.602113246917725,923000,0.0,0,-2061631.7651501338,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,8.118804020286019,334006.9077893549,,7.856958791034374,0.0,0.7935067763624497,,65.13394251930818,,,0.0,,1.6851786594126061,67.43794548793451,,,,,,7.56152410265697,,-414109.5238095238,29532.864008551394,0.26400163874442006,-22.33152815308868
2020-04-03,7.5724177976646265,7.770389313524603,7.354648658217328,7.4437360763549805,825400,0.0,0,-2533288.3725224864,0.0,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,9.547989865061982,267616.70430766296,,7.824608493856923,15.454313641412796,0.7084912813044575,,59.16226906742389,,,0.0,,9.68236710749987,64.21267287801999,,70.30503339433649,,,,7.770795325081505,,-471054.761904762,13860.71901955963,0.32950937036552175,-38.06149122193897
2020-04-06,7.7208968938619424,7.978260343924632,7.572418016672032,7.740694046020508,1139200,0.0,0,-2727786.256646494,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,3.141419541011431,277713.53498413524,,7.817967886266541,28.089622922084686,0.8485202381516056,,57.18417659899892,,,0.0,,12.910866043939595,67.36434823868322,,70.84948292869245,,,,7.811510687124426,,-390966.6666666666,28251.058942243057,0.18390424235809655,-27.058531838895018
2020-04-07,7.899071130405044,7.918868282230568,7.651606496585339,7.780288219451904,847900,0.0,0,-2759189.18389704,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,1.1862638101835725,242836.15850818466,,7.815870612397443,32.29115744083825,0.8631312605857292,,55.79000858656875,,,0.0,,21.33322644959154,67.77188621158584,,69.76283270210986,,,,7.442104255016001,,-365042.85714285704,49783.93761289007,0.11980721516487303,-25.591478832836476
2020-04-08,7.829780679079266,7.9386657195637325,7.522924596991598,7.542721748352051,531300,0.0,0,-3239889.2987919357,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,3.93391808388477,190113.98356482227,,7.808610507696485,34.42740954092861,0.7244808734782913,,58.82540784940234,,,0.0,,12.611889412745303,62.711738657672456,,69.02561609738382,,,,7.252199965023154,,-385997.61904761905,-11885.863517881822,0.19837288014201082,-40.27314103611709
2020-04-09,7.918867920155554,8.36430405186378,7.790186203172712,8.14653491973877,1163800,0.0,0,-2958973.245162544,0.0,,,0.8391030046746374,114.46187733754772,-0.10329843166366592,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6855331897735599,0.9166123217559597,5.22684430178696,263343.09574982815,,7.812339624127135,41.458342306334515,1.0455617717643915,,69.79720767367394,,,0.0,,15.672987479140533,69.03918065237698,,73.35308489685043,,,,6.175125224514643,,-291404.761904762,76942.08353470545,0.27442545217461445,-14.076125440495131
2020-04-13,8.235623234247754,8.61176961481232,7.68625188221363,8.522682189941406,1812900,0.0,0,-1495081.3448669093,0.0,,,0.9853362578779642,137.04807630431162,0.036893624386251406,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6268030881881712,0.9779023466526754,5.668947761647586,323139.42294990417,,7.947065815156948,74.41724994181331,1.1877135075794403,,71.0682389826735,,,0.0,,8.291556221864711,72.20353835034241,,80.24770650741272,,,,5.513069234449671,,4926.190476190299,176871.4467067843,0.2990902793662563,-4.907614001149615
2020-04-14,8.512783327466218,8.859233229954514,8.166332480975314,8.463290214538574,2536000,0.0,0,-1857365.0848516226,0.0,,,0.9478965630583791,165.94357154459013,-0.031475396349932454,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.26078794002532923,0.8717448287214511,4.428598521879644,255459.78401112044,,8.028481686473654,98.22327040439228,1.0984782085456153,,73.31539112050852,,,0.0,,6.076525944746728,70.97014010379102,,86.85031856209696,,,,5.294163644665006,,602323.8095238097,66033.82251823397,0.27281992925877774,-20.465304872064376
2020-04-15,8.205927033292232,8.453391661490432,7.998056707845637,8.384101867675781,1030500,0.0,0,-1140494.126305352,0.0,,,0.8681099891316372,117.29533039375328,-0.08741051127150211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.21116018295288086,0.8460938774614992,1.769095921189464,207307.87323208782,,8.073474836295844,112.16313884168892,1.050609364590467,,66.38979758421473,,,0.0,,16.122845457278462,69.27105612539114,,83.0767623820673,,,,5.311969606214374,,587547.6190476189,-27314.675960257697,0.16136697631444952,-25.39679398058414
2020-04-16,8.473189005118687,8.542478796645682,8.176231272284607,8.433594703674316,1180200,0.0,0,-662032.6936798876,0.0,,,0.8503991137417685,120.82292484042544,-0.03309990541125978,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,-0.2440155982971195,0.8621257606136365,-0.6032816761722469,186036.95491971401,,8.121973413507513,112.3444646356249,1.0597996822838203,,66.37528938780946,,,0.0,,15.290935969948336,69.75837148842773,,77.12886859288288,,,,5.319310808864628,,381190.4761904762,-2675.1353442805475,0.0827279914444995,-22.751295368702888
2020-04-17,8.285115519734791,8.40389842628265,8.087144008821694,8.23562240600586,2196400,0.0,0,-799310.9665740666,0.0,80.0,,0.7417510797015837,89.32604014141548,-0.04439753498376064,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-0.322916412353516,0.7684457084050155,1.9778851272202098,97342.19641704073,,8.128867623937888,108.72932543644757,0.9217570042437503,,62.20485191985806,,,0.0,,11.82795253349477,65.29763385633566,,72.83952328618007,,,,4.759263176268952,,199847.61904761894,-44591.91005466473,0.19094891796654567,-33.333340792172784
2020-04-20,8.087144125037412,8.582073381433814,8.087144125037412,8.384101867675781,1130900,0.0,0,-573130.1037658382,0.0,76.0,,0.793455845655773,97.41325120711701,0.027176156540594545,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,-0.17404029369354213,0.8235779403083767,2.848556644979889,107424.08595782272,1.4713441308921489,8.15761848759925,100.1960868483385,0.9822175544832598,,68.31539402287733,,,0.0,,13.997314283313544,67.0019317497372,,72.74898341940506,,,,4.230928191802255,,232964.28571428568,-31169.922180381895,0.25380032929386565,-25.668413580909114
2020-04-21,8.10694073690273,8.393999665462104,8.03765094366508,8.295014381408691,667900,0.0,0,-276283.88998893986,0.0,60.0,,0.7354937475772139,70.29535092730907,0.03764745325255303,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.41226918697357195,0.7264729767918481,2.354596501820906,83577.56909559244,1.4713441308921489,8.16566439013061,89.83837475918492,0.8701738042022781,,63.36731521199483,,,0.0,,9.114585799835375,64.94110677268012,,69.50654339906235,0.2348730680367485,,,3.765788996453338,,108947.61904761894,13291.969531290028,0.23233021200798354,-32.478615429731065
2020-04-22,8.582073770939296,8.938422511876977,8.492986349704205,8.918625831604004,1037800,0.0,0,669269.4693832478,26.832224528180625,88.0,,1.0030771434896302,147.98739001441606,0.10152114258555058,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.20910606384277308,0.9901699443723146,4.036532853286979,164092.76822660712,0.9570845733062097,8.254052095524967,88.48550388699236,1.3462240268116652,,69.55089579850753,,,0.0,,19.813837300519147,71.53999554487126,,80.20100071441703,0.9300930458969152,,,3.1327925964807166,,-270409.5238095237,70923.88911104325,0.35078152439158106,-1.249968846108743
