Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,205.6300048828125,226.64999389648438,196.58599853515625,226.6199951171875,1622000,0,0,1618763.0370192167,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6663340564138119,,,,,0.0,,,,,,,,,,,,-503144.29534131225,,
2020-03-16,196.35000610351562,208.8300018310547,184.38999938964844,196.27000427246094,1298600,0,0,1582632.1695658858,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.31124941932201466,,,,,0.0,,,,,,,,,,,,-677642.5251702843,,
2020-03-17,200.1300048828125,216.85000610351562,190.49000549316406,216.75,1051000,0,0,2625657.479705397,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.6799605862411376,,,,,1.0,,,,,,,,,,,,-64246.800416168175,,
2020-03-18,199.2100067138672,204.36000061035156,186.99000549316406,192.38999938964844,1267700,0,0,2146164.0642656414,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.2650236059180924,,,,,0.0,,,,,,,,,,,,-32806.01476229806,,
2020-03-19,193.49000549316406,203.8300018310547,182.0800018310547,197.5500030517578,1191800,0,0,2649733.945169916,0.0,,,,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,,,,0.4063958879199255,,,,,0.0,,,,,,,,,,,,-110508.97265414592,,
2020-03-20,203.25999450683594,218.44000244140625,190.02000427246094,192.80999755859375,1453700,0,0,1481453.6145126873,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3188210626768402,,,,,0.0,,,,,,,,,,,,-2915.290014434322,,
2020-03-23,191.10000610351562,191.99000549316406,173.64599609375,178.94000244140625,1654500,0,0,781917.5279608609,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.08146227529162037,,,,,0.0,,,,,,,,,,,,-153898.2513658112,,
2020-03-24,190.4499969482422,201.99000549316406,184.19000244140625,201.6199951171875,1349100,0,0,2074929.78496683,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.5673698739050635,,,,,0.0,,,,,,,,,,,,51975.26268019808,,
2020-03-25,202.9199981689453,218.9499969482422,192.6300048828125,210.64999389648438,1130000,0,0,2492239.3384673954,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.7379354356608868,,,,,2.0,,,,,,,,,,,,221603.06146215842,,
2020-03-26,204.25,230.3800048828125,202.13999938964844,229.2100067138672,1086800,0,0,3488985.9558419874,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,229.2100067138672,,1.0771855957597254,,,,,0.0,,,,,,,,,,,,146365.6571619191,,
