Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,11.425280853286674,11.554887119735435,8.73346095607988,11.026493072509766,6905000,0.0,0,4318676.144998939,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.6042403124547171,,,,,0.0,,,,,,,,,,,,-1732273.2740768003,,
2020-03-16,9.471219506061065,9.511098287002547,7.2878541102483,9.451279640197754,6818500,0.0,0,10770258.783871345,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.4716732284856792,,,,,0.0,,,,,,,,,,,,-2722788.0149367605,,
2020-03-17,9.341612846782953,9.411400472869119,7.746460248435266,8.783309936523438,6983900,0.0,0,12484874.719002053,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.3893017120287862,,,,,1.0,,,,,,,,,,,,-1467659.0259471466,,
2020-03-18,7.886036256545987,7.905975646907456,5.373670694037991,6.181216716766357,6424500,0.0,0,10157890.239113128,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.01923771006369645,,,,,0.0,,,,,,,,,,,,-2396873.1777750794,,
2020-03-19,6.051610900209469,7.985733661439806,5.602973905240707,7.786339282989502,5223500,0.0,0,14507163.17268274,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.39179533580782083,,,,,0.0,,,,,,,,,,,,-546860.5288109777,,
2020-03-20,7.945855437781272,10.099312247550227,7.397521895435327,8.464280128479004,9763600,0.0,0,12453562.341191359,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.5238925443276937,,,,,0.0,,,,,,,,,,,,2206522.0810687384,,
2020-03-23,8.484218509148402,8.853097450748104,7.576975102958608,8.573945999145508,5650900,0.0,0,15632196.354166547,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,0.5506922250624847,,,,,0.0,,,,,,,,,,,,923311.7797076823,,
2020-03-24,8.922884933818255,10.079370451392231,8.922884933818255,9.90988540649414,3678000,0.0,0,18232161.24579295,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.8343245914531482,,,,,0.0,,,,,,,,,,,,646298.1196637099,,
2020-03-25,10.11924983646691,11.255796508516086,9.331643207379402,10.567887306213379,11566200,0.0,0,21528234.94039586,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.9456600157405127,,,,,2.0,,,,,,,,,,,,1341062.0518809876,,
2020-03-26,10.986615499453793,12.262737488691153,10.54794794170068,10.886918067932129,3512300,0.0,0,19404519.068928957,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,10.886918067932129,,0.9701044061742216,,,,,0.0,,,,,,,,,,,,874010.5317847071,,
2020-03-27,10.208978093763774,10.85700951474944,9.760341541256897,10.617735862731934,3910500,0.0,0,21608614.507419586,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.884757984189035,,0.8882963025860532,,,,,0.0,,,,,,,,,,,,9343.518992130936,,
2020-03-30,10.45806952550189,10.687588731818588,9.410267473731961,10.507965087890625,3256700,0.01,0,23949365.888422243,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,10.877301484825157,,0.8467230624939899,,,,,0.0,,,,,,,,,,,,-130357.42821751424,,
2020-03-31,10.507965932475857,11.226459614258454,9.88926338349151,10.867213249206543,3589000,0.0,0,25609950.036648843,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,10.876811115062639,,0.9211746955455795,,,,,0.0,,-1.4445193250093669,,,,,,,,,,89032.18205630028,,
2020-04-01,10.098824162973333,10.438112877913818,9.350393510020655,10.328343391418457,3035100,0.0,0,28032463.0435398,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,-1058098.0475386847,,10.749434532277752,,0.7697245564178455,,53.1239977544323,,,0.0,,9.279841297790146,50.91587094751996,,,,,,18.217917682794816,,-2443378.571428572,-27799.400638601233,,-28.079189169337777
2020-04-02,10.2584887363778,10.577819780495153,9.15081176447231,9.39030933380127,2324700,0.0,0,26488081.013961233,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-1.4049656535869606,-1218462.2941392548,,10.667044691370602,0.0,0.5027038772360759,,51.388720028638204,,,0.0,,6.910827486045553,43.75985316415565,,,,,,18.584692897305814,,-2426880.952380952,-361633.1498512942,-0.02585844647932889,-41.695460945730304
2020-04-03,9.150812151853842,9.430225994566058,8.362465239013858,8.641879081726074,1496200,0.0,0,25774938.434440818,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-2.275773849234461,-1204367.8725700625,,10.652628649359858,2.3710740484364123,0.29683214550005055,,55.09576881984918,,,0.0,,39.808705594891165,39.04468130383102,,59.22195313077495,,,,19.00494926270421,,-2744316.6666666665,-330383.1257077671,0.035046673627490144,-52.55949049260707
2020-04-06,9.300497160254666,10.178655833363496,9.130852817058715,9.969095230102539,2862900,0.0,0,27492678.43444081,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,-0.5986924320265733,-489502.87489048496,,10.627501508659233,14.296067399160165,0.6773325737964931,,62.584273102542646,,,0.0,,28.033147128350993,49.44726729498142,,57.48370046644823,,,,18.349475923030493,,-2507359.523809524,320432.2351357279,0.08312929549318637,-33.29394716231794
2020-04-07,10.517945172442928,11.266375808864424,9.74955688058982,10.028970718383789,4378100,0.0,0,24727561.63295257,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,6.972208644605803,-382125.1962998242,,10.623862328642865,22.20780653147017,0.6799864014466745,,69.57609793808479,,,0.0,,18.48580819815038,49.862967679706834,,60.20177670095438,,,,14.25541857720853,,-1676721.4285714282,465978.32851035066,0.34048689526435727,-33.54123224221184
2020-04-08,10.288426453761467,11.386124101815833,9.84934663319674,11.306291580200195,2510200,0.0,0,26976961.87521062,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,6.948716638443294,130511.37850465678,,10.637101082165897,47.0195446046674,1.0400900491244285,,69.07420334424427,,,0.0,,31.86800548227149,57.82966721920247,,71.16865362558681,,,,11.897025973055479,,-1144914.2857142854,346002.221673427,0.34973542067178,-19.6588597187098
2020-04-09,11.974889194911642,12.523738473347496,11.066793583232766,11.386123657226562,3345600,0.0,0,25097924.82182903,0.0,,,0.8179687254426197,131.05633058795084,0.25811509822378503,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8341131687164314,0.8408945409702403,6.749161800702175,150022.06684676497,,10.647386121577227,60.1007629785899,1.0351319340540892,,66.56235137705133,,,0.0,,14.896622818312451,58.27590755121099,,74.60091783906044,,,,10.147471867090227,,-525585.7142857141,343329.66296621755,0.29445987138320184,-22.99715452189702
2020-04-13,11.44599912414921,11.475936082241532,10.53790346469261,10.937066078186035,1895400,0.0,0,24815630.386521146,0.0,,,0.7331887375765855,84.64217686868112,0.22224750819751316,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1576152801513668,0.7780898805249243,4.822727859880783,6998.380823882064,,10.650121570369368,72.75796808849066,0.9154063565405753,,69.83975601997277,,,0.0,,3.4934018624100767,54.76534356103762,,73.07149751785283,,,,8.291262537470743,,-1084902.3809523806,-51129.92790433531,0.2738196543108986,-38.12949320583466
2020-04-14,11.356186838795763,11.585705094349978,10.79735825083281,11.016898155212402,1691900,0.0,0,24066055.626418535,0.0,,,0.7285716862738116,86.60740848816425,0.15265119361081608,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8101521492004391,0.7892551001410769,2.5486611543140256,25294.025152029004,,10.6551280072904,88.9198518961453,0.9221805916341039,,68.8710198467503,,,0.0,,1.1939107695054232,55.28109340546431,,67.55410406879771,,,,7.884877986832099,,-1215804.7619047621,-62403.16763092959,0.17640234825034085,-36.21104006587518
2020-04-15,10.198614767383827,11.176563646282093,9.859326070075044,10.937066078186035,2273800,0.0,0,25513019.86015549,0.0,,,0.693143420522744,51.95545635608317,0.15812947515088088,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.592693567276001,0.7780898805249243,-1.1804243356265698,-4251.146547197095,,10.656591865090839,98.75374451581177,0.8661765792291262,,56.032577358016866,,,0.0,,3.007517041132517,54.61054672439106,,62.50999117415182,,,,7.8769747886418084,,-909328.5714285714,-4127.150347864495,0.024164250566137357,-38.12949320583466
2020-04-16,10.83727527910593,10.83727527910593,10.228552037065418,10.537903785705566,1427200,0.0,0,25536419.361430444,0.0,,,0.60000625993986,38.05158725183599,0.1987100587183309,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7341073751449585,0.7130613723239013,-5.011400430761873,-85027.32901590108,,10.655678620635138,105.39934791535498,0.6741673398466356,,49.53837790830059,,,0.0,,0.2849143251288753,51.26237388033327,,59.31255399565335,,,,8.117654454469497,,-916459.523809524,-68564.20411630275,-0.09941004031174883,-47.721804741330075
2020-04-17,10.957024471131822,11.176564399181693,10.418154430775811,10.637694358825684,2319400,0.0,0,24559831.11320416,0.0,64.0,,0.605135967487972,50.056388069604566,0.1349574217021256,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05266976356506348,0.6320787298280772,-2.1969624778603403,-39815.674114372385,,10.654745454017773,107.50601396570183,0.6538591348317879,,58.132099613302564,,,0.0,,-2.1120307949935317,52.053799732177886,,56.274991731793,,,,8.246266552940988,,-593642.8571428573,-30123.52449599936,0.056876731831869254,-45.32372685745622
2020-04-20,10.338320910854321,10.88717020248372,10.068886392364913,10.478028297424316,1579500,0.0,0,24559831.11320416,0.0,64.0,,0.5336980273352169,17.184206178715975,0.1825884080504347,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.98605170249939,0.5864548144411531,-2.650947429042721,-70155.22695281339,2.187943093275914,10.634301634530091,106.67521392988151,0.5619838315001953,,60.79250826416016,,,0.0,,1.4492634523579895,50.63695829638917,,52.59792980938016,,,,8.424058074489537,,-705276.1904761905,-1743.4690648064388,0.051312651864321435,-49.16067897307319
2020-04-21,10.038950398251671,10.717526886902217,10.038950398251671,10.637694358825684,1425400,0.0,0,25649842.877910048,0.0,64.0,,0.5625730168806264,4.321451599860227,0.16137166768543984,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1.8376693725585938,0.5467627314254377,-4.344699177376174,-27620.479685053087,2.2378379695793758,10.63444571250166,95.92677692187723,0.5861261328787344,,53.73410250527091,,,0.0,,13.283747964876286,52.04270846266755,,53.397289104004784,0.675881350031299,,,8.596620988536044,,-551333.3333333333,-1986.9449911154807,-0.022360190962630977,-45.32372685745622
2020-04-22,10.976981313184918,11.016897570802081,10.038948783342267,10.428132057189941,2068700,0.0,0,25227657.396732472,9.562594251070392,64.0,,0.468740226655686,2.712594692216889,0.11568769598436746,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.5363655567169197,0.49640259167140877,-2.140518820512745,-85606.34450059691,2.2428276880185276,10.630119773616745,80.09748245207442,0.4788010933891792,,61.68501080382186,,,0.0,,20.669728869975028,50.02892561266728,,51.71861777887048,0.5711671303504494,,,8.723235462975943,,-565871.4285714286,-19032.83701375653,0.08161939223078407,-50.35974083285912
2020-04-23,10.488007085705563,10.857232712436758,10.298404145259564,10.398195266723633,1228300,0.0,0,24438037.31287731,9.512493270080965,60.0,,0.46008437339153146,5.4156496524109405,0.058044088027173875,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-0.46800546646118235,0.4892084496911832,-1.847109093947872,-78629.91810476406,1.7738109985197674,10.597045505452378,50.00077934376879,0.46086800039223674,,67.53390050054097,,,0.0,,4.304302714707643,49.73287018146475,,51.07912575960099,0.5557726137765067,,,8.244630750839724,52.651986235684646,-604623.8095238095,-44279.50544561577,0.09734499262828211,-51.07915503088167
2020-04-24,10.996940342872877,11.276354156992571,10.29840438005561,10.527923583984375,19602900,0.0,0,14036513.720543716,9.825582196320747,56.0,,0.5199649616987635,41.28854452513018,-0.08106136750730866,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.827265119552612,0.5203835996886373,3.1617833335636254,295895.96025743126,1.6591593929184096,10.58847079855133,33.84156689167631,0.5329862548119173,,82.36611513120945,,,0.0,,4.975115389318779,51.083757655665046,,46.579193564990476,0.1853615407569587,,,6.454242772538048,45.52527911242459,4161207.1428571427,241040.42755525373,0.25958894865152626,-58.82352344128775
2020-04-27,10.627713961959413,11.206500206832244,10.438111965195707,11.006918907165527,1584700,0.0,0,14797993.196220672,10.116307627829116,52.00000000000001,,0.7041949204952099,66.39226354673661,-0.1065896658335211,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8876380443572991,0.6354914756216763,1.30008743266065,362062.8071699657,0.607209929142396,10.59167812856704,31.436805521608232,0.7509128944532407,,81.99529964429104,,,0.0,,-2.647841433339075,55.806307473065864,,45.14034392192291,0.7109224774211093,,,6.113332143563472,47.19044728730245,4091173.8095238097,316666.6537381824,0.1691974282425618,-54.67628976206181
2020-04-28,11.465956900544603,11.585705685862186,10.737484885276277,11.086751937866211,3553000,0.0,0,14170990.382318562,10.723234083748036,16.0,,0.7200101119070155,98.16627482731047,-0.15233012690216352,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4096411228179928,0.6546762361997611,-0.2327743117435099,350860.5144427605,0.7619704464491726,10.59547280710941,25.15433774929995,0.7722924399497051,,81.7898332796704,,,0.0,,-2.629268119447709,56.55907103886489,,44.256282727740874,0.7990367549572016,,,5.781929010784197,49.30534086999288,4925009.523809524,97869.91671604448,0.09954402250748962,-53.73133861342779
2020-04-29,11.81522565173964,12.523740056751423,11.645581290562253,11.97489070892334,3829400,0.0,0,13213639.344818566,12.027227748591612,68.0,,0.9922410201497055,200.644289100392,-0.1923925027133907,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.43408932685852086,0.8681054792419391,0.7991935275077742,786600.2423632476,0.8382417721642064,10.721053720080604,30.862282091377647,1.1867335556284626,,82.44987118317478,,,0.0,,9.489058796190731,63.921620417017564,,56.9977065866745,1.0,,,5.781929010784197,49.57434156350353,-427052.3809523806,332535.86574709316,0.21592653606765655,-20.59925186448688
2020-04-30,11.535810821198863,12.144534037893893,10.877191088776296,11.815224647521973,2011600,0.0,0,14179841.538118515,12.30751310007247,68.0,1.1780082829479515,0.8844740414853309,125.13059609030567,-0.21846493954983107,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.27991318702697754,0.8297359726857305,-5.445769953530836,628345.3150092136,0.8382417721642064,10.88379558605975,36.943326015414456,1.0628699426236197,0.12106458648600915,77.29091684594007,,1.705309442179404,0.0,-10.514964082991,7.246381704380736,61.890799282229864,,66.35920604244605,0.8568710350754457,,,5.792899841001163,51.80039564313217,-189466.6666666665,279944.5294073076,-0.053613210474282136,-26.591791394747208
2020-05-01,11.3362288118642,11.575727334178115,10.607756796595876,11.086751937866211,1378900,0.0,0,14165624.397056358,12.26347827654841,68.0,1.2110111944534907,0.6232815639567402,49.047134242908484,-0.1972757774895078,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.20407123565673757,0.6546759870893398,-4.760520892709429,395082.9815301361,0.8382417721642064,10.888605405162751,39.800972174016195,0.6726370204627972,0.08340242056964264,78.14433552583935,,1.8941019064614837,1.0,-10.32723320907101,1.368610728051868,53.53401698152258,,66.29211414572363,0.2678986335620515,,,6.031230324923407,51.24657978118395,-877273.8095238092,-111838.14344410793,0.0038050226807768706,-53.93261430359505
2020-05-04,10.607755864774973,11.156605129693531,10.448090831710374,10.917106628417969,1339100,0.0,0,14599414.669444539,12.039811121314248,68.0,1.1363468739182494,0.5302699757744315,-1.0873724470408437,-0.17936512960222575,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-0.21804203987121618,0.5264701374281551,-6.468651067797957,306189.4078998108,0.8382417721642064,10.889261033808948,45.87992981267237,0.5362275912913618,0.04276351641085227,75.02833660349751,,1.9888189699905725,0.0,-11.052032321486552,3.598465600215316,51.780568288341755,,53.05863409101107,0.1443184264211009,,,6.418571781099868,54.01930742423303,-1682173.8095238095,-105507.07168423728,-0.06891285556225735,-60.299692028624555
