Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,adi,adx,aroon_25,awesome_oscillator_5_34,bcpb_20_2,cci_20,chaikin_20,BearishEngulfing,BearishHarami,DarkCloudCover,EveningStar,EveningStarDoji,GravestoneDoji,HangingMan,ShootingStar,BullishEngulfing,BullishHarami,DragonflyDoji,Hammer,InvertedHammer,MorningStar,MorningStarDoji,PiercingPattern,dpo_20,donchian_20,emv_14,force_13,ichimoku_9_26_52,kama_10_2_30,kst_10_15_20_30_10_10_10_15,keltner_20_10,macd_26_12,mfi_14,mi_9_25,ppo_26_12_9,psar_0.02_0.2,pvo_26_12_9,roc_12,rsi_14,stc_50_23_10_3_3,stoch_14_3,stoch_rsi_14_3_3,trix_15,tsi_25_13,ulcer_14,ultimate_7_14_28,volume2_3_14,vpt,vortex_14,william_r_14
2020-03-13,31.81292979853985,33.9681206448327,30.125013153575924,33.9013671875,3880400,0.0,0,3745597.5691946587,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.660876781139172,,,,,0.0,,,,,,,,,,,,-781529.849200954,,
2020-03-16,28.141472252182446,31.173998039384994,27.81723962644273,27.950746536254883,2457800,0.0,0,1483303.6155464966,0.0,,,,,,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.1011035436921109,,,,,0.0,,,,,,,,,,,,-1216899.159232615,,
2020-03-17,28.713647547119365,29.352576330157433,26.320048727645265,27.330890655517578,3726900,0.0,0,241002.12529556523,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.14228009495450356,,,,,1.0,,,,,,,,,,,,-514061.79301768675,,
2020-03-18,25.175697784725823,26.224685571359235,24.164855868356817,25.94813346862793,2941400,0.0,0,2392579.205674423,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,0.05391749692979455,,,,,0.0,,,,,,,,,,,,-231465.25313024985,,
2020-03-19,25.299671101268007,27.664660589619494,24.326973195626657,25.642974853515625,2373500,0.0,0,1890752.3531484425,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,,,0.10260316911382591,,,,,0.0,,,,,,,,,,,,-176727.97872356372,,
2020-03-20,25.795555179889714,26.739645517980563,23.974131599588944,24.489089965820312,3215400,0.0,0,-127186.93637114903,0.0,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.01019509479468229,,,,,0.0,,,,,,,,,,,,-172600.0017523328,,
2020-03-23,24.136245757524378,24.641667610327897,22.22899595374603,23.03957748413086,2243000,0.0,0,-863032.5188247507,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,-0.16636134239025235,,,,,0.0,,,,,,,,,,,,-277450.32561921584,,
2020-03-24,24.78471401891422,28.351271370752944,24.641670629881546,28.23683738708496,2697100,0.0,0,1667666.8796493746,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,0.7000522684959039,,,,,0.0,,,,,,,,,,,,475647.41577537084,,
2020-03-25,28.828079015567443,33.243363125886475,28.39894892088245,31.07863426208496,2908800,0.0,0,1976869.465984119,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,1.0571068918453261,,,,,2.0,,,,,,,,,,,,901156.7964531503,,
2020-03-26,31.469621259708887,33.0526384260493,30.754402594715504,32.28020095825195,2493700,0.0,0,2794303.4473411636,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,32.28020095825195,,1.1914151881897672,,,,,0.0,,,,,,,,,,,,389157.70686272427,,
2020-03-27,30.51599937935107,32.47092986203263,30.04872335712219,31.088172912597656,2035100,0.0,0,2505861.947398607,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,32.25546045960594,,0.9657246893091883,,,,,0.0,,,,,,,,,,,,21260.579996178683,,
2020-03-30,30.706725978143897,31.889218950630987,29.5242293678661,31.669885635375977,2070300,0.0,0,4192155.382734098,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,32.23081848455775,,1.0320951373559204,,,,,0.0,,,,,,,,,,,,-36412.37054061807,,
2020-03-31,31.393331752732767,31.584057471171015,29.447937791580795,29.886606216430664,2277700,0.0,0,2849941.423920909,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,32.17481088637211,,0.7198880606784092,,,,,0.0,,-11.842475109822843,,,,,,,,,,-89514.71556789427,,
2020-04-01,28.00796428029517,28.370340944141766,25.76694538815536,26.129322052001953,2325800,0.0,0,1171615.5604088388,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,-3089223.5747805396,,32.14508494802926,,0.10542539293218793,,32.183427049305095,,,0.0,,-6.516550396571204,36.969133156492646,,,,,,18.46665330963884,,-464464.2857142859,-420648.46773494815,,-66.77498364748287
2020-04-02,25.757410652654606,26.835006068218412,24.880075607679757,25.366424560546875,2529400,0.0,0,-99252.6746882489,0.0,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,-15.252495840404151,-2923573.480509959,,32.109084774999396,0.0,-0.0042733503554974695,,30.113087879016746,,,0.0,,-7.187713418238404,35.36324527414587,,,,,,19.3334888927816,,-214930.95238095243,-366245.76954345126,-0.21780139188799752,-71.5151260370491
